Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000249,13.416365,[29 75] ; [ 18 151],[17.9047619 86.0952381] ; [ 29.0952381 139.9047619],1
p9,1,0.000619,11.716813,[93 12] ; [119  49],[81.53846154 23.46153846] ; [130.46153846  37.53846154],1
p10,1,0.000964,10.895854,[89 16] ; [112  56],[77.30769231 27.69230769] ; [123.69230769  44.30769231],1
n5,1,0.001935,9.609778,[84 22] ; [105  66],[72.32490975 33.67509025] ; [116.67509025  54.32490975],0
n4,1,0.003619,8.46564,[86 19] ; [113  59],[75.433213 29.566787] ; [123.566787  48.433213],0
p8,1,0.004994,7.881622,[64 41] ; [74 96],[52.69090909 52.30909091] ; [85.30909091 84.69090909],0
p4,1,0.005889,7.583964,[70 36] ; [84 87],[58.93140794 47.06859206] ; [95.06859206 75.93140794],0
p12,1,0.006771,7.332652,[ 9 96] ; [  3 169],[  4.54873646 100.45126354] ; [  7.45126354 164.54873646],0
s5,1,0.008133,7.00401,[38 62] ; [ 39 131],[28.51851852 71.48148148] ; [ 48.48148148 121.51851852],0
s8,1,0.012003,6.310383,[46 60] ; [ 49 122],[36.35379061 69.64620939] ; [ 58.64620939 112.35379061],0
s6,1,0.01429,6.002012,[72 31] ; [94 77],[62.40145985 40.59854015] ; [103.59854015  67.40145985],0
p3,1,0.016041,5.798425,[54 52] ; [ 62 109],[44.3898917 61.6101083] ; [71.6101083 99.3898917],0
p5,1,0.017604,5.635179,[16 89] ; [ 11 159],[10.30909091 94.69090909] ; [ 16.69090909 153.30909091],0
r2,1,0.023885,5.102947,[103   3] ; [151  17],[98.26277372  7.73722628] ; [155.73722628  12.26277372],0
a5,1,0.032283,4.583405,[78 28] ; [105  67],[69.77697842 36.22302158] ; [113.22302158  58.77697842],0
r4,1,0.036857,4.357007,[97  9] ; [142  30],[91.1294964 14.8705036] ; [147.8705036  24.1294964],0
n6,1,0.059806,3.542748,[90 16] ; [129  42],[83.80505415 22.19494585] ; [135.19494585  35.80505415],0
