Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.015219,5.890909,[87 12] ; [23 10],[82.5 16.5] ; [27.5  5.5],0
s8,1,0.023539,5.128259,[69 31] ; [15 17],[63.63636364 36.36363636] ; [20.36363636 11.63636364],0
b5,1,0.026175,4.94441,[65 36] ; [14 19],[59.54477612 41.45522388] ; [19.45522388 13.54477612],0
p8,1,0.030894,4.658824,[81 18] ; [21 12],[76.5 22.5] ; [25.5  7.5],0
p7,1,0.067973,3.331292,[89  9] ; [26  7],[86.03053435 11.96946565] ; [28.96946565  4.03053435],0
p2,1,0.09432,2.799061,[93  8] ; [27  6],[90.44776119 10.55223881] ; [29.55223881  3.44776119],0
d1,1,0.096235,2.76685,[71 30] ; [18 15],[67.08208955 33.91791045] ; [21.91791045 11.08208955],0
s4,1,0.137012,2.211196,[11 89] ; [ 7 26],[13.53383459 86.46616541] ; [ 4.46616541 28.53383459],0
n3,1,0.154103,2.031156,[7 6] ; [6 1],[8.45 4.55] ; [4.55 2.45],0
n5,1,0.202795,1.62213,[91 10] ; [27  6],[88.94029851 12.05970149] ; [29.05970149  3.94029851],0
v2,1,0.206698,1.594407,[83 18] ; [23  9],[80.4962406 20.5037594] ; [25.5037594  6.4962406],0
s7,1,0.213022,1.550769,[72 24] ; [19 11],[69.33333333 26.66666667] ; [21.66666667  8.33333333],0
d3,1,0.238017,1.392298,[77 23] ; [22 11],[74.43609023 25.56390977] ; [24.56390977  8.43609023],0
r4,1,0.250163,1.322391,[97  4] ; [30  3],[95.7238806  5.2761194] ; [31.2761194  1.7238806],0
a7,1,0.253153,1.305818,[74 26] ; [21 12],[71.42857143 28.57142857] ; [23.57142857  9.42857143],0
p9,1,0.256104,1.289697,[96  4] ; [30  3],[94.73684211  5.26315789] ; [31.26315789  1.73684211],0
r1,1,0.274537,1.193938,[85 16] ; [25  8],[82.91044776 18.08955224] ; [27.08955224  5.91044776],0
d4,1,0.336185,0.924925,[85 14] ; [26  7],[83.25 15.75] ; [27.75  5.25],0
b1,1,0.347422,0.882851,[43 58] ; [11 22],[40.70149254 60.29850746] ; [13.29850746 19.70149254],0
p11,1,0.391805,0.733332,[86 15] ; [26  7],[84.41791045 16.58208955] ; [27.58208955  5.41791045],0
s3,1,0.394899,0.723803,[61 38] ; [17 15],[58.94656489 40.05343511] ; [19.05343511 12.94656489],0
r3,1,0.395339,0.722457,[98  3] ; [30  2],[97.20300752  3.79699248] ; [30.79699248  1.20300752],0
r2,1,0.422846,0.642393,[97  3] ; [31  2],[96.2406015  3.7593985] ; [31.7593985  1.2406015],0
p4,1,0.492401,0.471275,[84 16] ; [26  7],[82.70676692 17.29323308] ; [27.29323308  5.70676692],0
s2,1,0.530584,0.393273,[60 41] ; [17 15],[58.47368421 42.52631579] ; [18.52631579 13.47368421],0
b4,1,0.549235,0.35869,[67 34] ; [20 13],[65.57462687 35.42537313] ; [21.42537313 11.57462687],0
u3,1,0.57615,0.3125,[15  9] ; [3 3],[14.4  9.6] ; [3.6 2.4],0
a2,1,0.617995,0.248696,[29 72] ; [ 8 25],[27.8880597 73.1119403] ; [ 9.1119403 23.8880597],0
a3,1,0.622939,0.241758,[77 22] ; [27  6],[78. 21.] ; [26.  7.],0
a6,1,0.669815,0.181818,[67 32] ; [21 12],[66. 33.] ; [22. 11.],0
p3,1,0.673563,0.177463,[72 28] ; [25  8],[72.93233083 27.06766917] ; [24.06766917  8.93233083],0
s6,1,0.70372,0.144631,[73 24] ; [23  9],[72.18604651 24.81395349] ; [23.81395349  8.18604651],0
b2,1,0.705377,0.142938,[30 33] ; [11 10],[30.75 32.25] ; [10.25 10.75],0
b3,1,0.705377,0.142938,[30 33] ; [11 10],[30.75 32.25] ; [10.25 10.75],0
u2,1,0.709388,0.138889,[14 10] ; [4 2],[14.4  9.6] ; [3.6 2.4],0
a4,1,0.76471,0.089581,[49 52] ; [17 16],[49.74626866 51.25373134] ; [16.25373134 16.74626866],0
a1,1,0.769128,0.086151,[11 90] ; [ 3 30],[10.55223881 90.44776119] ; [ 3.44776119 29.55223881],0
u1,1,0.772695,0.083435,[25 76] ; [ 9 24],[25.62686567 75.37313433] ; [ 8.37313433 24.62686567],0
d2,1,0.804043,0.061562,[54 46] ; [17 16],[53.38345865 46.61654135] ; [17.61654135 15.38345865],0
p1,1,0.804278,0.061412,[17 83] ; [ 5 28],[16.54135338 83.45864662] ; [ 5.45864662 27.54135338],0
n6,1,0.841976,0.039747,[92  7] ; [31  2],[92.25  6.75] ; [30.75  2.25],0
p10,1,0.843604,0.038922,[92  8] ; [30  3],[91.72932331  8.27067669] ; [30.27067669  2.72932331],0
n4,1,0.862366,0.030055,[94  7] ; [31  2],[94.21641791  6.78358209] ; [30.78358209  2.21641791],0
p5,1,0.873394,0.025392,[29 72] ; [ 9 24],[28.64179104 72.35820896] ; [ 9.35820896 23.64179104],0
n1,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
s5,1,0.910837,0.01254,[44 51] ; [14 17],[43.73015873 51.26984127] ; [14.26984127 16.73015873],0
a8,1,0.913708,0.011743,[13 76] ; [ 4 25],[12.8220339 76.1779661] ; [ 4.1779661 24.8220339],0
n2,1,0.918517,0.010466,[9 4] ; [5 2],[9.1 3.9] ; [4.9 2.1],0
a5,1,0.958906,0.002655,[80 21] ; [26  7],[79.89552239 21.10447761] ; [26.10447761  6.89552239],0
v4,1,0.964385,0.001994,[98  3] ; [31  1],[97.96240602  3.03759398] ; [31.03759398  0.96240602],0
p12,1,0.979323,0.000672,[21 79] ; [ 7 26],[21.05263158 78.94736842] ; [ 6.94736842 26.05263158],0
