Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,46.337735,[ 8 28] ; [112  26],[24.82758621 11.17241379] ; [95.17241379 42.82758621],1
r3,1,0.0,41.260369,[15 21] ; [124  14],[28.75862069  7.24137931] ; [110.24137931  27.75862069],1
p2,1,2e-06,22.253117,[ 8 28] ; [91 47],[20.48275862 15.51724138] ; [78.51724138 59.48275862],1
r2,1,5e-06,20.941609,[19 15] ; [123  15],[28.06976744  5.93023256] ; [113.93023256  24.06976744],1
n6,1,0.000171,14.128106,[12 23] ; [95 43],[21.64739884 13.35260116] ; [85.35260116 52.64739884],1
r1,1,0.000264,13.308433,[14 22] ; [98 39],[23.30635838 12.69364162] ; [88.69364162 48.30635838],1
u3,1,0.001013,10.803528,[ 2 14] ; [32 22],[7.77142857 8.22857143] ; [26.22857143 27.77142857],0
p7,1,0.015016,5.914608,[ 8 28] ; [61 76],[14.3583815 21.6416185] ; [54.6416185 82.3583815],0
n2,1,0.021116,5.317177,[ 6 12] ; [36 20],[10.21621622  7.78378378] ; [31.78378378 24.21621622],0
s8,1,0.021189,5.311206,[ 2 34] ; [ 31 107],[ 6.82758621 29.17241379] ; [ 26.17241379 111.82758621],0
d3,1,0.022236,5.227218,[15 21] ; [86 51],[21.01734104 14.98265896] ; [79.98265896 57.01734104],0
p6,1,0.026811,4.902963,[ 3 32] ; [35 99],[ 7.86982249 27.13017751] ; [ 30.13017751 103.86982249],0
a7,1,0.039256,4.249774,[17 19] ; [91 47],[22.34482759 13.65517241] ; [85.65517241 52.34482759],0
s6,1,0.04355,4.07394,[ 9 27] ; [60 78],[14.27586207 21.72413793] ; [54.72413793 83.27586207],0
p11,1,0.044531,4.036295,[11 25] ; [68 70],[16.34482759 19.65517241] ; [62.65517241 75.34482759],0
u1,1,0.045496,4.000169,[ 1 35] ; [ 21 117],[ 4.55172414 31.44827586] ; [ 17.44827586 120.55172414],0
d5,1,0.054208,3.706267,[20 16] ; [99 38],[24.76300578 11.23699422] ; [94.23699422 42.76300578],0
s1,1,0.065038,3.404017,[ 5 31] ; [  7 130],[ 2.49710983 33.50289017] ; [  9.50289017 127.49710983],0
p4,1,0.065783,3.385223,[ 8 28] ; [53 84],[12.69364162 23.30635838] ; [48.30635838 88.69364162],0
p9,1,0.071531,3.247524,[ 7 28] ; [49 87],[11.4619883 23.5380117] ; [44.5380117 91.4619883],0
u2,1,0.078208,3.101754,[ 4 12] ; [26 26],[7.05882353 8.94117647] ; [22.94117647 29.05882353],0
v2,1,0.082911,3.0069,[ 9 27] ; [55 80],[13.47368421 22.52631579] ; [50.52631579 84.47368421],0
a1,1,0.10008,2.704273,[ 5 31] ; [  8 130],[ 2.68965517 33.31034483] ; [ 10.31034483 127.68965517],0
d1,1,0.102434,2.667231,[12 24] ; [67 71],[16.34482759 19.65517241] ; [62.65517241 75.34482759],0
v1,1,0.110004,2.554158,[ 8 27] ; [51 86],[12.00581395 22.99418605] ; [46.99418605 90.00581395],0
n3,1,0.127001,2.328789,[ 8 10] ; [35 19],[10.75  7.25] ; [32.25 21.75],0
p8,1,0.139696,2.181306,[ 7 28] ; [45 92],[10.58139535 24.41860465] ; [41.41860465 95.58139535],0
p3,1,0.159528,1.978693,[ 7 29] ; [43 94],[10.40462428 25.59537572] ; [39.59537572 97.40462428],0
s7,1,0.172206,1.863636,[ 5 27] ; [36 96],[ 8. 24.] ; [33. 99.],0
s3,1,0.186768,1.742931,[10 25] ; [55 80],[13.38235294 21.61764706] ; [51.61764706 83.38235294],0
a6,1,0.219428,1.50811,[18 18] ; [84 53],[21.22543353 14.77456647] ; [80.77456647 56.22543353],0
d4,1,0.227391,1.457109,[22 14] ; [98 39],[24.97109827 11.02890173] ; [95.02890173 41.97109827],0
b5,1,0.260925,1.263843,[19 17] ; [87 51],[21.93103448 14.06896552] ; [84.06896552 53.93103448],0
a5,1,0.348115,0.880316,[18 18] ; [81 57],[20.48275862 15.51724138] ; [78.51724138 59.48275862],0
a2,1,0.433678,0.612954,[ 5 31] ; [ 27 111],[ 6.62068966 29.37931034] ; [ 25.37931034 112.62068966],0
s4,1,0.540648,0.374341,[ 5 31] ; [ 14 122],[ 3.97674419 32.02325581] ; [ 15.02325581 120.97674419],0
s2,1,0.545207,0.365974,[ 8 28] ; [37 99],[ 9.41860465 26.58139535] ; [ 35.58139535 100.41860465],0
n5,1,0.586548,0.295768,[18 18] ; [76 62],[19.44827586 16.55172414] ; [74.55172414 63.44827586],0
p12,1,0.589843,0.290589,[ 1 35] ; [  2 135],[ 0.62427746 35.37572254] ; [  2.37572254 134.62427746],0
