Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,23.349848,[321  30] ; [52 21],[308.78066038  42.21933962] ; [64.21933962  8.78066038],1
p8,1,2e-06,22.665765,[214 136] ; [22 50],[195.73459716 154.26540284] ; [40.26540284 31.73459716],1
p10,1,4e-06,21.212153,[315  38] ; [50 23],[302.45305164  50.54694836] ; [62.54694836 10.45305164],1
p2,1,1.8e-05,18.409497,[315  42] ; [50 23],[303.03488372  53.96511628] ; [61.96511628 11.03488372],1
r3,1,0.000109,14.979892,[352   5] ; [66  7],[347.0372093   9.9627907] ; [70.9627907  2.0372093],1
p7,1,0.00046,12.27179,[251  98] ; [36 35],[238.48333333 110.51666667] ; [48.51666667 22.48333333],1
n5,1,0.005708,7.640369,[295  62] ; [50 23],[286.43023256  70.56976744] ; [58.56976744 14.43023256],0
p12,1,0.007754,7.089336,[ 41 314] ; [ 1 72],[ 34.8364486 320.1635514] ; [ 7.1635514 65.8364486],0
b1,1,0.009814,6.668368,[111 248] ; [34 39],[120.49768519 238.50231481] ; [24.50231481 48.49768519],0
p3,1,0.013318,6.126435,[208 149] ; [31 42],[198.4255814 158.5744186] ; [40.5744186 32.4255814],0
p5,1,0.019099,5.492409,[ 50 307] ; [ 3 70],[ 44.00232558 312.99767442] ; [ 8.99767442 64.00232558],0
v1,1,0.026915,4.89627,[239 111] ; [40 33],[230.85106383 119.14893617] ; [48.14893617 24.85106383],0
s1,1,0.052181,3.769959,[  6 347] ; [ 4 69],[  8.28638498 344.71361502] ; [ 1.71361502 71.28638498],0
p4,1,0.052795,3.750382,[233 122] ; [38 33],[225.83333333 129.16666667] ; [45.16666667 25.83333333],0
n1,1,0.082586,3.013256,[16 45] ; [ 9 10],[19.0625 41.9375] ; [ 5.9375 13.0625],0
b5,1,0.08566,2.954106,[207 152] ; [50 23],[213.57175926 145.42824074] ; [43.42824074 29.57175926],0
s4,1,0.095376,2.781208,[ 47 308] ; [15 57],[ 51.54566745 303.45433255] ; [10.45433255 61.54566745],0
n4,1,0.098076,2.736558,[303  55] ; [56 17],[298.19489559  59.80510441] ; [60.80510441 12.19489559],0
r4,1,0.120709,2.408103,[334  25] ; [64  9],[330.74537037  28.25462963] ; [67.25462963  5.74537037],0
u2,1,0.177116,1.821655,[44 41] ; [ 7 13],[41.28571429 43.71428571] ; [ 9.71428571 10.28571429],0
v3,1,0.185653,1.751784,[209 144] ; [36 35],[203.9740566 149.0259434] ; [41.0259434 29.9740566],0
r2,1,0.189361,1.722581,[337  17] ; [71  1],[339.04225352  14.95774648] ; [68.95774648  3.04225352],0
a8,1,0.229039,1.446816,[ 53 272] ; [ 6 53],[ 49.93489583 275.06510417] ; [ 9.06510417 49.93489583],0
r1,1,0.241745,1.370387,[305  54] ; [58 15],[301.65972222  57.34027778] ; [61.34027778 11.65972222],0
d1,1,0.246027,1.345726,[237 122] ; [43 30],[232.68518519 126.31481481] ; [47.31481481 25.68518519],0
a6,1,0.250455,1.320766,[254 103] ; [47 26],[249.9 107.1] ; [51.1 21.9],0
d4,1,0.296878,1.088166,[310  47] ; [60 13],[307.18604651  49.81395349] ; [62.81395349 10.18604651],0
s6,1,0.312385,1.020566,[240 112] ; [52 18],[243.56398104 108.43601896] ; [48.43601896 21.56398104],0
b2,1,0.317406,0.999604,[ 93 144] ; [11 25],[ 90.28571429 146.71428571] ; [13.71428571 22.28571429],0
b3,1,0.317406,0.999604,[ 93 144] ; [11 25],[ 90.28571429 146.71428571] ; [13.71428571 22.28571429],0
a3,1,0.342544,0.900886,[273  84] ; [52 21],[269.8255814  87.1744186] ; [55.1744186 17.8255814],0
a2,1,0.350845,0.870399,[ 94 265] ; [23 50],[ 97.22916667 261.77083333] ; [19.77083333 53.22916667],0
p1,1,0.361661,0.832119,[ 31 326] ; [ 4 69],[ 29.05813953 327.94186047] ; [ 5.94186047 67.05813953],0
d3,1,0.385381,0.753465,[263  95] ; [50 23],[259.98607889  98.01392111] ; [53.01392111 19.98607889],0
a4,1,0.386359,0.750371,[166 191] ; [38 35],[169.36744186 187.63255814] ; [34.63255814 38.36744186],0
n2,1,0.404191,0.695823,[45 15] ; [16  3],[46.32911392 13.67088608] ; [14.67088608  4.32911392],0
a1,1,0.451882,0.565927,[ 23 336] ; [ 3 70],[ 21.60648148 337.39351852] ; [ 4.39351852 68.60648148],0
a7,1,0.456921,0.553427,[273  83] ; [53 20],[270.52680653  85.47319347] ; [55.47319347 17.52680653],0
s2,1,0.482021,0.494287,[185 168] ; [41 31],[187.71294118 165.28705882] ; [38.28705882 33.71294118],0
a5,1,0.55414,0.349952,[281  77] ; [55 18],[279.09048724  78.90951276] ; [56.90951276 16.09048724],0
s3,1,0.568119,0.325841,[197 152] ; [38 34],[194.80997625 154.19002375] ; [40.19002375 31.80997625],0
s5,1,0.6188,0.247558,[126 216] ; [28 42],[127.83495146 214.16504854] ; [26.16504854 43.83495146],0
v4,1,0.628354,0.234299,[342  15] ; [69  4],[341.2255814  15.7744186] ; [69.7744186  3.2255814],0
d2,1,0.645863,0.211156,[190 167] ; [41 32],[191.78372093 165.21627907] ; [39.21627907 33.78372093],0
n3,1,0.763436,0.090584,[47 14] ; [14  5],[46.5125 14.4875] ; [14.4875  4.5125],0
u3,1,0.776731,0.080419,[48 38] ; [11 10],[47.42056075 38.57943925] ; [11.57943925  9.42056075],0
u1,1,0.810178,0.057695,[ 79 280] ; [17 56],[ 79.77777778 279.22222222] ; [16.22222222 56.77777778],0
b4,1,0.837045,0.042302,[221 138] ; [44 29],[220.21990741 138.78009259] ; [44.78009259 28.21990741],0
