Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,63.341853,[127  51] ; [27 87],[93.87671233 84.12328767] ; [60.12328767 53.87671233],1
p6,1,0.0,44.892478,[91 85] ; [ 15 100],[ 64.10996564 111.89003436] ; [41.89003436 73.10996564],1
p2,1,0.0,33.098858,[168  10] ; [80 35],[150.66211604  27.33788396] ; [97.33788396 17.66211604],1
p4,1,0.0,27.69365,[127  52] ; [46 69],[105.32993197  73.67006803] ; [67.67006803 47.32993197],1
s8,1,0.00048,12.192326,[86 92] ; [32 83],[ 71.68600683 106.31399317] ; [46.31399317 68.68600683],1
p3,1,0.000673,11.561868,[96 83] ; [38 76],[81.86348123 97.13651877] ; [52.13651877 61.86348123],1
s6,1,0.001366,10.251537,[126  48] ; [61 52],[113.3728223  60.6271777] ; [73.6271777 39.3728223],0
s7,1,0.00227,9.317696,[88 83] ; [37 75],[75.53003534 95.46996466] ; [49.46996466 62.53003534],0
s5,1,0.012967,6.173625,[ 65 112] ; [25 85],[ 55.50522648 121.49477352] ; [34.49477352 75.50522648],0
s2,1,0.01398,6.040613,[94 84] ; [43 70],[83.80068729 94.19931271] ; [53.19931271 59.80068729],0
r1,1,0.014169,6.016979,[140  39] ; [75 40],[130.90136054  48.09863946] ; [84.09863946 30.90136054],0
s3,1,0.014876,5.931124,[105  72] ; [51 63],[94.88659794 82.11340206] ; [61.11340206 52.88659794],0
b1,1,0.020241,5.390987,[ 77 102] ; [34 81],[ 67.58163265 111.41836735] ; [43.41836735 71.58163265],0
u3,1,0.036477,4.374685,[31 30] ; [30 12],[36.12621359 24.87378641] ; [24.87378641 17.12621359],0
b5,1,0.043085,4.092065,[97 82] ; [76 39],[105.32993197  73.67006803] ; [67.67006803 47.32993197],0
b4,1,0.045398,4.003789,[94 85] ; [74 41],[102.28571429  76.71428571] ; [65.71428571 49.28571429],0
p10,1,0.04943,3.860679,[151  27] ; [87 28],[144.58703072  33.41296928] ; [93.41296928 21.58703072],0
d1,1,0.059273,3.557606,[98 81] ; [50 65],[90.10884354 88.89115646] ; [57.89115646 57.10884354],0
d3,1,0.076805,3.131245,[118  61] ; [64 51],[110.80952381  68.19047619] ; [71.19047619 43.80952381],0
p5,1,0.088808,2.895853,[ 24 154] ; [  8 105],[ 19.57388316 158.42611684] ; [ 12.42611684 100.57388316],0
p12,1,0.089992,2.874518,[ 13 165] ; [  3 110],[  9.78694158 168.21305842] ; [  6.21305842 106.78694158],0
p9,1,0.099597,2.71198,[153  24] ; [91 24],[147.90410959  29.09589041] ; [96.09589041 18.90410959],0
v1,1,0.126022,2.340834,[ 76 102] ; [37 73],[ 69.84027778 108.15972222] ; [43.15972222 66.84027778],0
b3,1,0.131126,2.279127,[48 66] ; [21 47],[43.21978022 70.78021978] ; [25.78021978 42.21978022],0
b2,1,0.131126,2.279127,[48 66] ; [21 47],[43.21978022 70.78021978] ; [25.78021978 42.21978022],0
d5,1,0.139047,2.188478,[139  39] ; [81 34],[133.65187713  44.34812287] ; [86.34812287 28.65187713],0
r4,1,0.166686,1.912502,[162  17] ; [98 17],[158.29931973  20.70068027] ; [101.70068027  13.29931973],0
s1,1,0.173359,1.85365,[  5 171] ; [  7 108],[  7.25773196 168.74226804] ; [  4.74226804 110.25773196],0
a6,1,0.173956,1.848519,[109  70] ; [79 36],[114.46258503  64.53741497] ; [73.53741497 41.46258503],0
v4,1,0.221408,1.495223,[171   8] ; [105   9],[168.61433447  10.38566553] ; [107.38566553   6.61433447],0
u1,1,0.242389,1.366648,[ 21 158] ; [19 96],[ 24.3537415 154.6462585] ; [15.6462585 99.3537415],0
v3,1,0.290528,1.117175,[ 34 144] ; [16 96],[ 30.68965517 147.31034483] ; [19.31034483 92.68965517],0
u4,1,0.32567,0.966039,[  1 178] ; [  2 113],[  1.82653061 177.17346939] ; [  1.17346939 113.82653061],0
d4,1,0.348136,0.880241,[140  38] ; [85 30],[136.6894198  41.3105802] ; [88.3105802 26.6894198],0
n4,1,0.39597,0.720529,[140  39] ; [85 30],[136.98979592  42.01020408] ; [88.01020408 26.98979592],0
a4,1,0.419884,0.65064,[ 72 106] ; [52 63],[ 75.33105802 102.66894198] ; [48.66894198 66.33105802],0
r3,1,0.477559,0.504433,[170   9] ; [106   8],[168.61433447  10.38566553] ; [107.38566553   6.61433447],0
a8,1,0.494294,0.467166,[ 23 142] ; [12 96],[ 21.15384615 143.84615385] ; [13.84615385 94.15384615],0
s4,1,0.520441,0.413019,[ 38 137] ; [21 92],[ 35.85069444 139.14930556] ; [23.14930556 89.85069444],0
n6,1,0.525658,0.402779,[150  28] ; [100  15],[151.87713311  26.12286689] ; [98.12286689 16.87713311],0
n3,1,0.533791,0.387169,[29 11] ; [19 10],[27.82608696 12.17391304] ; [20.17391304  8.82608696],0
a2,1,0.562117,0.336053,[ 36 143] ; [20 95],[ 34.0952381 144.9047619] ; [21.9047619 93.0952381],0
a5,1,0.641438,0.216866,[126  53] ; [78 37],[124.20408163  54.79591837] ; [79.79591837 35.20408163],0
d2,1,0.652139,0.203214,[ 77 102] ; [46 68],[ 75.14334471 103.85665529] ; [47.85665529 66.14334471],0
a3,1,0.66823,0.18368,[118  61] ; [73 42],[116.28911565  62.71088435] ; [74.71088435 40.28911565],0
u2,1,0.721452,0.127105,[37 24] ; [24 18],[36.12621359 24.87378641] ; [24.87378641 17.12621359],0
r2,1,0.800168,0.064074,[164  14] ; [105  10],[163.41979522  14.58020478] ; [105.58020478   9.41979522],0
n2,1,0.878038,0.023549,[29 12] ; [21  8],[29.28571429 11.71428571] ; [20.71428571  8.28571429],0
a7,1,0.893593,0.017892,[115  64] ; [73 42],[114.46258503  64.53741497] ; [73.53741497 41.46258503],0
n5,1,0.894523,0.017578,[132  47] ; [84 31],[131.51020408  47.48979592] ; [84.48979592 30.51020408],0
n1,1,0.90862,0.013174,[15 26] ; [11 18],[15.22857143 25.77142857] ; [10.77142857 18.22857143],0
p1,1,0.949394,0.004028,[ 16 162] ; [ 10 104],[ 15.84931507 162.15068493] ; [ 10.15068493 103.84931507],0
