Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.353717,[31 34] ; [218  65],[46.50862069 18.49137931] ; [202.49137931  80.50862069],1
p10,1,3e-06,21.762038,[46 21] ; [256  27],[57.81142857  9.18857143] ; [244.18857143  38.81142857],1
n4,1,6e-06,20.485216,[34 33] ; [221  62],[48.81428571 18.18571429] ; [206.18571429  76.81428571],1
r4,1,0.000238,13.50181,[48 19] ; [253  31],[57.45584046  9.54415954] ; [243.54415954  40.45584046],1
r3,1,0.000634,11.673168,[58  9] ; [274   9],[63.55428571  3.44571429] ; [268.44571429  14.55428571],1
p11,1,0.002253,9.330685,[40 27] ; [221  63],[49.82051282 17.17948718] ; [211.17948718  72.82051282],0
b1,1,0.002867,8.890226,[35 32] ; [ 93 191],[24.43304843 42.56695157] ; [103.56695157 180.43304843],0
d5,1,0.006352,7.447558,[45 21] ; [235  48],[52.9512894 13.0487106] ; [227.0487106  55.9512894],0
r1,1,0.008011,7.031116,[40 26] ; [216  66],[48.55172414 17.44827586] ; [207.44827586  74.55172414],0
a5,1,0.024294,5.073513,[40 27] ; [209  75],[47.52991453 19.47008547] ; [201.47008547  82.52991453],0
p2,1,0.025452,4.99288,[44 22] ; [225  58],[50.87106017 15.12893983] ; [218.12893983  64.87106017],0
d2,1,0.029465,4.74024,[24 42] ; [145 138],[31.95988539 34.04011461] ; [137.04011461 145.95988539],0
u1,1,0.039874,4.223218,[ 7 60] ; [ 61 223],[12.98005698 54.01994302] ; [ 55.01994302 228.98005698],0
s7,1,0.046306,3.970421,[23 42] ; [135 140],[30.20588235 34.79411765] ; [127.79411765 147.20588235],0
v4,1,0.048566,3.890296,[59  8] ; [268  15],[62.59714286  4.40285714] ; [264.40285714  18.59714286],0
s6,1,0.052149,3.770975,[38 29] ; [195  87],[44.73065903 22.26934097] ; [188.26934097  93.73065903],0
a2,1,0.061542,3.495329,[11 56] ; [ 78 206],[16.98860399 50.01139601] ; [ 72.01139601 211.98860399],0
v3,1,0.066918,3.357056,[14 46] ; [ 97 175],[20.06024096 39.93975904] ; [ 90.93975904 181.06024096],0
s8,1,0.073255,3.208538,[21 46] ; [123 161],[27.48717949 39.51282051] ; [116.51282051 167.48717949],0
v2,1,0.074008,3.191821,[27 35] ; [152 119],[33.32732733 28.67267267] ; [145.67267267 125.32732733],0
a4,1,0.086105,2.945719,[25 42] ; [139 145],[31.3048433 35.6951567] ; [132.6951567 151.3048433],0
u2,1,0.100499,2.697611,[15  5] ; [41 34],[11.78947368  8.21052632] ; [44.21052632 30.78947368],0
s5,1,0.115109,2.482645,[13 48] ; [ 86 187],[18.08083832 42.91916168] ; [ 80.91916168 192.08083832],0
d1,1,0.138732,2.191964,[32 35] ; [164 120],[37.41310541 29.58689459] ; [158.58689459 125.41310541],0
r2,1,0.148875,2.083738,[59  7] ; [265  16],[61.62536023  4.37463977] ; [262.37463977  18.62536023],0
p3,1,0.186149,1.747833,[20 47] ; [109 174],[24.69428571 42.30571429] ; [104.30571429 178.69428571],0
a1,1,0.205136,1.605427,[ 5 62] ; [ 11 273],[ 3.05413105 63.94586895] ; [ 12.94586895 271.05413105],0
d3,1,0.231477,1.431764,[41 24] ; [200  83],[45.01436782 19.98563218] ; [195.98563218  87.01436782],0
b3,1,0.245117,1.350923,[10 24] ; [ 70 105],[13.01435407 20.98564593] ; [ 66.98564593 108.01435407],0
b2,1,0.245117,1.350923,[10 24] ; [ 70 105],[13.01435407 20.98564593] ; [ 66.98564593 108.01435407],0
p12,1,0.250055,1.322997,[ 2 65] ; [ 19 265],[ 4.00854701 62.99145299] ; [ 16.99145299 267.00854701],0
p6,1,0.253297,1.305028,[13 52] ; [ 76 207],[16.62356322 48.37643678] ; [ 72.37643678 210.62356322],0
a6,1,0.257475,1.282286,[43 23] ; [205  79],[46.76571429 19.23428571] ; [201.23428571  82.76571429],0
s1,1,0.272336,1.204943,[ 3 63] ; [  6 273],[ 1.72173913 64.27826087] ; [  7.27826087 271.72173913],0
p4,1,0.282372,1.15564,[27 39] ; [137 147],[30.92571429 35.07428571] ; [133.07428571 150.92571429],0
a7,1,0.327721,0.957883,[44 23] ; [203  80],[47.28285714 19.71714286] ; [199.71714286  83.28285714],0
s2,1,0.378748,0.774762,[32 35] ; [151 130],[35.23275862 31.76724138] ; [147.76724138 133.23275862],0
u3,1,0.380836,0.768,[14  7] ; [42 33],[12.25  8.75] ; [43.75 31.25],0
a8,1,0.400741,0.706102,[10 51] ; [ 32 227],[ 8.00625 52.99375] ; [ 33.99375 225.00625],0
n2,1,0.416924,0.658969,[20  5] ; [56 22],[18.44660194  6.55339806] ; [57.55339806 20.44660194],0
a3,1,0.424454,0.637951,[46 21] ; [208  75],[48.62285714 18.37714286] ; [205.37714286  77.62285714],0
d4,1,0.427695,0.629074,[56 10] ; [229  55],[53.74285714 12.25714286] ; [231.25714286  52.74285714],0
p1,1,0.488467,0.479902,[ 5 62] ; [ 15 269],[ 3.81766382 63.18233618] ; [ 16.18233618 267.81766382],0
v1,1,0.500393,0.454103,[29 36] ; [134 138],[31.43916914 33.56083086] ; [131.56083086 140.43916914],0
p7,1,0.628832,0.233648,[27 37] ; [127 152],[28.73469388 35.26530612] ; [125.26530612 153.73469388],0
u4,1,0.631467,0.230077,[ 1 66] ; [  7 277],[ 1.52706553 65.47293447] ; [  6.47293447 277.52706553],0
s4,1,0.79014,0.070825,[11 56] ; [ 50 231],[11.74425287 55.25574713] ; [ 49.25574713 231.74425287],0
n1,1,0.800259,0.064015,[10 15] ; [29 49],[ 9.46601942 15.53398058] ; [29.53398058 48.46601942],0
p5,1,0.918863,0.010377,[ 4 62] ; [ 16 263],[ 3.82608696 62.17391304] ; [ 16.17391304 262.82608696],0
n3,1,0.924309,0.009026,[19  6] ; [60 18],[19.17475728  5.82524272] ; [59.82524272 18.17475728],0
b5,1,0.967192,0.001692,[45 22] ; [190  94],[44.85754986 22.14245014] ; [190.14245014  93.85754986],0
b4,1,0.976729,0.000851,[40 27] ; [169 115],[39.89458689 27.10541311] ; [169.10541311 114.89458689],0
s3,1,0.991089,0.000125,[38 28] ; [162 119],[38.04034582 27.95965418] ; [161.95965418 119.04034582],0
