Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.014306,6.0,[ 2 22] ; [3 3],[ 4. 20.] ; [1. 5.],0
s8,1,0.014306,6.0,[ 2 22] ; [3 3],[ 4. 20.] ; [1. 5.],0
p11,1,0.044136,4.051339,[ 9 15] ; [5 1],[11.2 12.8] ; [2.8 3.2],0
p3,1,0.046572,3.960775,[ 3 20] ; [3 3],[ 4.75862069 18.24137931] ; [1.24137931 4.75862069],0
s6,1,0.088212,2.906699,[ 7 17] ; [4 2],[ 8.8 15.2] ; [2.2 3.8],0
p6,1,0.096451,2.763269,[ 4 19] ; [3 3],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
s7,1,0.101707,2.678571,[ 3 18] ; [2 2],[ 4.2 16.8] ; [0.8 3.2],0
d3,1,0.136037,2.222222,[ 8 16] ; [4 2],[ 9.6 14.4] ; [2.4 3.6],0
v2,1,0.211128,1.563671,[ 7 16] ; [3 2],[ 8.21428571 14.78571429] ; [1.78571429 3.21428571],0
s2,1,0.220671,1.5,[ 3 21] ; [2 4],[ 4. 20.] ; [1. 5.],0
p9,1,0.227107,1.458891,[ 9 14] ; [4 2],[10.31034483 12.68965517] ; [2.68965517 3.31034483],0
p4,1,0.332922,0.9375,[ 7 17] ; [3 3],[ 8. 16.] ; [2. 4.],0
u3,1,0.350201,0.872727,[3 9] ; [2 2],[3.75 8.25] ; [1.25 2.75],0
p2,1,0.36131,0.833333,[11 13] ; [4 2],[12. 12.] ; [3. 3.],0
s4,1,0.36131,0.833333,[ 4 20] ; [2 4],[ 4.8 19.2] ; [1.2 4.8],0
d5,1,0.36131,0.833333,[11 13] ; [4 2],[12. 12.] ; [3. 3.],0
d1,1,0.36131,0.833333,[ 4 20] ; [2 4],[ 4.8 19.2] ; [1.2 4.8],0
a3,1,0.410806,0.676467,[12 11] ; [2 4],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
b4,1,0.464214,0.535714,[12 12] ; [2 4],[11.2 12.8] ; [2.8 3.2],0
s1,1,0.542802,0.37037,[ 2 22] ; [1 5],[ 2.4 21.6] ; [0.6 5.4],0
n4,1,0.57615,0.3125,[ 9 15] ; [3 3],[ 9.6 14.4] ; [2.4 3.6],0
a6,1,0.580498,0.30543,[11 13] ; [2 4],[10.4 13.6] ; [2.6 3.4],0
d2,1,0.679708,0.170455,[ 6 18] ; [2 4],[ 6.4 17.6] ; [1.6 4.4],0
n5,1,0.712547,0.135747,[10 14] ; [3 3],[10.4 13.6] ; [2.6 3.4],0
s5,1,0.788281,0.072115,[ 3 21] ; [1 5],[ 3.2 20.8] ; [0.8 5.2],0
a8,1,0.818707,0.052536,[ 3 20] ; [1 5],[ 3.17241379 19.82758621] ; [0.82758621 5.17241379],0
d4,1,0.849753,0.035885,[15  9] ; [4 2],[15.2  8.8] ; [3.8 2.2],0
a5,1,0.854813,0.033482,[11 13] ; [3 3],[11.2 12.8] ; [2.8 3.2],0
a7,1,0.854813,0.033482,[13 11] ; [3 3],[12.8 11.2] ; [3.2 2.8],0
s3,1,0.946969,0.004424,[ 8 15] ; [2 4],[ 7.93103448 15.06896552] ; [2.06896552 3.93103448],0
b5,1,1.0,0.0,[12 12] ; [3 3],[12. 12.] ; [3. 3.],0
v1,1,1.0,0.0,[ 8 16] ; [2 4],[ 8. 16.] ; [2. 4.],0
a4,1,1.0,0.0,[ 8 16] ; [2 4],[ 8. 16.] ; [2. 4.],0
