Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.003288,8.640097,[10 36] ; [15 12],[15.75342466 30.24657534] ; [ 9.24657534 17.75342466],0
a2,1,0.007714,7.09873,[ 3 43] ; [ 8 19],[ 6.93150685 39.06849315] ; [ 4.06849315 22.93150685],0
p2,1,0.026066,4.951634,[30 16] ; [24  3],[34.02739726 11.97260274] ; [19.97260274  7.02739726],0
v2,1,0.067343,3.346635,[18 28] ; [16 10],[21.72222222 24.27777778] ; [12.27777778 13.72222222],0
n4,1,0.094262,2.800031,[25 21] ; [20  7],[28.35616438 17.64383562] ; [16.64383562 10.35616438],0
d3,1,0.097429,2.747131,[29 17] ; [22  5],[32.1369863 13.8630137] ; [18.8630137  8.1369863],0
a4,1,0.103626,2.648829,[11 35] ; [11 15],[14.05555556 31.94444444] ; [ 7.94444444 18.05555556],0
p10,1,0.111212,2.536917,[15 31] ; [ 4 22],[12.13888889 33.86111111] ; [ 6.86111111 19.13888889],0
a5,1,0.133699,2.249017,[26 20] ; [20  7],[28.98630137 17.01369863] ; [17.01369863  9.98630137],0
p6,1,0.156018,2.012402,[11 35] ; [10 15],[13.6056338 32.3943662] ; [ 7.3943662 17.6056338],0
s7,1,0.161142,1.963481,[13 31] ; [12 14],[15.71428571 28.28571429] ; [ 9.28571429 16.71428571],0
u1,1,0.164861,1.929064,[ 6 40] ; [ 7 20],[ 8.19178082 37.80821918] ; [ 4.80821918 22.19178082],0
n6,1,0.174231,1.846154,[30 15] ; [22  5],[32.5 12.5] ; [19.5  7.5],0
r4,1,0.179841,1.798935,[35 11] ; [24  3],[37.17808219  8.82191781] ; [21.82191781  5.17808219],0
n2,1,0.193472,1.69098,[8 4] ; [9 1],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
s5,1,0.206866,1.593225,[ 8 37] ; [ 8 18],[10.14084507 34.85915493] ; [ 5.85915493 20.14084507],0
s6,1,0.216174,1.529589,[25 21] ; [18  8],[27.47222222 18.52777778] ; [15.52777778 10.47222222],0
s2,1,0.220323,1.502269,[17 29] ; [13 12],[19.43661972 26.56338028] ; [10.56338028 14.43661972],0
a7,1,0.25886,1.274846,[30 16] ; [21  6],[32.1369863 13.8630137] ; [18.8630137  8.1369863],0
r1,1,0.34394,0.895691,[31 15] ; [21  6],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
b1,1,0.348114,0.880321,[29 17] ; [14 13],[27.09589041 18.90410959] ; [15.90410959 11.09589041],0
b3,1,0.372488,0.795347,[ 7 27] ; [ 6 13],[ 8.33962264 25.66037736] ; [ 4.66037736 14.33962264],0
b2,1,0.372488,0.795347,[ 7 27] ; [ 6 13],[ 8.33962264 25.66037736] ; [ 4.66037736 14.33962264],0
a3,1,0.413894,0.667586,[21 25] ; [15 12],[22.68493151 23.31506849] ; [13.31506849 13.68493151],0
u3,1,0.414172,0.666793,[14 11] ; [5 7],[12.83783784 12.16216216] ; [6.16216216 5.83783784],0
b5,1,0.443888,0.58621,[23 23] ; [16 11],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
s8,1,0.444434,0.584806,[12 34] ; [ 9 17],[13.41666667 32.58333333] ; [ 7.58333333 18.41666667],0
v4,1,0.456748,0.553852,[40  6] ; [25  2],[40.95890411  5.04109589] ; [24.04109589  2.95890411],0
a6,1,0.472192,0.516842,[25 21] ; [17 10],[26.46575342 19.53424658] ; [15.53424658 11.46575342],0
a8,1,0.480935,0.496742,[ 2 41] ; [ 2 20],[ 2.64615385 40.35384615] ; [ 1.35384615 20.64615385],0
n5,1,0.55706,0.34482,[24 22] ; [16 11],[25.20547945 20.79452055] ; [14.79452055 12.20547945],0
d2,1,0.608737,0.262018,[21 25] ; [14 13],[22.05479452 23.94520548] ; [12.94520548 14.05479452],0
r3,1,0.627671,0.235232,[41  5] ; [25  2],[41.5890411  4.4109589] ; [24.4109589  2.5890411],0
u2,1,0.628745,0.233766,[10 14] ; [4 8],[ 9.33333333 14.66666667] ; [4.66666667 7.33333333],0
p11,1,0.683064,0.166697,[25 21] ; [16 11],[25.83561644 20.16438356] ; [15.16438356 11.83561644],0
n1,1,0.746188,0.104762,[4 8] ; [4 6],[4.36363636 7.63636364] ; [3.63636364 6.36363636],0
s4,1,0.766096,0.088497,[10 35] ; [ 5 21],[ 9.50704225 35.49295775] ; [ 5.49295775 20.50704225],0
s3,1,0.78384,0.075251,[25 21] ; [15 11],[25.55555556 20.44444444] ; [14.44444444 11.55555556],0
d4,1,0.791382,0.069969,[31 15] ; [19  8],[31.50684932 14.49315068] ; [18.49315068  8.50684932],0
p3,1,0.807671,0.059259,[23 22] ; [13 14],[22.5 22.5] ; [13.5 13.5],0
r2,1,0.808441,0.058776,[40  6] ; [24  3],[40.32876712  5.67123288] ; [23.67123288  3.32876712],0
p7,1,0.813249,0.055808,[27 19] ; [16 10],[27.47222222 18.52777778] ; [15.52777778 10.47222222],0
d1,1,0.878569,0.023343,[23 23] ; [13 14],[22.68493151 23.31506849] ; [13.31506849 13.68493151],0
s1,1,0.882377,0.021891,[ 4 42] ; [ 2 24],[ 3.83333333 42.16666667] ; [ 2.16666667 23.83333333],0
p5,1,0.90472,0.014328,[ 3 42] ; [ 2 25],[ 3.125 41.875] ; [ 1.875 25.125],0
p8,1,0.951454,0.003707,[23 22] ; [14 13],[23.125 21.875] ; [13.875 13.125],0
d5,1,0.961583,0.00232,[36 10] ; [21  6],[35.91780822 10.08219178] ; [21.08219178  5.91780822],0
b4,1,0.962314,0.002233,[27 19] ; [16 11],[27.09589041 18.90410959] ; [15.90410959 11.09589041],0
n3,1,0.968296,0.00158,[9 4] ; [7 3],[9.04347826 3.95652174] ; [6.95652174 3.04347826],0
p1,1,0.974556,0.001017,[ 5 41] ; [ 3 24],[ 5.04109589 40.95890411] ; [ 2.95890411 24.04109589],0
