Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.1e-05,16.825133,[11 52] ; [15  9],[18.82758621 44.17241379] ; [ 7.17241379 16.82758621],1
p6,1,0.000233,13.547286,[ 4 57] ; [ 9 14],[ 9.44047619 51.55952381] ; [ 3.55952381 19.44047619],1
p8,1,0.004281,8.160801,[11 52] ; [11 12],[16.11627907 46.88372093] ; [ 5.88372093 17.11627907],0
p2,1,0.009602,6.70721,[24 39] ; [16  7],[29.30232558 33.69767442] ; [10.69767442 12.30232558],0
b5,1,0.011207,6.43224,[24 39] ; [17  8],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
b3,1,0.013284,6.13092,[19 17] ; [ 2 12],[15.12 20.88] ; [5.88 8.12],0
b2,1,0.013284,6.13092,[19 17] ; [ 2 12],[15.12 20.88] ; [5.88 8.12],0
p11,1,0.021759,5.264957,[21 42] ; [15 10],[25.77272727 37.22727273] ; [10.22727273 14.77272727],0
p5,1,0.068065,3.329082,[ 3 60] ; [ 4 20],[ 5.06896552 57.93103448] ; [ 1.93103448 22.06896552],0
p10,1,0.073613,3.200564,[25 36] ; [15  9],[28.70588235 32.29411765] ; [11.29411765 12.70588235],0
d1,1,0.075681,3.155304,[28 35] ; [ 6 19],[24.34090909 38.65909091] ; [ 9.65909091 15.34090909],0
b1,1,0.092683,2.827139,[33 30] ; [18  7],[36.51136364 26.48863636] ; [14.48863636 10.51136364],0
p9,1,0.108976,2.569014,[26 32] ; [16  9],[29.34939759 28.65060241] ; [12.65060241 12.34939759],0
p3,1,0.118,2.443673,[11 51] ; [ 8 16],[13.69767442 48.30232558] ; [ 5.30232558 18.69767442],0
n4,1,0.126207,2.33855,[39 24] ; [11 14],[35.79545455 27.20454545] ; [14.20454545 10.79545455],0
u2,1,0.163373,1.942722,[ 7 19] ; [6 6],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
a1,1,0.170344,1.879912,[ 9 54] ; [ 1 24],[ 7.15909091 55.84090909] ; [ 2.84090909 22.15909091],0
p1,1,0.170344,1.879912,[ 9 54] ; [ 1 24],[ 7.15909091 55.84090909] ; [ 2.84090909 22.15909091],0
v1,1,0.174108,1.847215,[14 47] ; [ 9 15],[16.50588235 44.49411765] ; [ 6.49411765 17.50588235],0
s3,1,0.181357,1.786465,[12 49] ; [ 8 16],[14.35294118 46.64705882] ; [ 5.64705882 18.35294118],0
d4,1,0.219038,1.510665,[41 21] ; [13 12],[38.48275862 23.51724138] ; [15.51724138  9.48275862],0
a5,1,0.237256,1.396825,[34 29] ; [10 15],[31.5 31.5] ; [12.5 12.5],0
s1,1,0.260241,1.267477,[ 5 58] ; [ 4 21],[ 6.44318182 56.55681818] ; [ 2.55681818 22.44318182],0
n3,1,0.279265,1.170664,[14 18] ; [8 5],[15.64444444 16.35555556] ; [6.35555556 6.64444444],0
s2,1,0.286369,1.136613,[ 7 55] ; [ 5 20],[ 8.55172414 53.44827586] ; [ 3.44827586 21.55172414],0
d5,1,0.292788,1.106756,[38 25] ; [12 13],[35.79545455 27.20454545] ; [14.20454545 10.79545455],0
s8,1,0.295342,1.095111,[ 7 56] ; [ 1 24],[ 5.72727273 57.27272727] ; [ 2.27272727 22.72727273],0
a2,1,0.331764,0.941999,[10 53] ; [ 2 23],[ 8.59090909 54.40909091] ; [ 3.40909091 21.59090909],0
v3,1,0.343568,0.897072,[13 50] ; [ 3 22],[11.45454545 51.54545455] ; [ 4.54545455 20.45454545],0
n6,1,0.375879,0.784137,[35 27] ; [11 13],[33.1627907 28.8372093] ; [12.8372093 11.1627907],0
s5,1,0.378311,0.776184,[ 6 56] ; [ 1 24],[ 4.98850575 57.01149425] ; [ 2.01149425 22.98850575],0
v2,1,0.382468,0.762753,[14 47] ; [ 8 17],[15.60465116 45.39534884] ; [ 6.39534884 18.60465116],0
u1,1,0.38779,0.74586,[ 6 57] ; [ 1 24],[ 5.01136364 57.98863636] ; [ 1.98863636 23.01136364],0
s4,1,0.387981,0.74526,[ 6 57] ; [ 4 21],[ 7.15909091 55.84090909] ; [ 2.84090909 22.15909091],0
d3,1,0.396301,0.719523,[30 33] ; [ 9 15],[28.24137931 34.75862069] ; [10.75862069 13.24137931],0
b4,1,0.475951,0.508128,[38 25] ; [13 12],[36.51136364 26.48863636] ; [14.48863636 10.51136364],0
p12,1,0.480924,0.496768,[ 1 61] ; [ 1 23],[ 1.44186047 60.55813953] ; [ 0.55813953 23.44186047],0
a4,1,0.556992,0.344938,[24 38] ; [ 8 17],[22.8045977 39.1954023] ; [ 9.1954023 15.8045977],0
n1,1,0.585294,0.297754,[13 20] ; [4 9],[12.19565217 20.80434783] ; [4.80434783 8.19565217],0
a3,1,0.642183,0.215899,[37 25] ; [13 11],[36.04651163 25.95348837] ; [13.95348837 10.04651163],0
a8,1,0.650114,0.205757,[ 4 55] ; [ 1 23],[ 3.55421687 55.44578313] ; [ 1.44578313 22.55421687],0
r1,1,0.664108,0.188571,[18 45] ; [ 6 19],[17.18181818 45.81818182] ; [ 6.81818182 18.18181818],0
s7,1,0.679489,0.170702,[13 45] ; [ 4 18],[12.325 45.675] ; [ 4.675 17.325],0
a7,1,0.710664,0.137614,[30 32] ; [11 14],[29.2183908 32.7816092] ; [11.7816092 13.2183908],0
n5,1,0.760245,0.093122,[40 23] ; [15 10],[39.375 23.625] ; [15.625  9.375],0
d2,1,0.822842,0.050128,[26 35] ; [10 15],[25.53488372 35.46511628] ; [10.46511628 14.53488372],0
v4,1,0.862947,0.029799,[34 29] ; [14 11],[34.36363636 28.63636364] ; [13.63636364 11.36363636],0
a6,1,0.867429,0.027864,[29 34] ; [12 13],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
