Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.061349,3.500542,[ 2 27] ; [13 43],[ 5.11764706 23.88235294] ; [ 9.88235294 46.11764706],0
p1,1,0.095723,2.775393,[ 7 22] ; [ 6 51],[ 4.38372093 24.61627907] ; [ 8.61627907 48.38372093],0
r4,1,0.11772,2.447395,[23  6] ; [52  5],[25.29069767  3.70930233] ; [49.70930233  7.29069767],0
n1,1,0.122398,2.386364,[5 2] ; [5 9],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
p12,1,0.129444,2.299156,[ 1 28] ; [ 8 49],[ 3.03488372 25.96511628] ; [ 5.96511628 51.03488372],0
p10,1,0.136947,2.21193,[21  8] ; [48  8],[23.54117647  5.45882353] ; [45.45882353 10.54117647],0
b5,1,0.142339,2.152486,[ 8 21] ; [25 32],[11.12790698 17.87209302] ; [21.87209302 35.12790698],0
v1,1,0.143682,2.138071,[15 12] ; [22 35],[11.89285714 15.10714286] ; [25.10714286 31.89285714],0
p9,1,0.153978,2.032389,[20  9] ; [47 10],[22.59302326  6.40697674] ; [44.40697674 12.59302326],0
a5,1,0.177185,1.821079,[19 10] ; [45 12],[21.58139535  7.41860465] ; [42.41860465 14.58139535],0
d1,1,0.193224,1.692862,[20  9] ; [31 26],[17.19767442 11.80232558] ; [33.80232558 23.19767442],0
s7,1,0.208503,1.58179,[ 7 21] ; [21 33],[ 9.56097561 18.43902439] ; [18.43902439 35.56097561],0
u1,1,0.216043,1.530462,[ 3 26] ; [12 45],[ 5.05813953 23.94186047] ; [ 9.94186047 47.05813953],0
u3,1,0.216201,1.529412,[3 6] ; [10  7],[4.5 4.5] ; [8.5 8.5],0
s8,1,0.234593,1.412792,[ 7 22] ; [21 36],[ 9.44186047 19.55813953] ; [18.55813953 38.44186047],0
p4,1,0.26238,1.256158,[15 14] ; [36 20],[17.4 11.6] ; [33.6 22.4],0
p11,1,0.269119,1.221234,[24  5] ; [41 16],[21.91860465  7.08139535] ; [43.08139535 13.91860465],0
r1,1,0.303392,1.059227,[23  6] ; [50  7],[24.61627907  4.38372093] ; [48.38372093  8.61627907],0
b1,1,0.307555,1.041144,[14 15] ; [21 36],[11.80232558 17.19767442] ; [23.19767442 33.80232558],0
v4,1,0.319484,0.991059,[25  4] ; [52  4],[26.27058824  2.72941176] ; [50.72941176  5.27058824],0
u2,1,0.319499,0.990997,[3 5] ; [10  7],[4.16 3.84] ; [8.84 8.16],0
p8,1,0.320702,0.986081,[13 16] ; [32 25],[15.1744186 13.8255814] ; [29.8255814 27.1744186],0
a8,1,0.355908,0.85228,[ 3 24] ; [10 42],[ 4.44303797 22.55696203] ; [ 8.55696203 43.44303797],0
a1,1,0.359579,0.839363,[ 1 28] ; [ 5 52],[ 2.02325581 26.97674419] ; [ 3.97674419 53.02325581],0
n4,1,0.365568,0.818674,[23  6] ; [40 17],[21.24418605  7.75581395] ; [41.75581395 15.24418605],0
d2,1,0.385306,0.753705,[18 10] ; [31 26],[16.14117647 11.85882353] ; [32.85882353 24.14117647],0
n3,1,0.394305,0.725624,[5 1] ; [9 5],[4.2 1.8] ; [9.8 4.2],0
d5,1,0.413431,0.668914,[25  4] ; [45 12],[23.60465116  5.39534884] ; [46.39534884 10.60465116],0
a2,1,0.524755,0.404537,[ 4 25] ; [11 46],[ 5.05813953 23.94186047] ; [ 9.94186047 47.05813953],0
r3,1,0.560092,0.339545,[25  3] ; [53  4],[25.69411765  2.30588235] ; [52.30588235  4.69411765],0
d3,1,0.568233,0.325648,[17 12] ; [37 20],[18.20930233 10.79069767] ; [35.79069767 21.20930233],0
a4,1,0.585923,0.296757,[14 15] ; [24 33],[12.81395349 16.18604651] ; [25.18604651 31.81395349],0
v3,1,0.593588,0.284775,[11 18] ; [18 38],[ 9.89411765 19.10588235] ; [19.10588235 36.89411765],0
n2,1,0.603743,0.269388,[5 2] ; [9 6],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
s3,1,0.631992,0.229369,[ 4 25] ; [10 46],[ 4.77647059 24.22352941] ; [ 9.22352941 46.77647059],0
p7,1,0.659906,0.193638,[19 10] ; [40 17],[19.89534884  9.10465116] ; [39.10465116 17.89534884],0
p2,1,0.6748,0.176039,[24  5] ; [45 12],[23.26744186  5.73255814] ; [45.73255814 11.26744186],0
p3,1,0.697339,0.151255,[15 14] ; [32 25],[15.84883721 13.15116279] ; [31.15116279 25.84883721],0
b2,1,0.697743,0.15083,[ 8 12] ; [15 18],[ 8.67924528 11.32075472] ; [14.32075472 18.67924528],0
b3,1,0.697743,0.15083,[ 8 12] ; [15 18],[ 8.67924528 11.32075472] ; [14.32075472 18.67924528],0
d4,1,0.703478,0.144879,[24  4] ; [47 10],[23.38823529  4.61176471] ; [47.61176471  9.38823529],0
a7,1,0.706279,0.142022,[16 12] ; [35 22],[16.8 11.2] ; [34.2 22.8],0
b4,1,0.709058,0.139219,[19 10] ; [35 22],[18.20930233 10.79069767] ; [35.79069767 21.20930233],0
p6,1,0.787813,0.072443,[ 9 20] ; [19 37],[ 9.55294118 19.44705882] ; [18.44705882 37.55294118],0
p5,1,0.82295,0.050065,[ 6 23] ; [13 44],[ 6.40697674 22.59302326] ; [12.59302326 44.40697674],0
v2,1,0.826157,0.048239,[17 12] ; [32 25],[16.52325581 12.47674419] ; [32.47674419 24.52325581],0
n5,1,0.8289,0.046705,[21  8] ; [40 17],[20.56976744  8.43023256] ; [40.43023256 16.56976744],0
n6,1,0.863105,0.029729,[24  5] ; [48  9],[24.27906977  4.72093023] ; [47.72093023  9.27906977],0
a3,1,0.905138,0.014202,[20  8] ; [40 17],[19.76470588  8.23529412] ; [40.23529412 16.76470588],0
a6,1,0.948561,0.004162,[17 12] ; [33 24],[16.86046512 12.13953488] ; [33.13953488 23.86046512],0
r2,1,0.958142,0.002755,[26  3] ; [50  6],[25.92941176  3.07058824] ; [50.07058824  5.92941176],0
