Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.001412,10.189474,[ 1 17] ; [4 2],[ 3.75 14.25] ; [1.25 4.75],0
b2,1,0.001412,10.189474,[ 1 17] ; [4 2],[ 3.75 14.25] ; [1.25 4.75],0
p12,1,0.002904,8.866995,[ 1 28] ; [3 4],[ 3.22222222 25.77777778] ; [0.77777778 6.22222222],0
v3,1,0.008907,6.841451,[ 6 23] ; [5 2],[ 8.86111111 20.13888889] ; [2.13888889 4.86111111],0
d2,1,0.008907,6.841451,[ 6 23] ; [5 2],[ 8.86111111 20.13888889] ; [2.13888889 4.86111111],0
s5,1,0.013284,6.130894,[ 4 25] ; [4 3],[ 6.44444444 22.55555556] ; [1.55555556 5.44444444],0
r4,1,0.07515,3.166784,[10 19] ; [5 2],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
d1,1,0.081187,3.040986,[ 4 25] ; [3 4],[ 5.63888889 23.36111111] ; [1.36111111 5.63888889],0
n3,1,0.124541,2.359259,[8 2] ; [1 2],[6.92307692 3.07692308] ; [2.07692308 0.92307692],0
a8,1,0.155707,2.015435,[ 3 25] ; [2 4],[ 4.11764706 23.88235294] ; [0.88235294 5.11764706],0
b1,1,0.196789,1.666046,[20  9] ; [3 4],[18.52777778 10.47222222] ; [4.47222222 2.52777778],0
p3,1,0.206463,1.596059,[13 16] ; [5 2],[14.5 14.5] ; [3.5 3.5],0
a3,1,0.206463,1.596059,[13 16] ; [5 2],[14.5 14.5] ; [3.5 3.5],0
p4,1,0.233614,1.418719,[18 11] ; [6 1],[19.33333333  9.66666667] ; [4.66666667 2.33333333],0
d4,1,0.233614,1.418719,[18 11] ; [6 1],[19.33333333  9.66666667] ; [4.66666667 2.33333333],0
n2,1,0.252244,1.310833,[7 3] ; [1 2],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
u1,1,0.261227,1.262243,[ 1 28] ; [1 6],[ 1.61111111 27.38888889] ; [0.38888889 6.61111111],0
p10,1,0.297798,1.08403,[19 10] ; [6 1],[20.13888889  8.86111111] ; [4.86111111 2.13888889],0
s6,1,0.346373,0.8867,[15 14] ; [5 2],[16.11111111 12.88888889] ; [3.88888889 3.11111111],0
v1,1,0.354777,0.856298,[11 18] ; [4 3],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
p9,1,0.37456,0.78848,[20  9] ; [6 1],[20.94444444  8.05555556] ; [5.05555556 1.94444444],0
v2,1,0.393153,0.729167,[11 17] ; [4 3],[12. 16.] ; [3. 4.],0
p8,1,0.433627,0.613089,[16 13] ; [5 2],[16.91666667 12.08333333] ; [4.08333333 2.91666667],0
n4,1,0.433627,0.613089,[16 13] ; [5 2],[16.91666667 12.08333333] ; [4.08333333 2.91666667],0
d5,1,0.433627,0.613089,[16 13] ; [5 2],[16.91666667 12.08333333] ; [4.08333333 2.91666667],0
a5,1,0.433627,0.613089,[16 13] ; [5 2],[16.91666667 12.08333333] ; [4.08333333 2.91666667],0
s3,1,0.433627,0.613089,[13 16] ; [2 5],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
r1,1,0.451259,0.567488,[12 17] ; [4 3],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
b5,1,0.451259,0.567488,[17 12] ; [3 4],[16.11111111 12.88888889] ; [3.88888889 3.11111111],0
s7,1,0.453508,0.56187,[ 7 18] ; [3 4],[ 7.8125 17.1875] ; [2.1875 4.8125],0
u2,1,0.45675,0.553846,[12  4] ; [1 1],[11.55555556  4.44444444] ; [1.44444444 0.55555556],0
r3,1,0.465759,0.53202,[21  8] ; [6 1],[21.75  7.25] ; [5.25 1.75],0
a1,1,0.525521,0.403045,[ 2 27] ; [1 6],[ 2.41666667 26.58333333] ; [0.58333333 6.41666667],0
n5,1,0.532706,0.389227,[17 12] ; [5 2],[17.72222222 11.27777778] ; [4.27777778 2.72222222],0
a6,1,0.558017,0.34315,[16 13] ; [3 4],[15.30555556 13.69444444] ; [3.69444444 3.30555556],0
p11,1,0.573611,0.316678,[22  7] ; [6 1],[22.55555556  6.44444444] ; [5.44444444 1.55555556],0
d3,1,0.673669,0.17734,[15 14] ; [3 4],[14.5 14.5] ; [3.5 3.5],0
s2,1,0.678863,0.171409,[10 19] ; [3 4],[10.47222222 18.52777778] ; [2.52777778 4.47222222],0
p6,1,0.678863,0.171409,[10 19] ; [3 4],[10.47222222 18.52777778] ; [2.52777778 4.47222222],0
p2,1,0.700803,0.147638,[23  6] ; [6 1],[23.36111111  5.63888889] ; [5.63888889 1.36111111],0
v4,1,0.898963,0.016122,[20  9] ; [5 2],[20.13888889  8.86111111] ; [4.86111111 2.13888889],0
s8,1,0.898963,0.016122,[ 9 20] ; [2 5],[ 8.86111111 20.13888889] ; [2.13888889 4.86111111],0
a4,1,0.898963,0.016122,[ 9 20] ; [2 5],[ 8.86111111 20.13888889] ; [2.13888889 4.86111111],0
a7,1,0.924978,0.008867,[13 16] ; [3 4],[12.88888889 16.11111111] ; [3.11111111 3.88888889],0
b4,1,0.943253,0.005067,[12 17] ; [3 4],[12.08333333 16.91666667] ; [2.91666667 4.08333333],0
