Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,31.150228,[  5 227] ; [16 62],[ 15.71612903 216.28387097] ; [ 5.28387097 72.71612903],1
s6,1,1e-06,23.268656,[101 133] ; [57 19],[119.26451613 114.73548387] ; [38.73548387 37.26451613],1
s2,1,6e-05,16.114848,[ 53 179] ; [36 41],[ 66.82200647 165.17799353] ; [22.17799353 54.82200647],1
d4,1,0.000577,11.849854,[191  43] ; [76  2],[200.25  33.75] ; [66.75 11.25],1
s3,1,0.001234,10.439386,[ 70 162] ; [38 37],[ 81.61563518 150.38436482] ; [26.38436482 48.61563518],0
p10,1,0.004205,8.192986,[167  64] ; [68  9],[176.25  54.75] ; [58.75 18.25],0
s4,1,0.023824,5.107373,[ 23 209] ; [15 61],[ 28.62337662 203.37662338] ; [ 9.37662338 66.62337662],0
a7,1,0.024805,5.037448,[182  51] ; [51 27],[174.56270096  58.43729904] ; [58.43729904 19.56270096],0
p12,1,0.029183,4.756772,[  9 224] ; [ 8 69],[ 12.77741935 220.22258065] ; [ 4.22258065 72.77741935],0
n6,1,0.0292,4.755811,[175  57] ; [68 10],[181.85806452  50.14193548] ; [61.14193548 16.85806452],0
d1,1,0.029225,4.754286,[142  92] ; [58 20],[150.  84.] ; [50. 28.],0
s8,1,0.029774,4.722267,[ 42 192] ; [23 55],[ 48.75 185.25] ; [16.25 61.75],0
v1,1,0.034057,4.49186,[110 120] ; [47 29],[118.00653595 111.99346405] ; [38.99346405 37.00653595],0
p3,1,0.049486,3.858806,[ 92 139] ; [41 37],[ 99.42718447 131.57281553] ; [33.57281553 44.42718447],0
a6,1,0.06762,3.339875,[183  51] ; [53 25],[177.  57.] ; [59. 19.],0
b5,1,0.071709,3.243465,[147  87] ; [40 38],[140.25  93.75] ; [46.75 31.25],0
p6,1,0.082053,3.023767,[ 54 174] ; [26 51],[ 59.80327869 168.19672131] ; [20.19672131 56.80327869],0
r4,1,0.084747,2.971429,[198  36] ; [72  6],[202.5  31.5] ; [67.5 10.5],0
b3,1,0.103808,2.646037,[45 83] ; [22 23],[49.57225434 78.42774566] ; [17.42774566 27.57225434],0
b2,1,0.103808,2.646037,[45 83] ; [22 23],[49.57225434 78.42774566] ; [17.42774566 27.57225434],0
p7,1,0.112323,2.521225,[125 104] ; [50 27],[130.96405229  98.03594771] ; [44.03594771 32.96405229],0
p9,1,0.133954,2.246076,[177  55] ; [65 12],[181.69579288  50.30420712] ; [60.30420712 16.69579288],0
r2,1,0.193163,1.693324,[209  19] ; [74  3],[211.55409836  16.44590164] ; [71.44590164  5.55409836],0
v4,1,0.243758,1.35873,[211  22] ; [73  4],[213.45806452  19.54193548] ; [70.54193548  6.45806452],0
p4,1,0.247171,1.339225,[121 111] ; [46 31],[125.38511327 106.61488673] ; [41.61488673 35.38511327],0
a4,1,0.265723,1.238696,[111 121] ; [43 35],[115.2516129 116.7483871] ; [38.7483871 39.2516129],0
u2,1,0.31117,1.025703,[34 33] ; [ 8 13],[31.97727273 35.02272727] ; [10.02272727 10.97727273],0
d2,1,0.322249,0.979795,[118 115] ; [44 33],[121.76129032 111.23870968] ; [40.23870968 36.76129032],0
p8,1,0.325836,0.965377,[111 117] ; [43 35],[114.74509804 113.25490196] ; [39.25490196 38.74509804],0
p1,1,0.331582,0.94271,[ 16 217] ; [ 8 70],[ 17.9807074 215.0192926] ; [ 6.0192926 71.9807074],0
a8,1,0.338807,0.91494,[ 22 189] ; [ 5 70],[ 19.91958042 191.08041958] ; [ 7.08041958 67.91958042],0
d5,1,0.356566,0.849951,[197  37] ; [69  9],[199.5  34.5] ; [66.5 11.5],0
n2,1,0.384369,0.756682,[42 21] ; [11  3],[43.36363636 19.63636364] ; [9.63636364 4.36363636],0
n4,1,0.387606,0.746439,[173  60] ; [54 24],[170.06752412  62.93247588] ; [56.93247588 21.06752412],0
b1,1,0.420113,0.65,[ 93 141] ; [27 51],[ 90. 144.] ; [30. 48.],0
b4,1,0.422837,0.642416,[138  96] ; [50 28],[141.  93.] ; [47. 31.],0
u1,1,0.46861,0.525253,[ 34 200] ; [14 64],[ 36. 198.] ; [12. 66.],0
u3,1,0.495976,0.463536,[35 30] ; [10 12],[33.62068966 31.37931034] ; [11.37931034 10.62068966],0
s1,1,0.502273,0.45013,[  6 223] ; [ 1 76],[  5.23856209 223.76143791] ; [ 1.76143791 75.23856209],0
r1,1,0.5272,0.399785,[182  50] ; [63 14],[183.94822006  48.05177994] ; [61.05177994 15.94822006],0
a1,1,0.553349,0.351351,[ 11 223] ; [ 5 73],[ 12. 222.] ; [ 4. 74.],0
p2,1,0.696498,0.15214,[181  49] ; [63 15],[182.20779221  47.79220779] ; [61.79220779 16.20779221],0
a2,1,0.709321,0.138956,[ 62 172] ; [19 59],[ 60.75 173.25] ; [20.25 57.75],0
n5,1,0.726081,0.122741,[161  70] ; [56 22],[162.22330097  68.77669903] ; [54.77669903 23.22330097],0
n3,1,0.741135,0.109132,[42 19] ; [9 5],[41.48 19.52] ; [9.52 4.48],0
r3,1,0.828763,0.04678,[213  19] ; [71  7],[212.54193548  19.45806452] ; [71.45806452  6.54193548],0
p11,1,0.877855,0.02362,[179  55] ; [59 19],[178.5  55.5] ; [59.5 18.5],0
v2,1,0.896498,0.016923,[117 106] ; [40 35],[117.48657718 105.51342282] ; [39.51342282 35.48657718],0
n1,1,0.91667,0.010947,[20 42] ; [4 9],[19.84 42.16] ; [4.16 8.84],0
v3,1,0.979614,0.000653,[ 73 150] ; [25 51],[ 73.090301 149.909699] ; [24.909699 51.090301],0
a3,1,0.983609,0.000422,[167  66] ; [56 22],[167.07073955  65.92926045] ; [55.92926045 22.07073955],0
d3,1,1.0,0.0,[162  72] ; [54 24],[162.  72.] ; [54. 24.],0
