Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,9.4e-05,15.244063,[ 8 90] ; [7 9],[12.89473684 85.10526316] ; [ 2.10526316 13.89473684],1
s6,1,0.003655,8.447513,[52 56] ; [16  3],[57.82677165 50.17322835] ; [10.17322835  8.82677165],0
s2,1,0.013688,6.077981,[29 78] ; [11  9],[33.7007874 73.2992126] ; [ 6.2992126 13.7007874],0
s3,1,0.019872,5.423077,[42 64] ; [13  6],[46.64 59.36] ; [ 8.36 10.64],0
s7,1,0.035547,4.418729,[29 74] ; [10  9],[32.92622951 70.07377049] ; [ 6.07377049 12.92622951],0
r1,1,0.038448,4.285113,[79 28] ; [19  1],[82.56692913 24.43307087] ; [15.43307087  4.56692913],0
d4,1,0.083702,2.991513,[84 23] ; [19  1],[86.77952756 20.22047244] ; [16.22047244  3.77952756],0
s4,1,0.100508,2.697462,[12 94] ; [ 5 15],[14.3015873 91.6984127] ; [ 2.6984127 17.3015873],0
p6,1,0.131639,2.273069,[27 79] ; [ 2 18],[24.3968254 81.6031746] ; [ 4.6031746 15.3968254],0
n6,1,0.133721,2.24877,[67 40] ; [16  4],[69.92913386 37.07086614] ; [13.07086614  6.92913386],0
a3,1,0.1919,1.702966,[69 37] ; [16  4],[71.50793651 34.49206349] ; [13.49206349  6.50793651],0
u3,1,0.192553,1.697973,[23 16] ; [1 3],[21.76744186 17.23255814] ; [2.23255814 1.76744186],0
r4,1,0.212051,1.557366,[84 24] ; [18  2],[86.0625 21.9375] ; [15.9375  4.0625],0
p9,1,0.213034,1.550688,[36 70] ; [8 8],[38.2295082 67.7704918] ; [ 5.7704918 10.2295082],0
d5,1,0.268149,1.226192,[85 22] ; [18  2],[86.77952756 20.22047244] ; [16.22047244  3.77952756],0
u1,1,0.287852,1.129642,[21 87] ; [ 6 14],[22.78125 85.21875] ; [ 4.21875 15.78125],0
p2,1,0.300373,1.072537,[68 40] ; [15  5],[70.03125 37.96875] ; [12.96875  7.03125],0
s8,1,0.324794,0.969543,[23 85] ; [ 6 13],[24.66141732 83.33858268] ; [ 4.33858268 14.66141732],0
p11,1,0.42795,0.628381,[49 59] ; [11  9],[50.625 57.375] ; [ 9.375 10.625],0
v2,1,0.435777,0.607378,[46 61] ; [10  9],[47.55555556 59.44444444] ; [ 8.44444444 10.55555556],0
n2,1,0.447019,0.578198,[23 18] ; [5 2],[23.91666667 17.08333333] ; [4.08333333 2.91666667],0
v3,1,0.462368,0.540156,[28 76] ; [ 7 13],[29.35483871 74.64516129] ; [ 5.64516129 14.35483871],0
b4,1,0.500967,0.452887,[68 40] ; [11  9],[66.65625 41.34375] ; [12.34375  7.65625],0
b5,1,0.51151,0.430976,[73 35] ; [15  5],[74.25 33.75] ; [13.75  6.25],0
b3,1,0.543751,0.368633,[22 45] ; [ 4 12],[20.98795181 46.01204819] ; [ 5.01204819 10.98795181],0
b2,1,0.543751,0.368633,[22 45] ; [ 4 12],[20.98795181 46.01204819] ; [ 5.01204819 10.98795181],0
a5,1,0.546861,0.362971,[68 40] ; [14  6],[69.1875 38.8125] ; [12.8125  7.1875],0
v1,1,0.555839,0.34696,[45 62] ; [ 7 13],[43.81102362 63.18897638] ; [ 8.18897638 11.81102362],0
p5,1,0.605721,0.266453,[  3 104] ; [ 1 19],[  3.37007874 103.62992126] ; [ 0.62992126 19.37007874],0
r3,1,0.637834,0.221586,[93 15] ; [18  2],[93.65625 14.34375] ; [17.34375  2.65625],0
a6,1,0.650361,0.205445,[75 32] ; [13  7],[74.14173228 32.85826772] ; [13.85826772  6.14173228],0
n5,1,0.657126,0.197033,[59 49] ; [12  8],[59.90625 48.09375] ; [11.09375  8.90625],0
a1,1,0.698904,0.149614,[  8 100] ; [ 1 19],[  7.59375 100.40625] ; [ 1.40625 18.59375],0
a2,1,0.704741,0.143587,[28 80] ; [ 6 14],[28.6875 79.3125] ; [ 5.3125 14.6875],0
p4,1,0.722425,0.126181,[44 64] ; [ 9 11],[44.71875 63.28125] ; [ 8.28125 11.71875],0
p7,1,0.722915,0.125716,[46 61] ; [ 9 10],[46.70634921 60.29365079] ; [ 8.29365079 10.70634921],0
d1,1,0.760453,0.092956,[58 50] ; [10 10],[57.375 50.625] ; [10.625  9.375],0
n3,1,0.772445,0.083624,[27 14] ; [5 2],[27.33333333 13.66666667] ; [4.66666667 2.33333333],0
a4,1,0.806888,0.059752,[45 62] ; [ 9 11],[45.49606299 61.50393701] ; [ 8.50393701 11.49606299],0
d3,1,0.858126,0.031955,[77 30] ; [14  6],[76.66929134 30.33070866] ; [14.33070866  5.66929134],0
p3,1,0.875305,0.024625,[34 73] ; [ 6 14],[33.7007874 73.2992126] ; [ 6.2992126 13.7007874],0
b1,1,0.902362,0.01505,[47 61] ; [ 9 11],[47.25 60.75] ; [ 8.75 11.25],0
p8,1,0.917989,0.010602,[37 70] ; [ 6 12],[36.808 70.192] ; [ 6.192 11.808],0
v4,1,0.933211,0.007023,[91 17] ; [17  3],[91.125 16.875] ; [16.875  3.125],0
n1,1,0.944889,0.004778,[17 24] ; [3 4],[17.08333333 23.91666667] ; [2.91666667 4.08333333],0
d2,1,0.969397,0.001472,[54 53] ; [10 10],[53.92125984 53.07874016] ; [10.07874016  9.92125984],0
n4,1,0.987288,0.000254,[70 38] ; [13  7],[70.03125 37.96875] ; [12.96875  7.03125],0
