Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,38.521177,[50 12] ; [ 52 101],[29.41395349 32.58604651] ; [72.58604651 80.41395349],1
s7,1,0.0,27.859181,[32 28] ; [ 25 121],[16.60194175 43.39805825] ; [ 40.39805825 105.60194175],1
s2,1,5e-06,20.914537,[35 27] ; [ 37 117],[20.66666667 41.33333333] ; [ 51.33333333 102.66666667],1
s3,1,2.3e-05,17.960362,[40 22] ; [ 49 100],[26.15165877 35.84834123] ; [62.84834123 86.15165877],1
a8,1,8.8e-05,15.372016,[12 47] ; [  5 138],[ 4.96534653 54.03465347] ; [ 12.03465347 130.96534653],1
p9,1,0.00017,14.131837,[53  8] ; [91 60],[41.43396226 19.56603774] ; [102.56603774  48.43396226],1
r4,1,0.000959,10.905492,[58  4] ; [113  41],[49.08333333 12.91666667] ; [121.91666667  32.08333333],1
p10,1,0.00332,8.622468,[45 15] ; [80 71],[35.5450237 24.4549763] ; [89.4549763 61.5450237],0
p3,1,0.004436,8.096305,[32 30] ; [ 47 105],[22.88785047 39.11214953] ; [56.11214953 95.88785047],0
p11,1,0.005803,7.61038,[51 11] ; [97 57],[42.48148148 19.51851852] ; [105.51851852  48.48148148],0
u3,1,0.009828,6.665824,[15  4] ; [28 34],[10.08641975  8.91358025] ; [32.91358025 29.08641975],0
u2,1,0.018422,5.555601,[15  3] ; [33 30],[10.66666667  7.33333333] ; [37.33333333 25.66666667],0
v4,1,0.023267,5.148472,[60  2] ; [131  21],[55.3364486  6.6635514] ; [135.6635514  16.3364486],0
a5,1,0.028236,4.813606,[45 17] ; [87 67],[37.88888889 24.11111111] ; [94.11111111 59.88888889],0
r3,1,0.030233,4.695992,[61  1] ; [138  16],[57.12037037  4.87962963] ; [141.87962963  12.12037037],0
p2,1,0.031193,4.642297,[53  9] ; [108  43],[46.86384977 15.13615023] ; [114.13615023  36.86384977],0
s5,1,0.045925,3.984361,[18 39] ; [ 28 122],[12.66666667 44.33333333] ; [ 33.33333333 116.66666667],0
n4,1,0.048594,3.889315,[32 30] ; [57 97],[25.5462963 36.4537037] ; [63.4537037 90.5462963],0
p5,1,0.05097,3.80925,[ 6 55] ; [  5 147],[ 3.15023474 57.84976526] ; [  7.84976526 144.15023474],0
p4,1,0.05341,3.731044,[33 29] ; [59 93],[26.65420561 35.34579439] ; [65.34579439 86.65420561],0
v3,1,0.073028,3.213622,[20 37] ; [ 33 112],[14.95544554 42.04455446] ; [ 38.04455446 106.95544554],0
v1,1,0.086054,2.946674,[28 30] ; [53 97],[22.58653846 35.41346154] ; [58.41346154 91.58653846],0
r1,1,0.125252,2.350385,[49 13] ; [105  48],[44.40930233 17.59069767] ; [109.59069767  43.40930233],0
p6,1,0.135193,2.231839,[17 43] ; [ 28 120],[12.98076923 47.01923077] ; [ 32.01923077 115.98076923],0
p7,1,0.137429,2.206518,[36 24] ; [74 78],[31.13207547 28.86792453] ; [78.86792453 73.13207547],0
d2,1,0.140015,2.177796,[28 34] ; [ 53 101],[23.25 38.75] ; [57.75 96.25],0
a3,1,0.149822,2.074058,[43 19] ; [90 63],[38.35348837 23.64651163] ; [94.64651163 58.35348837],0
