Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.513751,[86 82] ; [63 15],[101.75609756  66.24390244] ; [47.24390244 30.75609756],1
s7,1,8e-05,15.547971,[ 27 129] ; [31 44],[ 39.16883117 116.83116883] ; [18.83116883 56.16883117],1
p4,1,0.000363,12.715469,[74 94] ; [54 25],[87.06072874 80.93927126] ; [40.93927126 38.06072874],1
b3,1,0.001786,9.757819,[30 66] ; [28 20],[38.66666667 57.33333333] ; [19.33333333 28.66666667],0
b2,1,0.001786,9.757819,[30 66] ; [28 20],[38.66666667 57.33333333] ; [19.33333333 28.66666667],0
p3,1,0.002511,9.132663,[ 61 106] ; [45 34],[71.95934959 95.04065041] ; [34.04065041 44.95934959],0
s8,1,0.007482,7.153453,[ 28 140] ; [25 54],[ 36.048583 131.951417] ; [16.951417 62.048583],0
p8,1,0.009474,6.731297,[74 93] ; [49 30],[83.5 83.5] ; [39.5 39.5],0
u1,1,0.015264,5.885792,[ 14 154] ; [15 64],[ 19.72469636 148.27530364] ; [ 9.27530364 69.72469636],0
v4,1,0.028711,4.784841,[152  14] ; [78  1],[155.83673469  10.16326531] ; [74.16326531  4.83673469],0
a7,1,0.037153,4.343383,[111  56] ; [62 16],[117.92244898  49.07755102] ; [55.07755102 22.92244898],0
n1,1,0.045615,3.995768,[ 6 29] ; [ 8 11],[ 9.07407407 25.92592593] ; [ 4.92592593 14.07407407],0
p1,1,0.046152,3.976027,[  9 158] ; [10 69],[ 12.89837398 154.10162602] ; [ 6.10162602 72.89837398],0
p12,1,0.062681,3.46499,[  3 163] ; [ 5 74],[  5.42040816 160.57959184] ; [ 2.57959184 76.42040816],0
n4,1,0.070353,3.27476,[113  55] ; [62 17],[119.02834008  48.97165992] ; [55.97165992 23.02834008],0
n5,1,0.12827,2.313319,[104  63] ; [57 22],[109.29674797  57.70325203] ; [51.70325203 27.29674797],0
v3,1,0.134537,2.239354,[ 51 110] ; [32 45],[ 56.14705882 104.85294118] ; [26.85294118 50.14705882],0
n3,1,0.153753,2.034614,[25 12] ; [17  3],[27.26315789  9.73684211] ; [14.73684211  5.26315789],0
s4,1,0.155798,2.014548,[ 12 156] ; [10 69],[ 14.96356275 153.03643725] ; [ 7.03643725 71.96356275],0
s5,1,0.185459,1.753329,[ 20 146] ; [14 62],[ 23.32231405 142.67768595] ; [10.67768595 65.32231405],0
a2,1,0.195233,1.67768,[ 25 143] ; [17 62],[ 28.56680162 139.43319838] ; [13.43319838 65.56680162],0
s2,1,0.196384,1.669064,[ 30 135] ; [20 59],[ 33.81147541 131.18852459] ; [16.18852459 62.81147541],0
u2,1,0.213673,1.546364,[26 34] ; [14 10],[28.57142857 31.42857143] ; [11.42857143 12.57142857],0
v1,1,0.219257,1.50923,[75 88] ; [43 36],[79.47933884 83.52066116] ; [38.52066116 40.47933884],0
d4,1,0.245593,1.348199,[129  37] ; [56 23],[125.34693878  40.65306122] ; [59.65306122 19.34693878],0
p9,1,0.260528,1.265949,[126  40] ; [65 14],[129.4122449  36.5877551] ; [61.5877551 17.4122449],0
b4,1,0.341673,0.904144,[98 70] ; [41 38],[94.54251012 73.45748988] ; [44.45748988 34.54251012],0
v2,1,0.347607,0.882173,[83 79] ; [45 33],[86.4 75.6] ; [41.6 36.4],0
a3,1,0.366665,0.814935,[108  59] ; [55 23],[111.10612245  55.89387755] ; [51.89387755 26.10612245],0
r2,1,0.374734,0.787907,[148  19] ; [72  6],[149.95918367  17.04081633] ; [70.04081633  7.95918367],0
r3,1,0.438771,0.599495,[154  12] ; [71  8],[152.44897959  13.55102041] ; [72.55102041  6.44897959],0
d5,1,0.45997,0.545967,[128  40] ; [56 22],[125.65853659  42.34146341] ; [58.34146341 19.65853659],0
n6,1,0.485199,0.487154,[131  36] ; [65 14],[133.05691057  33.94308943] ; [62.94308943 16.05691057],0
a4,1,0.515504,0.422878,[ 65 103] ; [34 45],[ 67.33603239 100.66396761] ; [31.66396761 47.33603239],0
d1,1,0.523164,0.407652,[82 86] ; [42 37],[84.34008097 83.65991903] ; [39.65991903 39.34008097],0
r1,1,0.58012,0.30604,[126  41] ; [57 22],[124.23170732  42.76829268] ; [58.76829268 20.23170732],0
n2,1,0.592036,0.287176,[22 13] ; [14  6],[22.90909091 12.09090909] ; [13.09090909  6.90909091],0
s3,1,0.615394,0.252395,[ 43 122] ; [23 56],[ 44.63114754 120.36885246] ; [21.36885246 57.63114754],0
d3,1,0.620151,0.245655,[108  60] ; [52 25],[109.71428571  58.28571429] ; [50.28571429 26.71428571],0
p10,1,0.62887,0.233597,[122  45] ; [60 19],[123.55284553  43.44715447] ; [58.44715447 20.55284553],0
b5,1,0.652839,0.20234,[97 71] ; [48 31],[98.62348178 69.37651822] ; [46.37651822 32.62348178],0
u3,1,0.678069,0.172308,[27 33] ; [12 12],[27.85714286 32.14285714] ; [11.14285714 12.85714286],0
r4,1,0.683117,0.166638,[139  29] ; [67 12],[140.11336032  27.88663968] ; [65.88663968 13.11336032],0
b1,1,0.716917,0.131466,[ 64 104] ; [32 47],[ 65.29554656 102.70445344] ; [30.70445344 48.29554656],0
a6,1,0.722317,0.126284,[111  57] ; [54 25],[112.22672065  55.77327935] ; [52.77327935 26.22672065],0
a5,1,0.733383,0.116028,[109  59] ; [53 26],[110.18623482  57.81376518] ; [51.81376518 27.18623482],0
s1,1,0.776,0.08096,[  3 164] ; [ 1 76],[  2.73770492 164.26229508] ; [ 1.26229508 75.73770492],0
p11,1,0.823276,0.049878,[136  32] ; [63 16],[135.35222672  32.64777328] ; [63.64777328 15.35222672],0
d2,1,0.842545,0.039458,[72 95] ; [33 46],[71.2804878 95.7195122] ; [33.7195122 45.2804878],0
