Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,137.40574,[ 3 98] ; [262 122],[55.18556701 45.81443299] ; [209.81443299 174.18556701],1
d3,1,0.0,96.494171,[26 73] ; [300  84],[66.81987578 32.18012422] ; [259.18012422 124.81987578],1
d5,1,0.0,66.452494,[49 51] ; [332  52],[78.71900826 21.28099174] ; [302.28099174  81.71900826],1
d2,1,1e-06,23.587744,[23 78] ; [191 193],[44.56494845 56.43505155] ; [169.43505155 214.56494845],1
r1,1,2e-06,22.492504,[58 42] ; [310  74],[76.03305785 23.96694215] ; [291.96694215  92.03305785],1
a3,1,3e-05,17.389849,[52 48] ; [282 101],[69.15113872 30.84886128] ; [264.84886128 118.15113872],1
u1,1,5.2e-05,16.358893,[ 2 99] ; [ 69 315],[14.78556701 86.21443299] ; [ 56.21443299 327.78556701],1
a5,1,6.9e-05,15.825058,[55 46] ; [287  97],[71.22061856 29.77938144] ; [270.77938144 113.22061856],1
a4,1,0.000131,14.632924,[26 74] ; [181 202],[42.85714286 57.14285714] ; [164.14285714 218.85714286],1
a7,1,0.002826,8.916743,[62 38] ; [294  89],[73.70600414 26.29399586] ; [282.29399586 100.70600414],0
r3,1,0.00308,8.759732,[89 11] ; [370  14],[94.83471074  5.16528926] ; [364.16528926  19.83471074],0
a2,1,0.003686,8.432258,[11 90] ; [ 93 291],[21.65773196 79.34226804] ; [ 82.34226804 301.65773196],0
r4,1,0.008761,6.870961,[80 21] ; [342  42],[87.88041237 13.11958763] ; [334.11958763  49.88041237],0
p1,1,0.011769,6.345366,[12 89] ; [ 19 363],[ 6.48240166 94.51759834] ; [ 24.51759834 357.48240166],0
v2,1,0.013476,6.105558,[42 53] ; [213 152],[52.66304348 42.33695652] ; [202.33695652 162.66304348],0
r2,1,0.013922,6.048053,[87 13] ; [357  22],[92.69311065  7.30688935] ; [351.30688935  27.69311065],0
s2,1,0.027092,4.884927,[30 71] ; [160 223],[39.64876033 61.35123967] ; [150.35123967 232.64876033],0
p4,1,0.02955,4.735288,[48 53] ; [227 154],[57.62448133 43.37551867] ; [217.37551867 163.62448133],0
n4,1,0.032693,4.561794,[68 33] ; [298  86],[76.2185567 24.7814433] ; [289.7814433  94.2185567],0
a6,1,0.041267,4.165019,[62 39] ; [276 108],[70.38762887 30.61237113] ; [267.61237113 116.38762887],0
u3,1,0.04163,4.150189,[19 30] ; [56 43],[24.83108108 24.16891892] ; [50.16891892 48.83108108],0
u2,1,0.047972,3.91098,[22 27] ; [62 38],[27.62416107 21.37583893] ; [56.37583893 43.62416107],0
v3,1,0.049557,3.856394,[29 71] ; [145 220],[37.41935484 62.58064516] ; [136.58064516 228.41935484],0
b3,1,0.053369,3.732342,[15 46] ; [ 86 141],[21.39236111 39.60763889] ; [ 79.60763889 147.39236111],0
b2,1,0.053369,3.732342,[15 46] ; [ 86 141],[21.39236111 39.60763889] ; [ 79.60763889 147.39236111],0
s7,1,0.058303,3.585005,[32 65] ; [161 208],[40.17381974 56.82618026] ; [152.82618026 216.17381974],0
v4,1,0.09419,2.801269,[91  9] ; [366  18],[94.4214876  5.5785124] ; [362.5785124  21.4214876],0
p6,1,0.097432,2.747089,[25 75] ; [127 250],[31.86582809 68.13417191] ; [120.13417191 256.86582809],0
b4,1,0.100939,2.690639,[50 51] ; [225 159],[57.26804124 43.73195876] ; [217.73195876 166.26804124],0
s8,1,0.10668,2.602732,[32 69] ; [155 228],[39.02272727 61.97727273] ; [147.97727273 235.02272727],0
p2,1,0.110453,2.547734,[81 20] ; [328  51],[86.06041667 14.93958333] ; [322.93958333  56.06041667],0
p7,1,0.11196,2.526331,[54 46] ; [234 139],[60.88794926 39.11205074] ; [227.11205074 145.88794926],0
p10,1,0.113042,2.511166,[85 16] ; [343  39],[89.4989648 11.5010352] ; [338.5010352  43.4989648],0
n3,1,0.162742,1.948556,[22  4] ; [61 25],[19.26785714  6.73214286] ; [63.73214286 22.26785714],0
n6,1,0.190499,1.713757,[79 22] ; [320  62],[83.43478261 17.56521739] ; [315.56521739  66.43478261],0
a8,1,0.194468,1.683443,[ 9 84] ; [ 52 297],[12.83484163 80.16515837] ; [ 48.16515837 300.83484163],0
n2,1,0.228916,1.447585,[21  5] ; [59 27],[18.57142857  7.42857143] ; [61.42857143 24.57142857],0
p11,1,0.252818,1.307666,[81 20] ; [326  58],[84.75670103 16.24329897] ; [322.24329897  61.75670103],0
s3,1,0.273583,1.198691,[43 56] ; [189 192],[47.85 51.15] ; [184.15 196.85],0
s6,1,0.289247,1.123125,[54 47] ; [226 155],[58.67219917 42.32780083] ; [221.32780083 159.67219917],0
p8,1,0.339865,0.910939,[46 53] ; [196 182],[50.22641509 48.77358491] ; [191.77358491 186.22641509],0
p12,1,0.371654,0.798127,[ 4 97] ; [ 24 357],[ 5.86721992 95.13278008] ; [ 22.13278008 358.86721992],0
p5,1,0.436495,0.605479,[ 5 96] ; [ 27 352],[ 6.73333333 94.26666667] ; [ 25.26666667 353.73333333],0
b1,1,0.457083,0.553029,[39 62] ; [133 251],[35.8185567 65.1814433] ; [136.1814433 247.8185567],0
a1,1,0.581337,0.304078,[ 3 98] ; [ 16 368],[ 3.95670103 97.04329897] ; [ 15.04329897 368.95670103],0
s1,1,0.715897,0.132458,[ 3 97] ; [  9 372],[ 2.49480249 97.50519751] ; [  9.50519751 371.49480249],0
n5,1,0.769346,0.085984,[77 23] ; [288  93],[75.88357588 24.11642412] ; [289.11642412  91.88357588],0
s4,1,0.770152,0.085367,[12 88] ; [ 42 341],[11.18012422 88.81987578] ; [ 42.81987578 340.18012422],0
n1,1,0.863107,0.029729,[ 9 17] ; [31 54],[ 9.36936937 16.63063063] ; [30.63063063 54.36936937],0
v1,1,0.865563,0.028662,[51 46] ; [192 180],[50.25799574 46.74200426] ; [192.74200426 179.25799574],0
p3,1,0.924455,0.008991,[46 55] ; [176 206],[46.42236025 54.57763975] ; [175.57763975 206.42236025],0
b5,1,0.956296,0.003003,[65 36] ; [246 138],[64.76494845 36.23505155] ; [246.23505155 137.76494845],0
