Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000492,12.146549,[48 69] ; [23  7],[56.51020408 60.48979592] ; [14.48979592 15.51020408],1
s8,1,0.000765,11.324444,[26 91] ; [16 14],[33.42857143 83.57142857] ; [ 8.57142857 21.42857143],1
s7,1,0.005813,7.607393,[29 81] ; [15 13],[35.07246377 74.92753623] ; [ 8.92753623 19.07246377],0
s4,1,0.005833,7.601282,[ 12 105] ; [ 9 21],[ 16.71428571 100.28571429] ; [ 4.28571429 25.71428571],0
s2,1,0.006019,7.544676,[40 77] ; [18 11],[46.47945205 70.52054795] ; [11.52054795 17.47945205],0
s3,1,0.012672,6.214286,[54 62] ; [21  8],[60. 56.] ; [15. 14.],0
v1,1,0.026063,4.95181,[45 70] ; [18 11],[50.3125 64.6875] ; [12.6875 16.3125],0
d4,1,0.042156,4.128938,[83 32] ; [27  3],[87.24137931 27.75862069] ; [22.75862069  7.24137931],0
p12,1,0.042279,4.123998,[  1 114] ; [ 2 27],[  2.39583333 112.60416667] ; [ 0.60416667 28.39583333],0
a6,1,0.044933,4.021165,[84 32] ; [16 14],[79.45205479 36.54794521] ; [20.54794521  9.45205479],0
p3,1,0.046447,3.965312,[37 79] ; [15 14],[41.6 74.4] ; [10.4 18.6],0
d1,1,0.064737,3.411657,[52 65] ; [19 11],[56.51020408 60.48979592] ; [14.48979592 15.51020408],0
b3,1,0.06538,3.395356,[17 48] ; [10 11],[20.40697674 44.59302326] ; [ 6.59302326 14.40697674],0
b2,1,0.06538,3.395356,[17 48] ; [10 11],[20.40697674 44.59302326] ; [ 6.59302326 14.40697674],0
p6,1,0.072502,3.225446,[19 93] ; [ 9 19],[22.4 89.6] ; [ 5.6 22.4],0
d3,1,0.108126,2.581402,[70 45] ; [23  7],[73.75862069 41.24137931] ; [19.24137931 10.75862069],0
p10,1,0.167184,1.908012,[63 52] ; [20  9],[66.28472222 48.71527778] ; [16.71527778 12.28472222],0
r3,1,0.176612,1.825903,[97 19] ; [28  2],[99.31506849 16.68493151] ; [25.68493151  4.31506849],0
d2,1,0.176693,1.825226,[46 70] ; [16 14],[49.26027397 66.73972603] ; [12.73972603 17.26027397],0
n2,1,0.178022,1.814059,[24 12] ; [12  2],[25.92 10.08] ; [10.08  3.92],0
