Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,21.854186,[209  79] ; [19 30],[194.84866469  93.15133531] ; [33.15133531 15.84866469],1
p10,1,5e-05,16.451182,[254  30] ; [34 16],[244.88622754  39.11377246] ; [43.11377246  6.88622754],1
p8,1,6.8e-05,15.86463,[176 107] ; [16 34],[163.17117117 119.82882883] ; [28.82882883 21.17117117],1
p7,1,0.000203,13.802479,[205  76] ; [21 25],[194.20795107  86.79204893] ; [31.79204893 14.20795107],1
r3,1,0.000469,12.23522,[282   6] ; [44  6],[277.77514793  10.22485207] ; [48.22485207  1.77514793],1
p3,1,0.000865,11.097062,[174 115] ; [17 32],[163.31065089 125.68934911] ; [27.68934911 21.31065089],1
p9,1,0.00171,9.836893,[264  22] ; [39 11],[257.91071429  28.08928571] ; [45.08928571  4.91071429],0
n5,1,0.002681,9.012429,[245  42] ; [34 16],[237.60534125  49.39465875] ; [41.39465875  8.60534125],0
n4,1,0.008922,6.838457,[240  47] ; [34 16],[233.34718101  53.65281899] ; [40.65281899  9.34718101],0
d4,1,0.013169,6.146239,[255  33] ; [37 12],[249.54302671  38.45697329] ; [42.45697329  6.54302671],0
a3,1,0.020733,5.349062,[226  62] ; [31 18],[219.63204748  68.36795252] ; [37.36795252 11.63204748],0
n6,1,0.028655,4.788208,[255  32] ; [38 11],[250.27083333  36.72916667] ; [42.72916667  6.27083333],0
s1,1,0.039927,4.220966,[  7 276] ; [ 4 45],[  9.37650602 273.62349398] ; [ 1.62349398 47.37650602],0
d5,1,0.048055,3.908068,[249  39] ; [37 12],[244.41543027  43.58456973] ; [41.58456973  7.41543027],0
a7,1,0.048726,3.884783,[217  71] ; [31 19],[211.31360947  76.68639053] ; [36.68639053 13.31360947],0
d3,1,0.056285,3.643606,[215  74] ; [30 19],[209.48224852  79.51775148] ; [35.51775148 13.48224852],0
a2,1,0.079439,3.076337,[ 87 202] ; [ 9 41],[ 81.84070796 207.15929204] ; [14.15929204 35.84070796],0
a6,1,0.110009,2.554099,[198  90] ; [28 21],[193.13946588  94.86053412] ; [32.86053412 16.13946588],0
p11,1,0.128838,2.306449,[235  54] ; [36 14],[231.02949853  57.97050147] ; [39.97050147 10.02949853],0
s2,1,0.140918,2.16791,[187  99] ; [38 12],[191.51785714  94.48214286] ; [33.48214286 16.51785714],0
v4,1,0.170869,1.875306,[280   7] ; [47  3],[278.48367953   8.51632047] ; [48.51632047  1.48367953],0
d1,1,0.237963,1.392621,[187 102] ; [28 22],[183.28908555 105.71091445] ; [31.71091445 18.28908555],0
u1,1,0.23851,1.389378,[ 68 221] ; [ 8 42],[ 64.79056047 224.20943953] ; [11.20943953 38.79056047],0
s4,1,0.297232,1.086572,[ 48 239] ; [11 37],[ 50.54626866 236.45373134] ; [ 8.45373134 39.54626866],0
a5,1,0.305421,1.050376,[227  62] ; [36 14],[224.20943953  64.79056047] ; [38.79056047 11.20943953],0
s7,1,0.311539,1.024141,[181  97] ; [27 20],[177.92 100.08] ; [30.08 16.92],0
b3,1,0.322232,0.979865,[ 77 109] ; [11 23],[ 74.4 111.6] ; [13.6 20.4],0
b2,1,0.322232,0.979865,[ 77 109] ; [11 23],[ 74.4 111.6] ; [13.6 20.4],0
r4,1,0.383215,0.760362,[270  19] ; [45  5],[268.53982301  20.46017699] ; [46.46017699  3.53982301],0
n3,1,0.396614,0.718568,[35 15] ; [10  7],[33.58208955 16.41791045] ; [11.41791045  5.58208955],0
r2,1,0.400188,0.707762,[275  10] ; [47  3],[273.94029851  11.05970149] ; [48.05970149  1.94029851],0
d2,1,0.40085,0.705776,[148 140] ; [22 27],[145.28189911 142.71810089] ; [24.71810089 24.28189911],0
u3,1,0.411538,0.674353,[40 23] ; [14  5],[41.48780488 21.51219512] ; [12.51219512  6.48780488],0
a1,1,0.425151,0.636034,[ 15 274] ; [ 4 46],[ 16.19764012 272.80235988] ; [ 2.80235988 47.19764012],0
p12,1,0.431674,0.618316,[ 34 254] ; [ 4 46],[ 32.37869822 255.62130178] ; [ 5.62130178 44.37869822],0
p6,1,0.437209,0.603597,[132 150] ; [20 29],[129.49848943 152.50151057] ; [22.50151057 26.49848943],0
b4,1,0.493445,0.469005,[176 113] ; [33 17],[178.1740413 110.8259587] ; [30.8259587 19.1740413],0
n2,1,0.568405,0.325359,[42  9] ; [15  2],[42.75  8.25] ; [14.25  2.75],0
s3,1,0.6573,0.19682,[192  92] ; [34 14],[193.3253012  90.6746988] ; [32.6746988 15.3253012],0
r1,1,0.672219,0.179017,[243  45] ; [41  9],[241.98816568  46.01183432] ; [42.01183432  7.98816568],0
b1,1,0.688134,0.161112,[107 182] ; [20 30],[108.26843658 180.73156342] ; [18.73156342 31.26843658],0
v2,1,0.710114,0.138163,[193  88] ; [31 16],[191.90243902  89.09756098] ; [32.09756098 14.90243902],0
s8,1,0.713325,0.134978,[172 115] ; [28 21],[170.83333333 116.16666667] ; [29.16666667 19.83333333],0
a4,1,0.811568,0.056836,[140 147] ; [23 26],[139.22916667 147.77083333] ; [23.77083333 25.22916667],0
a8,1,0.854653,0.033557,[ 41 216] ; [ 7 40],[ 40.57894737 216.42105263] ; [ 7.42105263 39.57894737],0
s5,1,0.886917,0.020223,[132 150] ; [23 25],[132.45454545 149.54545455] ; [22.54545455 25.45454545],0
n1,1,0.88859,0.019625,[25 26] ; [8 9],[24.75 26.25] ; [8.25 8.75],0
v3,1,0.892576,0.018237,[141 141] ; [23 24],[140.57142857 141.42857143] ; [23.42857143 23.57142857],0
b5,1,0.896612,0.016885,[188 101] ; [33 17],[188.40412979 100.59587021] ; [32.59587021 17.40412979],0
p1,1,0.928873,0.007968,[ 30 258] ; [ 5 45],[ 29.82248521 258.17751479] ; [ 5.17751479 44.82248521],0
u2,1,0.945917,0.004602,[38 23] ; [12  7],[38.125 22.875] ; [11.875  7.125],0
u4,1,0.947475,0.00434,[ 11 278] ; [ 2 48],[ 11.08259587 277.91740413] ; [ 1.91740413 48.08259587],0
p5,1,0.991108,0.000124,[ 47 242] ; [ 8 41],[ 47.02662722 241.97337278] ; [ 7.97337278 41.02662722],0
