Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.475307,[16  6] ; [13 68],[ 6.19417476 15.80582524] ; [22.80582524 58.19417476],1
s5,1,1.1e-05,19.397214,[10 11] ; [ 7 78],[ 3.36792453 17.63207547] ; [13.63207547 71.36792453],1
s6,1,1.2e-05,19.164648,[17  5] ; [24 65],[ 8.12612613 13.87387387] ; [32.87387387 56.12612613],1
s2,1,0.000139,14.516545,[15  8] ; [21 68],[ 7.39285714 15.60714286] ; [28.60714286 60.39285714],1
v1,1,0.000196,13.867118,[16  5] ; [28 60],[ 8.47706422 12.52293578] ; [35.52293578 52.47706422],1
p9,1,0.001119,10.62019,[19  3] ; [41 45],[12.22222222  9.77777778] ; [47.77777778 38.22222222],0
p10,1,0.001557,10.01046,[17  5] ; [34 52],[10.38888889 11.61111111] ; [40.61111111 45.38888889],0
u3,1,0.006434,7.424471,[8 1] ; [12 20],[4.3902439 4.6097561] ; [15.6097561 16.3902439],0
s3,1,0.006477,7.412476,[17  6] ; [37 51],[11.18918919 11.81081081] ; [42.81081081 45.18918919],0
p11,1,0.009434,6.738783,[16  7] ; [35 54],[10.47321429 12.52678571] ; [40.52678571 48.47321429],0
r4,1,0.012398,6.253009,[19  4] ; [48 41],[13.75892857  9.24107143] ; [53.24107143 35.75892857],0
r3,1,0.020947,5.331185,[21  2] ; [59 29],[16.57657658  6.42342342] ; [63.42342342 24.57657658],0
p6,1,0.036884,4.355777,[ 6 17] ; [ 8 76],[ 3.00934579 19.99065421] ; [10.99065421 73.00934579],0
p8,1,0.05294,3.745815,[ 9 14] ; [17 69],[ 5.48623853 17.51376147] ; [20.51376147 65.48623853],0
s4,1,0.053495,3.728401,[ 7 16] ; [12 77],[ 3.90178571 19.09821429] ; [15.09821429 73.90178571],0
u2,1,0.054974,3.682864,[7 1] ; [16 16],[4.6 3.4] ; [18.4 13.6],0
d5,1,0.055885,3.655467,[19  4] ; [54 34],[15.12612613  7.87387387] ; [57.87387387 30.12612613],0
d4,1,0.069588,3.292717,[20  3] ; [59 28],[16.51818182  6.48181818] ; [62.48181818 24.51818182],0
n2,1,0.073279,3.207999,[8 1] ; [21 16],[5.67391304 3.32608696] ; [23.32608696 13.67391304],0
n1,1,0.079124,3.082807,[5 3] ; [11 26],[2.84444444 5.15555556] ; [13.15555556 23.84444444],0
v2,1,0.09148,2.848135,[11 10] ; [27 56],[ 7.67307692 13.32692308] ; [30.32692308 52.67307692],0
p2,1,0.102814,2.661334,[16  7] ; [45 44],[12.52678571 10.47321429] ; [48.47321429 40.52678571],0
r1,1,0.139579,2.182592,[18  5] ; [55 34],[14.99107143  8.00892857] ; [58.00892857 30.99107143],0
n4,1,0.17302,1.85658,[ 9 14] ; [49 40],[11.91071429 11.08928571] ; [46.08928571 42.91071429],0
a5,1,0.176662,1.825481,[15  8] ; [44 45],[12.11607143 10.88392857] ; [46.88392857 42.11607143],0
d3,1,0.180236,1.795676,[16  7] ; [47 40],[13.17272727  9.82727273] ; [49.82727273 37.17272727],0
v3,1,0.201168,1.633873,[ 7 14] ; [17 67],[ 4.8 16.2] ; [19.2 64.8],0
r2,1,0.216446,1.527778,[20  2] ; [70 18],[18.  4.] ; [72. 16.],0
a8,1,0.236972,1.39852,[ 4 18] ; [ 8 78],[ 2.44444444 19.55555556] ; [ 9.55555556 76.44444444],0
p12,1,0.288986,1.12434,[ 1 21] ; [ 1 86],[ 0.40366972 21.59633028] ; [ 1.59633028 85.40366972],0
p1,1,0.330116,0.948442,[ 3 20] ; [ 6 82],[ 1.86486486 21.13513514] ; [ 7.13513514 80.86486486],0
n5,1,0.330797,0.945774,[ 8 15] ; [41 48],[10.0625 12.9375] ; [38.9375 50.0625],0
d1,1,0.346813,0.885083,[11 12] ; [33 56],[ 9.03571429 13.96428571] ; [34.96428571 54.03571429],0
p7,1,0.461102,0.543218,[ 8 12] ; [27 59],[ 6.60377358 13.39622642] ; [28.39622642 57.60377358],0
a1,1,0.465482,0.532682,[ 1 22] ; [ 8 81],[ 1.84821429 21.15178571] ; [ 7.15178571 81.84821429],0
b5,1,0.491627,0.472964,[15  8] ; [51 38],[13.55357143  9.44642857] ; [52.44642857 36.55357143],0
a2,1,0.536002,0.383,[ 2 21] ; [12 77],[ 2.875 20.125] ; [11.125 77.875],0
p3,1,0.559055,0.341344,[ 6 17] ; [18 70],[ 4.97297297 18.02702703] ; [19.02702703 68.97297297],0
b3,1,0.579166,0.307585,[5 9] ; [12 31],[4.1754386 9.8245614] ; [12.8245614 30.1754386],0
b2,1,0.579166,0.307585,[5 9] ; [12 31],[4.1754386 9.8245614] ; [12.8245614 30.1754386],0
a6,1,0.661814,0.191328,[15  8] ; [53 35],[14.09009009  8.90990991] ; [53.90990991 34.09009009],0
b1,1,0.669872,0.181752,[12 11] ; [42 47],[11.08928571 11.91071429] ; [42.91071429 46.08928571],0
s1,1,0.696095,0.152566,[ 1 21] ; [ 6 82],[ 1.4 20.6] ; [ 5.6 82.4],0
a3,1,0.728474,0.120517,[14  9] ; [57 31],[14.71171171  8.28828829] ; [56.28828829 31.71171171],0
n3,1,0.808883,0.0585,[5 4] ; [21 14],[5.31818182 3.68181818] ; [20.68181818 14.31818182],0
u1,1,0.809436,0.058155,[ 1 22] ; [ 5 84],[ 1.23214286 21.76785714] ; [ 4.76785714 84.23214286],0
a4,1,0.922692,0.009417,[ 8 15] ; [30 59],[ 7.80357143 15.19642857] ; [30.19642857 58.80357143],0
d2,1,0.965456,0.001876,[ 9 14] ; [34 54],[ 8.90990991 14.09009009] ; [34.09009009 53.90990991],0
b4,1,0.97649,0.000868,[13 10] ; [50 39],[12.9375 10.0625] ; [50.0625 38.9375],0
a7,1,0.996502,1.9e-05,[15  8] ; [58 31],[14.99107143  8.00892857] ; [58.00892857 30.99107143],0
