Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.3e-05,17.929329,[ 4 32] ; [11  5],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],1
p7,1,0.006873,7.305952,[12 23] ; [12  4],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
p4,1,0.012523,6.235252,[11 24] ; [11  5],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
s7,1,0.015244,5.888084,[11 24] ; [8 3],[14.45652174 20.54347826] ; [4.54347826 6.45652174],0
n5,1,0.017557,5.639808,[18 16] ; [14  2],[21.76 12.24] ; [10.24  5.76],0
p2,1,0.025433,4.99419,[20 16] ; [14  2],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
b1,1,0.041356,4.161376,[16 20] ; [12  4],[19.38461538 16.61538462] ; [8.61538462 7.38461538],0
p9,1,0.054386,3.700814,[18 16] ; [13  3],[21.08 12.92] ; [9.92 6.08],0
a6,1,0.071423,3.25,[15 21] ; [11  5],[18. 18.] ; [8. 8.],0
b5,1,0.075749,3.153819,[20 16] ; [13  3],[22.84615385 13.15384615] ; [10.15384615  5.84615385],0
s8,1,0.080866,3.047407,[ 8 28] ; [7 8],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
v1,1,0.099958,2.706209,[14 20] ; [10  5],[16.65306122 17.34693878] ; [7.34693878 7.65306122],0
n6,1,0.118387,2.438529,[20 14] ; [13  3],[22.44 11.56] ; [10.56  5.44],0
a5,1,0.131725,2.27206,[19 17] ; [12  4],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
u3,1,0.149073,2.081713,[7 5] ; [1 4],[5.64705882 6.35294118] ; [2.35294118 2.64705882],0
p12,1,0.165205,1.925926,[ 1 35] ; [ 2 14],[ 2.07692308 33.92307692] ; [ 0.92307692 15.07692308],0
s2,1,0.193493,1.690821,[14 21] ; [9 6],[16.1 18.9] ; [6.9 8.1],0
p8,1,0.197743,1.658964,[ 9 26] ; [7 9],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
b3,1,0.226601,1.46207,[ 5 17] ; [4 5],[ 6.38709677 15.61290323] ; [2.61290323 6.38709677],0
b2,1,0.226601,1.46207,[ 5 17] ; [4 5],[ 6.38709677 15.61290323] ; [2.61290323 6.38709677],0
p10,1,0.24649,1.343089,[18 17] ; [11  5],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
d3,1,0.254213,1.3,[24 12] ; [8 8],[22.15384615 13.84615385] ; [9.84615385 6.15384615],0
d4,1,0.255723,1.291765,[29  6] ; [11  5],[27.45098039  7.54901961] ; [12.54901961  3.45098039],0
d2,1,0.265855,1.238011,[19 16] ; [ 6 10],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
u1,1,0.277858,1.177536,[ 3 33] ; [ 3 13],[ 4.15384615 31.84615385] ; [ 1.84615385 14.15384615],0
a2,1,0.328324,0.955498,[ 5 31] ; [ 4 12],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
n4,1,0.33123,0.944081,[22 14] ; [12  4],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
r2,1,0.423838,0.639649,[17 13] ; [11  5],[18.26086957 11.73913043] ; [9.73913043 6.26086957],0
d1,1,0.454152,0.560269,[22 14] ; [8 8],[20.76923077 15.23076923] ; [9.23076923 6.76923077],0
u2,1,0.464214,0.535714,[4 6] ; [3 2],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
r3,1,0.470293,0.521287,[28  6] ; [11  4],[27.06122449  6.93877551] ; [11.93877551  3.06122449],0
s3,1,0.498679,0.457746,[12 21] ; [7 8],[13.0625 19.9375] ; [5.9375 9.0625],0
d5,1,0.541243,0.373241,[29  7] ; [14  2],[29.76923077  6.23076923] ; [13.23076923  2.76923077],0
p11,1,0.54789,0.361111,[24 12] ; [12  4],[24.92307692 11.07692308] ; [11.07692308  4.92307692],0
n2,1,0.638227,0.221069,[13  4] ; [4 2],[12.56521739  4.43478261] ; [4.43478261 1.56521739],0
a7,1,0.653841,0.201092,[22 13] ; [9 7],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
s4,1,0.653856,0.201073,[ 5 31] ; [ 3 13],[ 5.53846154 30.46153846] ; [ 2.46153846 13.53846154],0
r1,1,0.682824,0.166964,[13 22] ; [ 5 11],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
n1,1,0.726053,0.122767,[ 4 13] ; [1 5],[ 3.69565217 13.30434783] ; [1.30434783 4.69565217],0
b4,1,0.733801,0.11565,[23 13] ; [11  5],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
a4,1,0.741604,0.108722,[14 22] ; [7 9],[14.53846154 21.46153846] ; [6.46153846 9.53846154],0
s5,1,0.74211,0.10828,[10 26] ; [ 3 10],[ 9.55102041 26.44897959] ; [3.44897959 9.55102041],0
v4,1,0.748756,0.102579,[22 10] ; [11  4],[22.46808511  9.53191489] ; [10.53191489  4.46808511],0
a1,1,0.794703,0.067708,[ 3 33] ; [ 1 15],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
s6,1,0.851205,0.035186,[20 15] ; [9 6],[20.3 14.7] ; [8.7 6.3],0
a3,1,0.88249,0.021849,[24 12] ; [11  5],[24.23076923 11.76923077] ; [10.76923077  5.23076923],0
p1,1,0.921037,0.009826,[ 2 34] ; [ 1 15],[ 2.07692308 33.92307692] ; [ 0.92307692 15.07692308],0
v3,1,0.923525,0.009215,[13 23] ; [ 6 10],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
n3,1,0.925558,0.00873,[11  5] ; [4 2],[10.90909091  5.09090909] ; [4.09090909 1.90909091],0
