Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.2e-05,16.032887,[1 3] ; [50  4],[3.51724138 0.48275862] ; [47.48275862  6.51724138],1
v4,1,0.002504,9.137373,[2 2] ; [50  3],[3.64912281 0.35087719] ; [48.35087719  4.64912281],0
a1,1,0.014357,5.993717,[1 3] ; [ 1 53],[0.13793103 3.86206897] ; [ 1.86206897 52.13793103],0
d3,1,0.027889,4.834932,[1 3] ; [41 13],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
p9,1,0.032919,4.55,[1 3] ; [39 13],[2.85714286 1.14285714] ; [37.14285714 14.85714286],0
r1,1,0.048862,3.880093,[1 3] ; [39 15],[2.75862069 1.24137931] ; [37.24137931 16.75862069],0
s2,1,0.061322,3.501259,[1 3] ; [36 15],[2.69090909 1.30909091] ; [34.30909091 16.69090909],0
p1,1,0.063499,3.443547,[1 3] ; [ 2 52],[0.20689655 3.79310345] ; [ 2.79310345 51.20689655],0
p10,1,0.066764,3.360849,[1 3] ; [37 16],[2.66666667 1.33333333] ; [35.33333333 17.66666667],0
s3,1,0.088815,2.895726,[1 3] ; [35 17],[2.57142857 1.42857143] ; [33.42857143 18.57142857],0
a3,1,0.113303,2.507529,[1 3] ; [35 19],[2.48275862 1.51724138] ; [33.51724138 20.48275862],0
p11,1,0.157087,2.002042,[1 3] ; [33 21],[2.34482759 1.65517241] ; [31.65517241 22.34482759],0
u3,1,0.163178,1.944528,[1 2] ; [14  5],[2.04545455 0.95454545] ; [12.95454545  6.04545455],0
s6,1,0.197455,1.6611,[2 2] ; [40 11],[3.05454545 0.94545455] ; [38.94545455 12.05454545],0
d4,1,0.210314,1.569264,[2 2] ; [42 12],[3.03448276 0.96551724] ; [40.96551724 13.03448276],0
s1,1,0.234114,1.415693,[1 3] ; [ 4 49],[0.35087719 3.64912281] ; [ 4.64912281 48.35087719],0
a7,1,0.298593,1.080467,[2 2] ; [40 14],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
b1,1,0.346125,0.887614,[2 2] ; [15 39],[1.17241379 2.82758621] ; [15.82758621 38.17241379],0
d5,1,0.395483,0.722016,[2 2] ; [38 16],[2.75862069 1.24137931] ; [37.24137931 16.75862069],0
b4,1,0.446392,0.579797,[2 2] ; [37 17],[2.68965517 1.31034483] ; [36.31034483 17.68965517],0
d2,1,0.448618,0.574141,[1 3] ; [24 30],[1.72413793 2.27586207] ; [23.27586207 30.72413793],0
s7,1,0.478848,0.501485,[1 3] ; [22 29],[1.67272727 2.32727273] ; [21.32727273 29.67272727],0
b2,1,0.483522,0.490909,[1 2] ; [ 4 20],[0.55555556 2.44444444] ; [ 4.44444444 19.55555556],0
b3,1,0.483522,0.490909,[1 2] ; [ 4 20],[0.55555556 2.44444444] ; [ 4.44444444 19.55555556],0
a4,1,0.490617,0.475172,[1 3] ; [23 31],[1.65517241 2.34482759] ; [22.34482759 31.65517241],0
v2,1,0.516349,0.421181,[1 3] ; [22 31],[1.61403509 2.38596491] ; [21.38596491 31.61403509],0
u2,1,0.534428,0.385965,[2 1] ; [ 9 10],[1.5 1.5] ; [9.5 9.5],0
p8,1,0.600349,0.274469,[1 3] ; [ 8 45],[0.63157895 3.36842105] ; [ 8.36842105 44.63157895],0
n4,1,0.661148,0.192133,[2 2] ; [33 21],[2.4137931 1.5862069] ; [32.5862069 21.4137931],0
p2,1,0.772845,0.083322,[2 2] ; [31 23],[2.27586207 1.72413793] ; [30.72413793 23.27586207],0
n6,1,0.825439,0.048645,[3 1] ; [43 11],[3.17241379 0.82758621] ; [42.82758621 11.17241379],0
