Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.781733,[22 74] ; [19  9],[31.74193548 64.25806452] ; [ 9.25806452 18.74193548],1
p6,1,1.3e-05,19.028088,[ 9 86] ; [13 16],[16.85483871 78.14516129] ; [ 5.14516129 23.85483871],1
p4,1,0.001658,9.894561,[21 76] ; [15 14],[27.71428571 69.28571429] ; [ 8.28571429 20.71428571],0
p3,1,0.002585,9.079317,[22 75] ; [15 14],[28.48412698 68.51587302] ; [ 8.51587302 20.48412698],0
p5,1,0.012611,6.22293,[ 1 95] ; [ 3 26],[ 3.072 92.928] ; [ 0.928 28.072],0
v4,1,0.055333,3.672014,[71 27] ; [26  3],[74.8503937 23.1496063] ; [22.1496063  6.8503937],0
s6,1,0.080006,3.064772,[37 59] ; [16 12],[41.03225806 54.96774194] ; [11.96774194 16.03225806],0
p10,1,0.086933,2.930278,[45 50] ; [19 10],[49.03225806 45.96774194] ; [14.96774194 14.03225806],0
p11,1,0.096419,2.763802,[47 51] ; [19 10],[50.92913386 47.07086614] ; [15.07086614 13.92913386],0
n2,1,0.105947,2.613666,[30 17] ; [9 1],[32.15789474 14.84210526] ; [6.84210526 3.15789474],0
s1,1,0.112997,2.5118,[ 5 92] ; [ 4 25],[ 6.92857143 90.07142857] ; [ 2.07142857 26.92857143],0
a6,1,0.141076,2.166187,[49 49] ; [19 10],[52.47244094 45.52755906] ; [15.52755906 13.47244094],0
p9,1,0.143924,2.135496,[46 46] ; [19 10],[49.4214876 42.5785124] ; [15.5785124 13.4214876],0
b3,1,0.148222,2.090456,[25 39] ; [ 4 15],[22.36144578 41.63855422] ; [ 6.63855422 12.36144578],0
b2,1,0.148222,2.090456,[25 39] ; [ 4 15],[22.36144578 41.63855422] ; [ 6.63855422 12.36144578],0
d3,1,0.152281,2.049255,[46 52] ; [18 11],[49.38582677 48.61417323] ; [14.61417323 14.38582677],0
v2,1,0.175504,1.835289,[34 61] ; [14 14],[37.07317073 57.92682927] ; [10.92682927 17.07317073],0
r4,1,0.207954,1.585616,[62 36] ; [22  7],[64.81889764 33.18110236] ; [19.18110236  9.81889764],0
