Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.3e-05,19.058824,[47  4] ; [3 6],[42.5  8.5] ; [7.5 1.5],1
p6,1,7.7e-05,15.629997,[39 11] ; [1 8],[33.89830508 16.10169492] ; [6.10169492 2.89830508],1
p8,1,0.002901,8.868778,[47  4] ; [5 4],[44.2  6.8] ; [7.8 1.2],0
p4,1,0.003247,8.663102,[49  2] ; [6 3],[46.75  4.25] ; [8.25 0.75],0
p10,1,0.003628,8.461037,[48  2] ; [6 3],[45.76271186  4.23728814] ; [8.23728814 0.76271186],0
s5,1,0.00924,6.775771,[34 13] ; [2 6],[30.76363636 16.23636364] ; [5.23636364 2.76363636],0
s1,1,0.028079,4.823212,[ 4 47] ; [3 6],[ 5.95 45.05] ; [1.05 7.95],0
n3,1,0.038989,4.261364,[9 2] ; [1 3],[7.33333333 3.66666667] ; [2.66666667 1.33333333],0
s7,1,0.051666,3.786557,[46  2] ; [7 2],[44.63157895  3.36842105] ; [8.36842105 0.63157895],0
b2,1,0.061658,3.492213,[20 18] ; [1 6],[17.73333333 20.26666667] ; [3.26666667 3.73333333],0
b3,1,0.061658,3.492213,[20 18] ; [1 6],[17.73333333 20.26666667] ; [3.26666667 3.73333333],0
v2,1,0.071506,3.248118,[32 17] ; [3 6],[29.56896552 19.43103448] ; [5.43103448 3.56896552],0
p2,1,0.102012,2.673797,[48  3] ; [7 2],[46.75  4.25] ; [8.25 0.75],0
a6,1,0.125475,2.347618,[31 20] ; [3 6],[28.9 22.1] ; [5.1 3.9],0
a3,1,0.14561,2.117647,[44  7] ; [6 3],[42.5  8.5] ; [7.5 1.5],0
p9,1,0.158568,1.98783,[50  1] ; [8 1],[49.3  1.7] ; [8.7 0.3],0
p1,1,0.190826,1.71123,[12 39] ; [4 5],[13.6 37.4] ; [2.4 6.6],0
p3,1,0.207157,1.591182,[43  8] ; [6 3],[41.65  9.35] ; [7.35 1.65],0
p12,1,0.213633,1.546632,[16 35] ; [1 8],[14.45 36.55] ; [2.55 6.45],0
n2,1,0.217832,1.518595,[9 2] ; [2 2],[8.06666667 2.93333333] ; [2.93333333 1.06666667],0
v3,1,0.2358,1.405529,[32 17] ; [4 5],[30.4137931 18.5862069] ; [5.5862069 3.4137931],0
d3,1,0.252366,1.31016,[36 15] ; [8 1],[37.4 13.6] ; [6.6 2.4],0
u2,1,0.259796,1.269841,[5 2] ; [1 2],[4.2 2.8] ; [1.8 1.2],0
d4,1,0.284649,1.14476,[46  5] ; [7 2],[45.05  5.95] ; [7.95 1.05],0
s6,1,0.296562,1.089591,[45  5] ; [7 2],[44.06779661  5.93220339] ; [7.93220339 1.06779661],0
b5,1,0.301502,1.067538,[19 32] ; [5 4],[20.4 30.6] ; [3.6 5.4],0
s3,1,0.347059,0.88418,[38 13] ; [8 1],[39.1 11.9] ; [6.9 2.1],0
a5,1,0.356796,0.849138,[41 10] ; [6 3],[39.95 11.05] ; [7.05 1.95],0
b1,1,0.359301,0.840336,[20 31] ; [5 4],[21.25 29.75] ; [3.75 5.25],0
r4,1,0.361558,0.832473,[49  2] ; [8 1],[48.45  2.55] ; [8.55 0.45],0
v1,1,0.461894,0.541302,[39 11] ; [6 3],[38.13559322 11.86440678] ; [6.86440678 2.13559322],0
u3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
s4,1,0.543618,0.368875,[10 41] ; [1 8],[ 9.35 41.65] ; [1.65 7.35],0
n6,1,0.562069,0.336134,[48  3] ; [8 1],[47.6  3.4] ; [8.4 0.6],0
d5,1,0.627626,0.235294,[42  9] ; [8 1],[42.5  8.5] ; [7.5 1.5],0
a2,1,0.627626,0.235294,[ 9 42] ; [1 8],[ 8.5 42.5] ; [1.5 7.5],0
u1,1,0.627626,0.235294,[ 8 43] ; [2 7],[ 8.5 42.5] ; [1.5 7.5],0
a7,1,0.659003,0.194737,[36 15] ; [7 2],[36.55 14.45] ; [6.45 2.55],0
n4,1,0.743641,0.106952,[47  4] ; [8 1],[46.75  4.25] ; [8.25 0.75],0
d2,1,0.800093,0.064124,[26 25] ; [5 4],[26.35 24.65] ; [4.65 4.35],0
s2,1,0.812897,0.056022,[36 15] ; [6 3],[35.7 15.3] ; [6.3 2.7],0
b4,1,0.884756,0.021008,[27 24] ; [5 4],[27.2 23.8] ; [4.8 4.2],0
n5,1,0.904074,0.014524,[46  5] ; [8 1],[45.9  5.1] ; [8.1 0.9],0
d1,1,0.909474,0.012928,[33 18] ; [6 3],[33.15 17.85] ; [5.85 3.15],0
a4,1,0.941837,0.005323,[22 29] ; [4 5],[22.1 28.9] ; [3.9 5.1],0
r1,1,0.955093,0.003171,[45  6] ; [8 1],[45.05  5.95] ; [7.95 1.05],0
