Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,113.783421,[247  83] ; [ 3 61],[209.39086294 120.60913706] ; [40.60913706 23.39086294],1
d5,1,0.0,80.558558,[302  28] ; [30 34],[278.07106599  51.92893401] ; [53.92893401 10.07106599],1
d3,1,0.0,46.767266,[258  72] ; [23 41],[235.35532995  94.64467005] ; [45.64467005 18.35532995],1
d2,1,0.0,28.592785,[192 137] ; [14 50],[172.45292621 156.54707379] ; [33.54707379 30.45292621],1
a3,1,2.6e-05,17.681864,[263  65] ; [35 28],[249.98465473  78.01534527] ; [48.01534527 14.98465473],1
u1,1,0.000333,12.877638,[ 82 248] ; [ 3 61],[ 71.1928934 258.8071066] ; [13.8071066 50.1928934],1
a5,1,0.000345,12.806723,[268  62] ; [39 25],[257.1319797  72.8680203] ; [49.8680203 14.1319797],1
a4,1,0.000483,12.181705,[175 154] ; [18 44],[162.39641944 166.60358056] ; [30.60358056 31.39641944],1
s2,1,0.000907,11.008863,[192 133] ; [22 39],[180.18134715 144.81865285] ; [33.81865285 27.18134715],1
s5,1,0.000945,10.93322,[135 181] ; [12 48],[123.54255319 192.45744681] ; [23.45744681 36.54255319],1
p2,1,0.00181,9.732872,[294  32] ; [48 15],[286.61182519  39.38817481] ; [55.38817481  7.61182519],0
p1,1,0.001981,9.567293,[ 26 303] ; [13 50],[ 32.73214286 296.26785714] ; [ 6.26785714 56.73214286],0
a2,1,0.005855,7.5945,[ 96 234] ; [ 8 56],[ 87.10659898 242.89340102] ; [16.89340102 47.10659898],0
p9,1,0.007212,7.219399,[292  33] ; [49 14],[285.6314433  39.3685567] ; [55.3685567  7.6314433],0
r3,1,0.00988,6.656399,[321   9] ; [57  6],[317.40458015  12.59541985] ; [60.59541985  2.40458015],0
s6,1,0.013555,6.095163,[239  84] ; [35 25],[231.07571802  91.92428198] ; [42.92428198 17.07571802],0
v4,1,0.015515,5.857,[319  10] ; [56  6],[315.5370844  13.4629156] ; [59.4629156  2.5370844],0
v2,1,0.020393,5.377922,[229  92] ; [35 27],[221.26370757  99.73629243] ; [42.73629243 19.26370757],0
p7,1,0.021824,5.259793,[230  89] ; [35 26],[222.46052632  96.53947368] ; [42.53947368 18.46052632],0
s1,1,0.040729,4.18724,[  9 316] ; [ 5 57],[ 11.75710594 313.24289406] ; [ 2.24289406 59.75710594],0
p12,1,0.041867,4.140583,[ 38 287] ; [ 2 61],[ 33.50515464 291.49484536] ; [ 6.49484536 56.50515464],0
s7,1,0.047518,3.926952,[178 133] ; [26 34],[171.00808625 139.99191375] ; [32.99191375 27.00808625],0
p10,1,0.047607,3.923788,[283  42] ; [48 14],[277.97157623  47.02842377] ; [53.02842377  8.97157623],0
p4,1,0.048595,3.889293,[233  94] ; [37 26],[226.38461538 100.61538462] ; [43.61538462 19.38461538],0
s8,1,0.055415,3.669548,[178 149] ; [26 37],[171.04615385 155.95384615] ; [32.95384615 30.04615385],0
p8,1,0.05866,3.574878,[200 122] ; [30 31],[193.36814621 128.63185379] ; [36.63185379 24.36814621],0
n1,1,0.080417,3.056454,[26 23] ; [9 2],[28.58333333 20.41666667] ; [6.41666667 4.58333333],0
r4,1,0.085337,2.960203,[309  21] ; [56  8],[305.7106599  24.2893401] ; [59.2893401  4.7106599],0
b2,1,0.086197,2.943998,[ 98 124] ; [14 32],[ 92.7761194 129.2238806] ; [19.2238806 26.7761194],0
b3,1,0.086197,2.943998,[ 98 124] ; [14 32],[ 92.7761194 129.2238806] ; [19.2238806 26.7761194],0
