Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,46.690778,[ 94 141] ; [160  63],[130.32751092 104.67248908] ; [123.67248908  99.32751092],1
v3,1,0.0,35.122003,[ 60 182] ; [112 105],[ 90.68409586 151.31590414] ; [ 81.31590414 135.68409586],1
p3,1,4e-06,21.051323,[ 84 161] ; [125 101],[108.71549894 136.28450106] ; [100.28450106 125.71549894],1
p2,1,5.5e-05,16.251943,[181  64] ; [200  26],[198.18471338  46.81528662] ; [182.81528662  43.18471338],1
p9,1,8.7e-05,15.401917,[174  70] ; [194  31],[191.45415778  52.54584222] ; [176.54584222  48.45415778],1
p4,1,0.00011,14.951742,[113 131] ; [146  82],[133.88983051 110.11016949] ; [125.11016949 102.88983051],1
p6,1,0.00034,12.838435,[ 54 189] ; [ 83 139],[ 71.59354839 171.40645161] ; [ 65.40645161 156.59354839],1
p11,1,0.001179,10.522629,[173  73] ; [190  39],[187.99578947  58.00421053] ; [175.00421053  53.99578947],0
n5,1,0.00155,10.017741,[162  82] ; [181  47],[177.31355932  66.68644068] ; [165.68644068  62.31355932],0
s6,1,0.002993,8.811805,[121 123] ; [144  84],[136.99152542 107.00847458] ; [128.00847458  99.99152542],0
p10,1,0.005037,7.865953,[170  74] ; [182  43],[183.13006397  60.86993603] ; [168.86993603  56.13006397],0
r2,1,0.007597,7.126202,[216  25] ; [218   9],[223.49145299  17.50854701] ; [210.50854701  16.49145299],0
a5,1,0.009935,6.646582,[170  76] ; [182  47],[182.29894737  63.70105263] ; [169.70105263  59.29894737],0
p7,1,0.010831,6.492872,[129 115] ; [142  78],[142.50862069 101.49137931] ; [128.49137931  91.50862069],0
p8,1,0.013938,6.046035,[103 141] ; [119 103],[116.24034335 127.75965665] ; [105.75965665 116.24034335],0
r4,1,0.01414,6.020596,[202  44] ; [206  23],[211.30105263  34.69894737] ; [196.69894737  32.30105263],0
r1,1,0.017514,5.644081,[183  63] ; [190  38],[193.58227848  52.41772152] ; [179.41772152  48.58227848],0
b5,1,0.030457,4.683292,[144 102] ; [156  73],[155.36842105  90.63157895] ; [144.63157895  84.36842105],0
n4,1,0.030597,4.675411,[178  68] ; [185  44],[187.99578947  58.00421053] ; [175.00421053  53.99578947],0
r3,1,0.033878,4.500848,[223  23] ; [218  10],[228.87341772  17.12658228] ; [212.12658228  15.87341772],0
s7,1,0.041944,4.137483,[ 81 153] ; [ 95 121],[ 91.52 142.48] ; [ 84.48 131.52],0
p12,1,0.049642,3.853497,[  7 239] ; [ 15 210],[ 11.49044586 234.50955414] ; [ 10.50955414 214.49044586],0
v4,1,0.078355,3.098702,[224  22] ; [217  11],[228.87341772  17.12658228] ; [212.12658228  15.87341772],0
n6,1,0.091445,2.848744,[188  57] ; [190  39],[195.37974684  49.62025316] ; [182.62025316  46.37974684],0
u4,1,0.126179,2.3389,[  2 244] ; [  6 223],[  4.14315789 241.85684211] ; [  3.85684211 225.14315789],0
u1,1,0.146338,2.110018,[ 36 210] ; [ 45 184],[ 41.94947368 204.05052632] ; [ 39.05052632 189.94947368],0
a8,1,0.160936,1.965409,[ 24 207] ; [ 30 172],[ 28.80831409 202.19168591] ; [ 25.19168591 176.80831409],0
s8,1,0.16704,1.909312,[ 80 166] ; [ 88 140],[ 87.18987342 158.81012658] ; [ 80.81012658 147.18987342],0
a4,1,0.171793,1.867225,[105 140] ; [112 116],[112.39957717 132.60042283] ; [104.60042283 123.39957717],0
n3,1,0.226579,1.462207,[49 28] ; [32 11],[51.975 25.025] ; [29.025 13.975],0
n1,1,0.237191,1.397213,[22 54] ; [17 26],[24.90756303 51.09243697] ; [14.09243697 28.90756303],0
b3,1,0.266784,1.233211,[40 96] ; [52 94],[44.36879433 91.63120567] ; [47.63120567 98.36879433],0
b2,1,0.266784,1.233211,[40 96] ; [52 94],[44.36879433 91.63120567] ; [47.63120567 98.36879433],0
a6,1,0.353625,0.860406,[171  75] ; [168  61],[175.56631579  70.43368421] ; [163.43368421  65.56631579],0
b1,1,0.370313,0.802613,[ 99 147] ; [ 83 146],[ 94.25684211 151.74315789] ; [ 87.74315789 141.25684211],0
a2,1,0.385054,0.754503,[ 55 191] ; [ 59 170],[ 59.04 186.96] ; [ 54.96 174.04],0
n2,1,0.403363,0.698278,[46 31] ; [29 14],[48.125 28.875] ; [26.875 16.125],0
s1,1,0.476298,0.507328,[  8 236] ; [  5 222],[  6.73460722 237.26539278] ; [  6.26539278 220.73460722],0
p5,1,0.534272,0.386259,[ 11 235] ; [ 13 214],[ 12.4820296 233.5179704] ; [ 11.5179704 215.4820296],0
