Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.71619,[109   8] ; [ 2 11],[99.9 17.1] ; [11.1  1.9],1
v4,1,0.0,40.018215,[115   2] ; [7 6],[109.8   7.2] ; [12.2  0.8],1
r1,1,0.001593,9.968066,[92 25] ; [5 8],[87.3 29.7] ; [9.7 3.3],0
r2,1,0.002316,9.280197,[110   7] ; [9 4],[107.1   9.9] ; [11.9  1.1],0
v2,1,0.006091,7.523269,[72 43] ; [ 3 10],[67.3828125 47.6171875] ; [7.6171875 5.3828125],0
p11,1,0.006675,7.358491,[99 18] ; [7 6],[95.4 21.6] ; [10.6  2.4],0
s1,1,0.006755,7.336861,[  2 115] ; [ 2 11],[  3.6 113.4] ; [ 0.4 12.6],0
n2,1,0.011065,6.454861,[14  2] ; [2 4],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
n3,1,0.017812,5.614583,[15  1] ; [3 3],[13.09090909  2.90909091] ; [4.90909091 1.09090909],0
p2,1,0.029024,4.76618,[100  17] ; [8 5],[97.2 19.8] ; [10.8  2.2],0
n6,1,0.031111,4.646848,[98 19] ; [7 5],[95.23255814 21.76744186] ; [9.76744186 2.23255814],0
s4,1,0.045947,3.983533,[  8 109] ; [ 3 10],[  9.9 107.1] ; [ 1.1 11.9],0
p9,1,0.079411,3.076923,[96 21] ; [8 5],[93.6 23.4] ; [10.4  2.6],0
s8,1,0.089382,2.885474,[35 82] ; [ 1 12],[32.4 84.6] ; [3.6 9.4],0
p10,1,0.0974,2.747613,[95 22] ; [8 5],[92.7 24.3] ; [10.3  2.7],0
u3,1,0.110261,2.550481,[22 16] ; [1 4],[20.3255814 17.6744186] ; [2.6744186 2.3255814],0
n5,1,0.116881,2.458629,[87 30] ; [7 6],[84.6 32.4] ; [9.4 3.6],0
v3,1,0.12806,2.315861,[51 62] ; [ 3 10],[48.42857143 64.57142857] ; [5.57142857 7.42857143],0
a6,1,0.136179,2.220608,[86 31] ; [7 6],[83.7 33.3] ; [9.3 3.7],0
d3,1,0.152955,2.042532,[76 41] ; [11  2],[78.3 38.7] ; [8.7 4.3],0
b1,1,0.195708,1.674117,[50 67] ; [8 5],[52.2 64.8] ; [5.8 7.2],0
u2,1,0.206119,1.598478,[19 19] ; [1 4],[17.6744186 20.3255814] ; [2.3255814 2.6744186],0
n4,1,0.227963,1.453529,[97 20] ; [9 4],[95.4 21.6] ; [10.6  2.4],0
a7,1,0.253465,1.304106,[89 28] ; [8 5],[87.3 29.7] ; [9.7 3.3],0
n1,1,0.262193,1.257143,[ 4 12] ; [3 3],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
b4,1,0.264549,1.244795,[62 55] ; [9 4],[63.9 53.1] ; [7.1 5.9],0
b5,1,0.264549,1.244795,[62 55] ; [9 4],[63.9 53.1] ; [7.1 5.9],0
a2,1,0.265838,1.238095,[24 93] ; [ 1 12],[22.5 94.5] ; [ 2.5 10.5],0
p6,1,0.281698,1.158878,[44 71] ; [ 3 10],[42.2265625 72.7734375] ; [4.7734375 8.2265625],0
s3,1,0.296361,1.090499,[32 85] ; [5 7],[33.55813953 83.44186047] ; [3.44186047 8.55813953],0
s5,1,0.332829,0.93786,[21 93] ; [ 1 12],[19.7480315 94.2519685] ; [ 2.2519685 10.7480315],0
s2,1,0.393438,0.728291,[24 93] ; [4 9],[25.2 91.8] ; [ 2.8 10.2],0
b3,1,0.425281,0.635676,[32 42] ; [3 7],[30.83333333 43.16666667] ; [4.16666667 5.83333333],0
b2,1,0.425281,0.635676,[32 42] ; [3 7],[30.83333333 43.16666667] ; [4.16666667 5.83333333],0
p5,1,0.425928,0.633901,[ 10 106] ; [ 2 11],[ 10.79069767 105.20930233] ; [ 1.20930233 11.79069767],0
v1,1,0.438833,0.599331,[66 49] ; [6 7],[64.6875 50.3125] ; [7.3125 5.6875],0
a4,1,0.439279,0.598165,[49 68] ; [4 9],[47.7 69.3] ; [5.3 7.7],0
d5,1,0.439834,0.596715,[92 25] ; [9 4],[90.9 26.1] ; [10.1  2.9],0
u1,1,0.456377,0.554765,[18 99] ; [ 1 12],[17.1 99.9] ; [ 1.9 11.1],0
p4,1,0.482827,0.49247,[83 34] ; [8 5],[81.9 35.1] ; [9.1 3.9],0
p8,1,0.50695,0.440357,[74 43] ; [7 6],[72.9 44.1] ; [8.1 4.9],0
p12,1,0.577292,0.310633,[  5 112] ; [ 1 12],[  5.4 111.6] ; [ 0.6 12.4],0
a3,1,0.631931,0.229451,[79 37] ; [8 5],[78.23255814 37.76744186] ; [8.76744186 4.23255814],0
a5,1,0.638194,0.221111,[88 29] ; [9 4],[87.3 29.7] ; [9.7 3.3],0
p7,1,0.638194,0.221111,[88 29] ; [9 4],[87.3 29.7] ; [9.7 3.3],0
a8,1,0.715743,0.132608,[12 89] ; [ 1 11],[11.61946903 89.38053097] ; [ 1.38053097 10.61946903],0
s7,1,0.726325,0.122513,[36 75] ; [3 8],[35.48360656 75.51639344] ; [3.51639344 7.48360656],0
p1,1,0.794755,0.067673,[ 15 102] ; [ 2 11],[ 15.3 101.7] ; [ 1.7 11.3],0
d2,1,0.886063,0.020531,[47 69] ; [5 8],[46.75968992 69.24031008] ; [5.24031008 7.75968992],0
d1,1,0.953285,0.003432,[62 55] ; [7 6],[62.1 54.9] ; [6.9 6.1],0
d4,1,1.0,0.0,[90 27] ; [10  3],[90. 27.] ; [10.  3.],0
