Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.452858,[46 14] ; [ 9 23],[35.86956522 24.13043478] ; [19.13043478 12.86956522],1
a6,1,0.000168,14.1549,[47 14] ; [12 20],[38.69892473 22.30107527] ; [20.30107527 11.69892473],1
d5,1,0.000938,10.945901,[49 12] ; [15 17],[41.97849462 19.02150538] ; [22.02150538  9.97849462],1
n2,1,0.003565,8.493061,[ 8 13] ; [13  2],[12.25  8.75] ; [8.75 6.25],0
d1,1,0.007251,7.209624,[33 28] ; [ 8 24],[26.89247312 34.10752688] ; [14.10752688 17.89247312],0
p2,1,0.029557,4.734887,[42 18] ; [15 17],[37.17391304 22.82608696] ; [19.82608696 12.17391304],0
p9,1,0.032939,4.54896,[42 17] ; [15 16],[37.36666667 21.63333333] ; [19.63333333 11.36666667],0
b1,1,0.050178,3.835496,[27 34] ; [21 11],[31.48387097 29.51612903] ; [16.51612903 15.48387097],0
s3,1,0.050178,3.835496,[27 34] ; [21 11],[31.48387097 29.51612903] ; [16.51612903 15.48387097],0
b5,1,0.06179,3.488669,[39 22] ; [14 18],[34.76344086 26.23655914] ; [18.23655914 13.76344086],0
d4,1,0.063622,3.440357,[50 11] ; [20 11],[46.41304348 14.58695652] ; [23.58695652  7.41304348],0
r1,1,0.107982,2.583513,[42 18] ; [17 15],[38.47826087 21.52173913] ; [20.52173913 11.47826087],0
n1,1,0.109781,2.557367,[ 5 16] ; [7 7],[ 7.2 13.8] ; [4.8 9.2],0
p7,1,0.174009,1.848058,[24 32] ; [18 13],[27.03448276 28.96551724] ; [14.96551724 16.03448276],0
p10,1,0.191063,1.709403,[37 22] ; [15 16],[34.08888889 24.91111111] ; [17.91111111 13.08888889],0
s6,1,0.212073,1.557217,[32 29] ; [12 19],[29.17391304 31.82608696] ; [14.82608696 16.17391304],0
v3,1,0.212606,1.553589,[15 44] ; [ 4 25],[12.73863636 46.26136364] ; [ 6.26136364 22.73863636],0
u3,1,0.216242,1.529136,[16 11] ; [11  3],[17.7804878  9.2195122] ; [9.2195122 4.7804878],0
u1,1,0.243858,1.358155,[ 6 55] ; [ 1 31],[ 4.59139785 56.40860215] ; [ 2.40860215 29.59139785],0
s7,1,0.266079,1.236852,[18 38] ; [ 6 23],[15.81176471 40.18823529] ; [ 8.18823529 20.81176471],0
p4,1,0.280697,1.163713,[22 38] ; [15 16],[24.3956044 35.6043956] ; [12.6043956 18.3956044],0
p8,1,0.3019,1.065781,[26 31] ; [11 21],[23.69662921 33.30337079] ; [13.30337079 18.69662921],0
