Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,59.156431,[235  43] ; [84 82],[199.73423423  78.26576577] ; [119.26576577  46.73423423],1
p11,1,7e-06,20.087561,[248  32] ; [120  47],[230.51454139  49.48545861] ; [137.48545861  29.51454139],1
p6,1,0.000125,14.717707,[146 133] ; [ 55 109],[126.58916479 152.41083521] ; [74.41083521 89.58916479],1
p3,1,0.000189,13.93605,[202  77] ; [92 75],[183.91479821  95.08520179] ; [110.08520179  56.91479821],1
p5,1,0.000263,13.316751,[ 62 218] ; [ 14 149],[ 48.03611738 231.96388262] ; [ 27.96388262 135.03611738],1
p2,1,0.001533,10.038455,[260  19] ; [139  27],[250.15955056  28.84044944] ; [148.84044944  17.15955056],0
v3,1,0.003556,8.497441,[135 136] ; [ 55 101],[120.58548009 150.41451991] ; [69.41451991 86.58548009],0
n5,1,0.004982,7.885901,[232  46] ; [120  46],[220.3963964  57.6036036] ; [131.6036036  34.3963964],0
v1,1,0.005445,7.725458,[179  97] ; [81 77],[165.34562212 110.65437788] ; [94.65437788 63.34562212],0
r1,1,0.006076,7.527659,[236  43] ; [122  43],[224.95945946  54.04054054] ; [133.04054054  31.95945946],0
b5,1,0.007064,7.256545,[148 132] ; [110  57],[161.61073826 118.38926174] ; [96.38926174 70.61073826],0
p10,1,0.008598,6.904421,[246  32] ; [130  34],[236.48868778  41.51131222] ; [139.51131222  24.48868778],0
d4,1,0.009481,6.729966,[242  37] ; [129  38],[232.08295964  46.91704036] ; [138.91704036  28.08295964],0
p9,1,0.010709,6.512958,[253  26] ; [136  29],[244.43918919  34.56081081] ; [144.56081081  20.43918919],0
p12,1,0.011134,6.443813,[ 36 244] ; [  9 158],[ 28.18791946 251.81208054] ; [ 16.81208054 150.18791946],0
v2,1,0.016081,5.793965,[178  94] ; [86 74],[166.22222222 105.77777778] ; [97.77777778 62.22222222],0
r2,1,0.01665,5.73288,[263  12] ; [150  17],[256.95701357  18.04298643] ; [156.04298643  10.95701357],0
p1,1,0.01951,5.455201,[ 36 242] ; [ 10 157],[ 28.73707865 249.26292135] ; [ 17.26292135 149.73707865],0
r4,1,0.0236,5.123817,[261  19] ; [145  22],[254.31767338  25.68232662] ; [151.68232662  15.31767338],0
s1,1,0.02977,4.722501,[  5 274] ; [  9 153],[  8.85714286 270.14285714] ; [  5.14285714 156.85714286],0
v4,1,0.034429,4.473255,[269   8] ; [155  12],[264.52252252  12.47747748] ; [159.47747748   7.52252252],0
n6,1,0.044631,4.032542,[246  31] ; [137  30],[238.94369369  38.05630631] ; [144.05630631  22.94369369],0
s8,1,0.044665,4.031244,[145 132] ; [71 96],[134.75675676 142.24324324] ; [81.24324324 85.75675676],0
a5,1,0.053291,3.734775,[225  55] ; [121  46],[216.73378076  63.26621924] ; [129.26621924  37.73378076],0
a1,1,0.064793,3.410233,[ 20 260] ; [  5 162],[ 15.65995526 264.34004474] ; [  9.34004474 157.65995526],0
u1,1,0.088364,2.903936,[ 47 233] ; [ 39 128],[ 53.87024609 226.12975391] ; [ 32.12975391 134.87024609],0
s5,1,0.099394,2.715246,[100 174] ; [ 46 114],[ 92.17511521 181.82488479] ; [ 53.82488479 106.17511521],0
a2,1,0.10637,2.607346,[ 63 217] ; [ 49 118],[ 70.15659955 209.84340045] ; [ 41.84340045 125.15659955],0
u2,1,0.153729,2.034858,[50 25] ; [27 23],[46.2 28.8] ; [30.8 19.2],0
a4,1,0.235821,1.405405,[125 154] ; [84 82],[131.03595506 147.96404494] ; [77.96404494 88.03595506],0
n2,1,0.240217,1.379318,[31  9] ; [29 15],[28.57142857 11.42857143] ; [31.42857143 12.57142857],0
a7,1,0.248324,1.332706,[211  68] ; [118  49],[205.80941704  73.19058296] ; [123.19058296  43.80941704],0
n4,1,0.2808,1.163214,[234  46] ; [132  34],[229.77578475  50.22421525] ; [136.22421525  29.77578475],0
s2,1,0.285099,1.142621,[139 138] ; [92 74],[144.44018059 132.55981941] ; [86.55981941 79.44018059],0
a3,1,0.294834,1.097414,[205  74] ; [115  52],[200.1793722  78.8206278] ; [119.8206278  47.1793722],0
d2,1,0.350189,0.87277,[139 141] ; [90 76],[143.76681614 136.23318386] ; [85.23318386 80.76681614],0
n3,1,0.368449,0.808889,[26 13] ; [34 11],[27.85714286 11.14285714] ; [32.14285714 12.85714286],0
b4,1,0.399178,0.710802,[164 116] ; [91 76],[159.73154362 120.26845638] ; [95.26845638 71.73154362],0
a6,1,0.426736,0.631689,[186  94] ; [117  50],[189.79865772  90.20134228] ; [113.20134228  53.79865772],0
d1,1,0.43624,0.606154,[178 102] ; [100  67],[174.13870246 105.86129754] ; [103.86129754  63.13870246],0
d3,1,0.472246,0.516715,[205  75] ; [117  50],[201.70022371  78.29977629] ; [120.29977629  46.70022371],0
u4,1,0.489772,0.477026,[ 10 270] ; [  4 163],[  8.76957494 271.23042506] ; [  5.23042506 161.76957494],0
b1,1,0.532878,0.3889,[109 171] ; [70 97],[112.12527964 167.87472036] ; [ 66.87472036 100.12527964],0
r3,1,0.589301,0.291438,[266  13] ; [161   6],[267.11434978  11.88565022] ; [159.88565022   7.11434978],0
u3,1,0.666833,0.185329,[43 30] ; [32 19],[44.15322581 28.84677419] ; [30.84677419 20.15322581],0
n1,1,0.718621,0.129818,[17 23] ; [17 27],[16.19047619 23.80952381] ; [17.80952381 26.19047619],0
s7,1,0.764487,0.089756,[143 120] ; [83 74],[141.51904762 121.48095238] ; [84.48095238 72.51904762],0
d5,1,0.776952,0.080255,[231  48] ; [140  27],[232.08295964  46.91704036] ; [138.91704036  28.08295964],0
s6,1,0.819792,0.051899,[191  83] ; [114  52],[189.93181818  84.06818182] ; [115.06818182  50.93181818],0
a8,1,0.843819,0.038813,[ 40 213] ; [ 22 124],[ 39.31328321 213.68671679] ; [ 22.68671679 123.31328321],0
s3,1,0.903303,0.01476,[152 122] ; [90 74],[151.38812785 122.61187215] ; [90.61187215 73.38812785],0
b2,1,0.910799,0.012551,[ 73 105] ; [46 68],[ 72.54109589 105.45890411] ; [46.45890411 67.54109589],0
b3,1,0.910799,0.012551,[ 73 105] ; [46 68],[ 72.54109589 105.45890411] ; [46.45890411 67.54109589],0
