Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,30.745374,[22 36] ; [80 18],[37.92307692 20.07692308] ; [64.07692308 33.92307692],1
a4,1,1e-06,24.924882,[ 7 51] ; [51 47],[21.56410256 36.43589744] ; [36.43589744 61.56410256],1
d2,1,0.00033,12.893389,[14 44] ; [52 45],[24.69677419 33.30322581] ; [41.30322581 55.69677419],1
d5,1,0.000704,11.478331,[35 23] ; [82 15],[43.78064516 14.21935484] ; [73.21935484 23.78064516],1
n4,1,0.002507,9.135313,[21 37] ; [60 38],[30.11538462 27.88461538] ; [50.88461538 47.11538462],0
p4,1,0.004002,8.282707,[15 42] ; [48 48],[23.47058824 33.52941176] ; [39.52941176 56.47058824],0
v3,1,0.004686,7.996893,[ 8 47] ; [32 56],[15.38461538 39.61538462] ; [24.61538462 63.38461538],0
p3,1,0.005155,7.824264,[13 45] ; [43 53],[21.09090909 36.90909091] ; [34.90909091 61.09090909],0
d1,1,0.006209,7.488566,[20 38] ; [56 42],[28.25641026 29.74358974] ; [47.74358974 50.25641026],0
r4,1,0.006327,7.454698,[39 19] ; [84 14],[45.73076923 12.26923077] ; [77.26923077 20.73076923],0
v2,1,0.007138,7.23779,[16 37] ; [49 43],[23.75862069 29.24137931] ; [41.24137931 50.75862069],0
r1,1,0.025719,4.974833,[38 20] ; [79 18],[43.78064516 14.21935484] ; [73.21935484 23.78064516],0
r3,1,0.037349,4.334447,[45 12] ; [89  9],[49.27741935  7.72258065] ; [84.72258065 13.27741935],0
d4,1,0.038232,4.294679,[38 19] ; [79 18],[43.30519481 13.69480519] ; [73.69480519 23.30519481],0
a6,1,0.043163,4.089018,[34 24] ; [72 25],[39.66451613 18.33548387] ; [66.33548387 30.66451613],0
s4,1,0.06121,3.504286,[13 45] ; [11 87],[ 8.92307692 49.07692308] ; [15.07692308 82.92307692],0
a7,1,0.064015,3.430185,[33 25] ; [70 28],[38.29487179 19.70512821] ; [64.70512821 33.29487179],0
u3,1,0.171713,1.867926,[23 13] ; [14  3],[25.13207547 10.86792453] ; [11.86792453  5.13207547],0
s6,1,0.188285,1.730983,[24 33] ; [52 46],[27.9483871 29.0516129] ; [48.0516129 49.9483871],0
v4,1,0.197216,1.662874,[47 10] ; [87 10],[49.5974026  7.4025974] ; [84.4025974 12.5974026],0
p6,1,0.199042,1.649392,[15 40] ; [17 76],[11.89189189 43.10810811] ; [20.10810811 72.89189189],0
u1,1,0.201193,1.633695,[ 3 55] ; [11 87],[ 5.20512821 52.79487179] ; [ 8.79487179 89.20512821],0
d3,1,0.204504,1.609911,[33 24] ; [66 31],[36.64285714 20.35714286] ; [62.35714286 34.64285714],0
a8,1,0.311598,1.023891,[ 3 53] ; [ 9 80],[ 4.63448276 51.36551724] ; [ 7.36551724 81.63448276],0
s8,1,0.318005,0.997136,[14 44] ; [31 67],[16.73076923 41.26923077] ; [28.26923077 69.73076923],0
b1,1,0.338831,0.914849,[25 33] ; [50 48],[27.88461538 30.11538462] ; [47.11538462 50.88461538],0
p11,1,0.363857,0.824538,[30 28] ; [58 40],[32.71794872 25.28205128] ; [55.28205128 42.71794872],0
v1,1,0.382201,0.763612,[22 35] ; [44 52],[24.58823529 32.41176471] ; [41.41176471 54.58823529],0
s1,1,0.427977,0.628307,[ 4 52] ; [ 4 92],[ 2.94736842 53.05263158] ; [ 5.05263158 90.94736842],0
p5,1,0.439503,0.59758,[ 2 56] ; [ 6 89],[ 3.03267974 54.96732026] ; [ 4.96732026 90.03267974],0
p10,1,0.440018,0.596236,[30 26] ; [57 38],[32.26490066 23.73509934] ; [54.73509934 40.26490066],0
n1,1,0.464622,0.534737,[10 11] ; [12 20],[ 8.71698113 12.28301887] ; [13.28301887 18.71698113],0
b5,1,0.487416,0.482226,[37 21] ; [57 41],[34.94871795 23.05128205] ; [59.05128205 38.94871795],0
s7,1,0.532984,0.3887,[16 39] ; [31 60],[17.70547945 37.29452055] ; [29.29452055 61.70547945],0
s2,1,0.594743,0.282998,[22 36] ; [41 56],[23.57419355 34.42580645] ; [39.42580645 57.57419355],0
p7,1,0.601232,0.273141,[23 30] ; [45 49],[24.5170068 28.4829932] ; [43.4829932 50.5170068],0
s5,1,0.604564,0.268167,[10 45] ; [20 72],[11.2244898 43.7755102] ; [18.7755102 73.2244898],0
b4,1,0.605934,0.266138,[35 23] ; [55 43],[33.46153846 24.53846154] ; [56.53846154 41.46153846],0
p2,1,0.610839,0.258954,[38 20] ; [66 29],[39.4248366 18.5751634] ; [64.5751634 30.4248366],0
s3,1,0.618884,0.24744,[32 26] ; [49 47],[30.50649351 27.49350649] ; [50.49350649 45.50649351],0
n2,1,0.650385,0.205415,[16  5] ; [24 10],[15.27272727  5.72727273] ; [24.72727273  9.27272727],0
p1,1,0.659334,0.194334,[ 6 52] ; [ 8 89],[ 5.23870968 52.76129032] ; [ 8.76129032 88.23870968],0
n5,1,0.685918,0.16354,[26 31] ; [41 56],[24.7987013 32.2012987] ; [42.2012987 54.7987013],0
p8,1,0.71824,0.130186,[19 37] ; [35 60],[20.02649007 35.97350993] ; [33.97350993 61.02649007],0
p9,1,0.778601,0.079042,[38 18] ; [63 33],[37.21052632 18.78947368] ; [63.78947368 32.21052632],0
a1,1,0.80572,0.060492,[ 3 55] ; [ 6 92],[ 3.34615385 54.65384615] ; [ 5.65384615 92.34615385],0
n3,1,0.873724,0.025259,[14  7] ; [22 10],[14.26415094  6.73584906] ; [21.73584906 10.26415094],0
b2,1,0.931066,0.007483,[10 22] ; [18 38],[10.18181818 21.81818182] ; [17.81818182 38.18181818],0
b3,1,0.931066,0.007483,[10 22] ; [18 38],[10.18181818 21.81818182] ; [17.81818182 38.18181818],0
u2,1,0.944723,0.004807,[23 12] ; [12  6],[23.11320755 11.88679245] ; [11.88679245  6.11320755],0
