Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,31.486038,[36  2] ; [ 6 17],[26.16393443 11.83606557] ; [15.83606557  7.16393443],1
s7,1,0.000765,11.324586,[32  5] ; [10 12],[26.33898305 10.66101695] ; [15.66101695  6.33898305],1
u2,1,0.034442,4.472619,[ 6 10] ; [8 2],[8.61538462 7.38461538] ; [5.38461538 4.61538462],0
r2,1,0.045339,4.005982,[36  1] ; [19  4],[33.91666667  3.08333333] ; [21.08333333  1.91666667],0
s5,1,0.049239,3.867171,[16 21] ; [ 4 18],[12.54237288 24.45762712] ; [ 7.45762712 14.54237288],0
d5,1,0.051275,3.799273,[23 15] ; [ 8 15],[19.31147541 18.68852459] ; [11.68852459 11.31147541],0
s6,1,0.056133,3.648093,[33  4] ; [16  7],[30.21666667  6.78333333] ; [18.78333333  4.21666667],0
p11,1,0.06854,3.317641,[25 13] ; [20  3],[28.03278689  9.96721311] ; [16.96721311  6.03278689],0
p3,1,0.104863,2.629987,[15 23] ; [14  9],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
p12,1,0.111352,2.534932,[ 1 37] ; [ 3 20],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
n6,1,0.111615,2.531198,[34  4] ; [17  6],[31.7704918  6.2295082] ; [19.2295082  3.7704918],0
s4,1,0.140023,2.177701,[ 9 29] ; [ 2 21],[ 6.85245902 31.14754098] ; [ 4.14754098 18.85245902],0
a8,1,0.148574,2.086826,[ 8 26] ; [ 2 21],[ 5.96491228 28.03508772] ; [ 4.03508772 18.96491228],0
a5,1,0.204462,1.610214,[26 12] ; [12 11],[23.67213115 14.32786885] ; [14.32786885  8.67213115],0
v3,1,0.257372,1.282837,[14 24] ; [ 5 17],[12.03333333 25.96666667] ; [ 6.96666667 15.03333333],0
a2,1,0.259394,1.271987,[ 3 35] ; [ 4 19],[ 4.36065574 33.63934426] ; [ 2.63934426 20.36065574],0
p8,1,0.27452,1.19402,[16 22] ; [13 10],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
n5,1,0.27952,1.169422,[31  7] ; [16  7],[29.27868852  8.72131148] ; [17.72131148  5.27868852],0
p6,1,0.286204,1.137394,[15 23] ; [ 6 17],[13.08196721 24.91803279] ; [ 7.91803279 15.08196721],0
b2,1,0.316642,1.002766,[ 8 21] ; [6 8],[ 9.44186047 19.55813953] ; [4.55813953 9.44186047],0
b3,1,0.316642,1.002766,[ 8 21] ; [6 8],[ 9.44186047 19.55813953] ; [4.55813953 9.44186047],0
n3,1,0.322888,0.977211,[9 1] ; [5 2],[8.23529412 1.76470588] ; [5.76470588 1.23529412],0
n4,1,0.37148,0.798706,[25 12] ; [18  5],[26.51666667 10.48333333] ; [16.48333333  6.51666667],0
d3,1,0.421787,0.64533,[10 28] ; [ 4 19],[ 8.72131148 29.27868852] ; [ 5.27868852 17.72131148],0
v1,1,0.457199,0.552744,[21 17] ; [ 9 11],[19.65517241 18.34482759] ; [10.34482759  9.65517241],0
n1,1,0.485845,0.485714,[6 3] ; [4 4],[5.29411765 3.70588235] ; [4.70588235 3.29411765],0
r4,1,0.512833,0.428282,[35  3] ; [20  3],[34.26229508  3.73770492] ; [20.73770492  2.26229508],0
p2,1,0.560786,0.338345,[29  9] ; [19  4],[29.90163934  8.09836066] ; [18.09836066  4.90163934],0
s1,1,0.570223,0.32231,[ 3 34] ; [ 1 22],[ 2.46666667 34.53333333] ; [ 1.53333333 21.46666667],0
a6,1,0.570448,0.321933,[22 16] ; [15  8],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
d1,1,0.587557,0.294176,[ 3 35] ; [ 1 22],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
u1,1,0.587557,0.294176,[ 3 35] ; [ 1 22],[ 2.49180328 35.50819672] ; [ 1.50819672 21.49180328],0
p5,1,0.596153,0.280838,[ 5 33] ; [ 2 21],[ 4.36065574 33.63934426] ; [ 2.63934426 20.36065574],0
r3,1,0.599664,0.275503,[36  2] ; [21  2],[35.50819672  2.49180328] ; [21.49180328  1.50819672],0
v4,1,0.61936,0.246769,[35  2] ; [21  2],[34.53333333  2.46666667] ; [21.46666667  1.53333333],0
a4,1,0.633394,0.227487,[11 27] ; [ 8 15],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],0
