Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.580456,[41  1] ; [7 8],[35.36842105  6.63157895] ; [12.63157895  2.36842105],1
p4,1,0.020018,5.410336,[42  1] ; [12  3],[40.03448276  2.96551724] ; [13.96551724  1.03448276],0
n4,1,0.020018,5.410336,[42  1] ; [12  3],[40.03448276  2.96551724] ; [13.96551724  1.03448276],0
r1,1,0.026875,4.898838,[39  4] ; [10  5],[36.32758621  6.67241379] ; [12.67241379  2.32758621],0
v1,1,0.035999,4.397143,[36  6] ; [9 6],[33.15789474  8.84210526] ; [11.84210526  3.15789474],0
s3,1,0.053929,3.714905,[41  2] ; [11  3],[39.22807018  3.77192982] ; [12.77192982  1.22807018],0
a3,1,0.055339,3.671835,[38  5] ; [10  5],[35.5862069  7.4137931] ; [12.4137931  2.5862069],0
p7,1,0.080512,3.054545,[36  6] ; [9 5],[33.75  8.25] ; [11.25  2.75],0
p8,1,0.093098,2.819969,[39  4] ; [11  4],[37.06896552  5.93103448] ; [12.93103448  2.06896552],0
r2,1,0.097421,2.747268,[42  1] ; [13  2],[40.77586207  2.22413793] ; [14.22413793  0.77586207],0
d5,1,0.099242,2.717677,[37  6] ; [10  5],[34.84482759  8.15517241] ; [12.15517241  2.84482759],0
d3,1,0.146415,2.109205,[34  9] ; [9 6],[31.87931034 11.12068966] ; [11.12068966  3.87931034],0
a7,1,0.151457,2.057512,[29 14] ; [13  2],[31.13793103 11.86206897] ; [10.86206897  4.13793103],0
p3,1,0.160328,1.971127,[36  7] ; [10  5],[34.10344828  8.89655172] ; [11.89655172  3.10344828],0
v3,1,0.232497,1.425521,[27 15] ; [7 8],[25.05263158 16.94736842] ; [8.94736842 6.05263158],0
n2,1,0.23568,1.40625,[7 1] ; [1 1],[6.4 1.6] ; [1.6 0.4],0
v2,1,0.253692,1.302857,[24 18] ; [6 9],[22.10526316 19.89473684] ; [7.89473684 7.10526316],0
d1,1,0.290816,1.115839,[32 11] ; [9 6],[30.39655172 12.60344828] ; [10.60344828  4.39655172],0
b4,1,0.298519,1.080799,[22 21] ; [10  5],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
a8,1,0.319042,0.992871,[ 8 33] ; [ 1 12],[ 6.83333333 34.16666667] ; [ 2.16666667 10.83333333],0
u1,1,0.376903,0.780778,[ 7 36] ; [ 4 11],[ 8.15517241 34.84482759] ; [ 2.84482759 12.15517241],0
r4,1,0.427554,0.629457,[42  1] ; [14  1],[41.51724138  1.48275862] ; [14.48275862  0.51724138],0
r3,1,0.427554,0.629457,[42  1] ; [14  1],[41.51724138  1.48275862] ; [14.48275862  0.51724138],0
b5,1,0.441706,0.591846,[18 25] ; [8 7],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
p1,1,0.487676,0.48165,[13 30] ; [6 9],[14.0862069 28.9137931] ; [ 4.9137931 10.0862069],0
u2,1,0.490153,0.47619,[3 2] ; [4 1],[3.5 1.5] ; [3.5 1.5],0
a2,1,0.506886,0.44049,[ 8 35] ; [ 4 11],[ 8.89655172 34.10344828] ; [ 3.10344828 11.89655172],0
p12,1,0.559322,0.34088,[15 28] ; [ 4 11],[14.0862069 28.9137931] ; [ 4.9137931 10.0862069],0
a5,1,0.563002,0.334533,[32 11] ; [10  5],[31.13793103 11.86206897] ; [10.86206897  4.13793103],0
p11,1,0.577594,0.310141,[37  6] ; [12  3],[36.32758621  6.67241379] ; [12.67241379  2.32758621],0
s1,1,0.586952,0.29513,[ 5 38] ; [ 1 14],[ 4.44827586 38.55172414] ; [ 1.55172414 13.44827586],0
p6,1,0.597167,0.27929,[31 11] ; [10  5],[30.21052632 11.78947368] ; [10.78947368  4.21052632],0
p10,1,0.658925,0.194832,[39  4] ; [13  2],[38.55172414  4.44827586] ; [13.44827586  1.55172414],0
b1,1,0.662374,0.190653,[20 23] ; [6 9],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
a1,1,0.74254,0.107907,[ 7 36] ; [ 3 12],[ 7.4137931 35.5862069] ; [ 2.5862069 12.4137931],0
a6,1,0.746207,0.104746,[25 18] ; [8 7],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
b3,1,0.750621,0.10101,[14 18] ; [4 4],[14.4 17.6] ; [3.6 4.4],0
b2,1,0.750621,0.10101,[14 18] ; [4 4],[14.4 17.6] ; [3.6 4.4],0
s5,1,0.807541,0.059341,[30  9] ; [12  3],[30.33333333  8.66666667] ; [11.66666667  3.33333333],0
d4,1,0.86141,0.030478,[38  5] ; [13  2],[37.81034483  5.18965517] ; [13.18965517  1.81034483],0
d2,1,0.867891,0.027668,[24 19] ; [8 7],[23.72413793 19.27586207] ; [8.27586207 6.72413793],0
a4,1,0.884828,0.020982,[21 22] ; [7 8],[20.75862069 22.24137931] ; [7.24137931 7.75862069],0
p2,1,0.96745,0.001665,[40  3] ; [14  1],[40.03448276  2.96551724] ; [13.96551724  1.03448276],0
p9,1,0.96745,0.001665,[40  3] ; [14  1],[40.03448276  2.96551724] ; [13.96551724  1.03448276],0
n3,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
u3,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
