Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1.2e-05,19.168357,[28  6] ; [ 8 21],[19.42857143 14.57142857] ; [16.57142857 12.42857143],1
s7,1,0.000196,13.865849,[21 12] ; [ 4 22],[13.98305085 19.01694915] ; [11.01694915 14.98305085],1
s6,1,0.000482,12.184274,[27  7] ; [10 18],[20.29032258 13.70967742] ; [16.70967742 11.29032258],1
v1,1,0.001282,10.36828,[22 12] ; [ 7 22],[15.65079365 18.34920635] ; [13.34920635 15.65079365],0
s8,1,0.015687,5.837623,[17 16] ; [ 6 22],[12.44262295 20.55737705] ; [10.55737705 17.44262295],0
s5,1,0.038953,4.262915,[14 19] ; [ 5 23],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],0
v4,1,0.039028,4.259635,[32  2] ; [22  7],[29.14285714  4.85714286] ; [24.85714286  4.14285714],0
p9,1,0.040013,4.217322,[26  8] ; [15 14],[22.12698413 11.87301587] ; [18.87301587 10.12698413],0
p3,1,0.074796,3.174504,[13 20] ; [18 11],[16.5 16.5] ; [14.5 14.5],0
d3,1,0.088427,2.90277,[18 14] ; [10 19],[14.68852459 17.31147541] ; [13.31147541 15.68852459],0
p6,1,0.127508,2.322586,[17 17] ; [ 9 20],[14.03174603 19.96825397] ; [11.96825397 17.03174603],0
p10,1,0.127665,2.320675,[25  9] ; [16 13],[22.12698413 11.87301587] ; [18.87301587 10.12698413],0
n1,1,0.204894,1.607143,[2 6] ; [4 3],[3.2 4.8] ; [2.8 4.2],0
r3,1,0.286361,1.13665,[32  2] ; [25  4],[30.76190476  3.23809524] ; [26.23809524  2.76190476],0
r2,1,0.291002,1.114982,[31  3] ; [23  5],[29.61290323  4.38709677] ; [24.38709677  3.61290323],0
a3,1,0.29687,1.088199,[22 12] ; [15 14],[19.96825397 14.03174603] ; [17.03174603 11.96825397],0
s4,1,0.326639,0.962176,[ 8 26] ; [ 4 25],[ 6.47619048 27.52380952] ; [ 5.52380952 23.47619048],0
b4,1,0.38169,0.765253,[19 15] ; [13 16],[17.26984127 16.73015873] ; [14.73015873 14.26984127],0
n3,1,0.382733,0.761905,[6 3] ; [6 1],[6.75 2.25] ; [5.25 1.75],0
p1,1,0.38317,0.760507,[ 3 31] ; [ 1 28],[ 2.15873016 31.84126984] ; [ 1.84126984 27.15873016],0
p12,1,0.38317,0.760507,[ 3 31] ; [ 1 28],[ 2.15873016 31.84126984] ; [ 1.84126984 27.15873016],0
a2,1,0.38317,0.760507,[ 3 31] ; [ 1 28],[ 2.15873016 31.84126984] ; [ 1.84126984 27.15873016],0
b2,1,0.438302,0.600725,[ 7 14] ; [ 5 17],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
b3,1,0.438302,0.600725,[ 7 14] ; [ 5 17],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
r1,1,0.474639,0.511156,[24 10] ; [18 11],[22.66666667 11.33333333] ; [19.33333333  9.66666667],0
r4,1,0.478869,0.501438,[27  7] ; [25  4],[28.06349206  5.93650794] ; [23.93650794  5.06349206],0
n5,1,0.489788,0.476992,[25  9] ; [19 10],[23.74603175 10.25396825] ; [20.25396825  8.74603175],0
a8,1,0.525141,0.403786,[ 5 28] ; [ 6 22],[ 5.95081967 27.04918033] ; [ 5.04918033 22.95081967],0
p5,1,0.525857,0.402391,[ 3 30] ; [ 4 24],[ 3.78688525 29.21311475] ; [ 3.21311475 24.78688525],0
n4,1,0.550129,0.357087,[21 13] ; [20  9],[22.12698413 11.87301587] ; [18.87301587 10.12698413],0
d5,1,0.592319,0.286737,[23  9] ; [19 10],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
v2,1,0.604921,0.267638,[21 12] ; [16 12],[20.01639344 12.98360656] ; [16.98360656 11.01639344],0
