Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,65.876118,[87  9] ; [44 77],[57.95391705 38.04608295] ; [73.04608295 47.95391705],1
d2,1,0.0,62.836051,[65 29] ; [ 19 101],[36.89719626 57.10280374] ; [47.10280374 72.89719626],1
d5,1,0.0,59.189291,[94  2] ; [61 60],[68.57142857 27.42857143] ; [86.42857143 34.57142857],1
d4,1,0.0,58.912775,[94  1] ; [63 58],[69.05092593 25.94907407] ; [87.94907407 33.05092593],1
a2,1,0.0,28.275895,[31 65] ; [  6 115],[16.36866359 79.63133641] ; [ 20.63133641 100.36866359],1
a4,1,1e-06,24.28512,[57 38] ; [32 88],[39.3255814 55.6744186] ; [49.6744186 70.3255814],1
u1,1,3e-06,21.616044,[20 76] ; [  2 119],[ 9.73271889 86.26728111] ; [ 12.26728111 108.73271889],1
a7,1,3.5e-05,17.147391,[76 19] ; [64 57],[61.57407407 33.42592593] ; [78.42592593 42.57407407],1
a5,1,4.3e-05,16.720711,[73 23] ; [59 62],[58.39631336 37.60368664] ; [73.60368664 47.39631336],1
v2,1,0.001813,9.729507,[49 44] ; [36 79],[38.00480769 54.99519231] ; [46.99519231 68.00480769],0
a6,1,0.005179,7.815797,[75 21] ; [73 48],[65.47465438 30.52534562] ; [82.52534562 38.47465438],0
a3,1,0.01498,5.918842,[68 28] ; [65 54],[59.38604651 36.61395349] ; [73.61395349 45.38604651],0
r1,1,0.03907,4.257831,[70 26] ; [72 49],[62.8202765 33.1797235] ; [79.1797235 41.8202765],0
r2,1,0.05388,3.71641,[85  9] ; [98 23],[80.00930233 13.99069767] ; [102.99069767  18.00930233],0
n2,1,0.088482,2.901785,[20 19] ; [28 12],[23.69620253 15.30379747] ; [24.30379747 15.69620253],0
s3,1,0.101248,2.685774,[23 73] ; [ 18 101],[18.30697674 77.69302326] ; [22.69302326 96.30697674],0
n6,1,0.129517,2.298281,[74 22] ; [82 39],[69.01382488 26.98617512] ; [86.98617512 34.01382488],0
r3,1,0.131449,2.275302,[82 13] ; [94 26],[77.76744186 17.23255814] ; [98.23255814 21.76744186],0
a8,1,0.161085,1.964009,[ 5 84] ; [ 13 103],[ 7.81463415 81.18536585] ; [ 10.18536585 105.81463415],0
s7,1,0.174945,1.840049,[22 70] ; [19 97],[18.13461538 73.86538462] ; [22.86538462 93.13461538],0
