Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.323841,[21 13] ; [16 78],[ 9.828125 24.171875] ; [27.171875 66.828125],1
s6,1,0.000194,13.884002,[25  9] ; [35 61],[15.69230769 18.30769231] ; [44.30769231 51.69230769],1
a8,1,0.001935,9.610083,[ 7 24] ; [ 4 89],[ 2.75 28.25] ; [ 8.25 84.75],0
p9,1,0.008956,6.831622,[28  6] ; [55 41],[21.70769231 12.29230769] ; [61.29230769 34.70769231],0
s3,1,0.013192,6.143171,[22 12] ; [38 57],[15.81395349 18.18604651] ; [44.18604651 50.81395349],0
s2,1,0.021884,5.255022,[18 16] ; [30 67],[12.45801527 21.54198473] ; [35.54198473 61.45801527],0
p10,1,0.023333,5.143541,[24  9] ; [48 48],[18.41860465 14.58139535] ; [53.58139535 42.41860465],0
r4,1,0.048796,3.882353,[30  4] ; [70 28],[25.75757576  8.24242424] ; [74.24242424 23.75757576],0
p5,1,0.053026,3.743113,[ 4 30] ; [ 3 94],[ 1.81679389 32.18320611] ; [ 5.18320611 91.81679389],0
a2,1,0.074249,3.186487,[ 3 31] ; [ 2 96],[ 1.28787879 32.71212121] ; [ 3.71212121 94.28787879],0
u3,1,0.081061,3.043494,[9 3] ; [23 26],[6.29508197 5.70491803] ; [25.70491803 23.29508197],0
b3,1,0.094654,2.79338,[ 8 12] ; [11 42],[ 5.20547945 14.79452055] ; [13.79452055 39.20547945],0
b2,1,0.094654,2.79338,[ 8 12] ; [11 42],[ 5.20547945 14.79452055] ; [13.79452055 39.20547945],0
u1,1,0.101201,2.686507,[ 2 32] ; [ 1 97],[ 0.77272727 33.22727273] ; [ 2.22727273 95.77272727],0
a3,1,0.102415,2.667531,[22 12] ; [47 50],[17.90839695 16.09160305] ; [51.09160305 45.90839695],0
s5,1,0.105253,2.624084,[11 20] ; [20 75],[ 7.62698413 23.37301587] ; [23.37301587 71.62698413],0
v1,1,0.138594,2.193505,[16 17] ; [33 64],[12.43846154 20.56153846] ; [36.56153846 60.43846154],0
u2,1,0.170847,1.875492,[8 3] ; [25 25],[5.95081967 5.04918033] ; [27.04918033 22.95081967],0
p11,1,0.191462,1.706328,[26  8] ; [63 35],[22.92424242 11.07575758] ; [66.07575758 31.92424242],0
v2,1,0.220659,1.50008,[15 17] ; [33 62],[12.09448819 19.90551181] ; [35.90551181 59.09448819],0
v4,1,0.223279,1.483174,[32  2] ; [82 13],[30.04651163  3.95348837] ; [83.95348837 11.04651163],0
p2,1,0.295445,1.09464,[27  7] ; [68 29],[24.65648855  9.34351145] ; [70.34351145 26.65648855],0
r3,1,0.299194,1.077781,[32  2] ; [86 12],[30.39393939  3.60606061] ; [87.60606061 10.39393939],0
p1,1,0.299736,1.075368,[ 4 30] ; [ 6 90],[ 2.61538462 31.38461538] ; [ 7.38461538 88.61538462],0
r1,1,0.381341,0.766376,[24 10] ; [61 37],[21.89393939 12.10606061] ; [63.10606061 34.89393939],0
a4,1,0.384047,0.757707,[ 9 25] ; [19 79],[ 7.21212121 26.78787879] ; [20.78787879 77.21212121],0
b4,1,0.397304,0.716471,[18 16] ; [60 38],[20.09090909 13.90909091] ; [57.90909091 40.09090909],0
a5,1,0.418112,0.655615,[18 16] ; [44 54],[15.96969697 18.03030303] ; [46.03030303 51.96969697],0
a7,1,0.418186,0.655407,[24 10] ; [61 36],[22.0610687 11.9389313] ; [62.9389313 34.0610687],0
a6,1,0.432143,0.617058,[20 14] ; [50 48],[18.03030303 15.96969697] ; [51.96969697 46.03030303],0
v3,1,0.436568,0.605286,[ 6 26] ; [24 70],[ 7.61904762 24.38095238] ; [22.38095238 71.61904762],0
s4,1,0.443207,0.587966,[ 4 30] ; [17 81],[ 5.40909091 28.59090909] ; [15.59090909 82.40909091],0
d5,1,0.455969,0.555771,[19 15] ; [47 50],[17.12977099 16.87022901] ; [48.87022901 48.12977099],0
p7,1,0.479584,0.499808,[15 18] ; [51 46],[16.75384615 16.24615385] ; [49.24615385 47.75384615],0
n6,1,0.502499,0.449655,[22 12] ; [57 41],[20.34848485 13.65151515] ; [58.65151515 39.34848485],0
n4,1,0.51297,0.428004,[15 19] ; [37 61],[13.39393939 20.60606061] ; [38.60606061 59.39393939],0
p3,1,0.55407,0.350077,[13 21] ; [32 66],[11.59090909 22.40909091] ; [33.40909091 64.59090909],0
b1,1,0.570162,0.322412,[12 22] ; [40 58],[13.39393939 20.60606061] ; [38.60606061 59.39393939],0
n3,1,0.571091,0.32086,[7 2] ; [19  9],[6.32432432 2.67567568] ; [19.67567568  8.32432432],0
p12,1,0.595242,0.282231,[ 1 33] ; [ 5 92],[ 1.55725191 32.44274809] ; [ 4.44274809 92.55725191],0
b5,1,0.596332,0.280564,[18 16] ; [57 41],[19.31818182 14.68181818] ; [55.68181818 42.31818182],0
p8,1,0.64228,0.215773,[12 22] ; [39 59],[13.13636364 20.86363636] ; [37.86363636 60.13636364],0
p6,1,0.65279,0.202401,[ 6 27] ; [21 75],[ 6.90697674 26.09302326] ; [20.09302326 75.90697674],0
d2,1,0.798998,0.064843,[ 4 30] ; [10 88],[ 3.60606061 30.39393939] ; [10.39393939 87.60606061],0
d3,1,0.864225,0.029241,[16 18] ; [44 53],[15.57251908 18.42748092] ; [44.42748092 52.57251908],0
p4,1,0.875993,0.024352,[13 21] ; [36 62],[12.62121212 21.37878788] ; [36.37878788 61.62121212],0
d4,1,0.875993,0.024352,[21 13] ; [62 36],[21.37878788 12.62121212] ; [61.62121212 36.37878788],0
n2,1,0.896873,0.016799,[6 3] ; [20  9],[6.15789474 2.84210526] ; [19.84210526  9.15789474],0
n1,1,0.905995,0.013946,[2 7] ; [ 7 22],[2.13157895 6.86842105] ; [ 6.86842105 22.13157895],0
s1,1,0.95968,0.002556,[ 2 32] ; [ 6 92],[ 2.06060606 31.93939394] ; [ 5.93939394 92.06060606],0
a1,1,0.95968,0.002556,[ 2 32] ; [ 6 92],[ 2.06060606 31.93939394] ; [ 5.93939394 92.06060606],0
r2,1,0.965729,0.001846,[28  5] ; [82 15],[27.92307692  5.07692308] ; [82.07692308 14.92307692],0
