Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,32.292906,[108  27] ; [ 6 19],[96.1875 38.8125] ; [17.8125  7.1875],1
r3,1,8.9e-05,15.35467,[115  19] ; [13 12],[107.87421384  26.12578616] ; [20.12578616  4.87421384],1
r1,1,0.000605,11.760198,[92 43] ; [ 8 17],[84.375 50.625] ; [15.625  9.375],1
v4,1,0.000909,11.003416,[116  17] ; [15 10],[110.2721519  22.7278481] ; [20.7278481  4.2721519],1
a5,1,0.003946,8.30847,[85 50] ; [ 8 17],[78.46875 56.53125] ; [14.53125 10.46875],0
b1,1,0.011344,6.410673,[60 75] ; [18  7],[65.8125 69.1875] ; [12.1875 12.8125],0
d1,1,0.018514,5.546842,[55 80] ; [ 4 21],[49.78125 85.21875] ; [ 9.21875 15.78125],0
p10,1,0.021276,5.304062,[87 44] ; [10 14],[81.98064516 49.01935484] ; [15.01935484  8.98064516],0
d5,1,0.021571,5.280096,[87 48] ; [10 15],[81.84375 53.15625] ; [15.15625  9.84375],0
a3,1,0.023562,5.126589,[81 53] ; [ 9 16],[75.8490566 58.1509434] ; [14.1509434 10.8490566],0
a6,1,0.025594,4.983254,[65 70] ; [ 6 19],[59.90625 75.09375] ; [11.09375 13.90625],0
p11,1,0.032509,4.571429,[99 36] ; [13 12],[94.5 40.5] ; [17.5  7.5],0
u3,1,0.036596,4.369129,[22 32] ; [ 2 14],[18.51428571 35.48571429] ; [ 5.48571429 10.51428571],0
p6,1,0.041563,4.152927,[36 93] ; [ 2 22],[32.03921569 96.96078431] ; [ 5.96078431 18.03921569],0
s6,1,0.04938,3.86239,[53 77] ; [ 5 20],[48.64516129 81.35483871] ; [ 9.35483871 15.64516129],0
v1,1,0.052433,3.761914,[53 78] ; [ 5 20],[48.70512821 82.29487179] ; [ 9.29487179 15.70512821],0
d4,1,0.066607,3.364708,[90 44] ; [12 13],[85.96226415 48.03773585] ; [16.03773585  8.96226415],0
s3,1,0.072581,3.223671,[40 92] ; [ 3 21],[36.38461538 95.61538462] ; [ 6.61538462 17.38461538],0
p9,1,0.09814,2.735516,[97 35] ; [13 10],[93.67741935 38.32258065] ; [16.32258065  6.67741935],0
n6,1,0.112146,2.523715,[101  33] ; [15 10],[97.76100629 36.23899371] ; [18.23899371  6.76100629],0
a4,1,0.15075,2.064643,[52 81] ; [ 6 19],[48.82278481 84.17721519] ; [ 9.17721519 15.82278481],0
p3,1,0.15075,2.064643,[52 81] ; [ 6 19],[48.82278481 84.17721519] ; [ 9.17721519 15.82278481],0
d2,1,0.156392,2.008767,[63 70] ; [ 8 17],[59.76582278 73.23417722] ; [11.23417722 13.76582278],0
v2,1,0.163495,1.941595,[52 78] ; [ 6 18],[48.96103896 81.03896104] ; [ 9.03896104 14.96103896],0
p7,1,0.181861,1.78235,[72 60] ; [10 15],[68.94267516 63.05732484] ; [13.05732484 11.94267516],0
v3,1,0.206976,1.592452,[36 92] ; [ 4 21],[33.46405229 94.53594771] ; [ 6.53594771 18.46405229],0
n4,1,0.212714,1.552861,[97 37] ; [15 10],[94.38993711 39.61006289] ; [17.61006289  7.38993711],0
p1,1,0.221156,1.496854,[ 11 123] ; [ 4 21],[ 12.64150943 121.35849057] ; [ 2.35849057 22.64150943],0
s1,1,0.230824,1.435776,[  4 129] ; [ 2 23],[  5.05063291 127.94936709] ; [ 0.94936709 24.05063291],0
p2,1,0.27516,1.19084,[93 38] ; [15 10],[90.69230769 40.30769231] ; [17.30769231  7.69230769],0
b4,1,0.275918,1.187087,[76 59] ; [17  8],[78.46875 56.53125] ; [14.53125 10.46875],0
p4,1,0.284689,1.144567,[57 74] ; [ 8 17],[54.58333333 76.41666667] ; [10.41666667 14.58333333],0
n3,1,0.28668,1.13515,[29 10] ; [7 5],[27.52941176 11.47058824] ; [8.47058824 3.52941176],0
p5,1,0.288689,1.125727,[ 12 121] ; [ 4 21],[ 13.46835443 119.53164557] ; [ 2.53164557 22.46835443],0
d3,1,0.350219,0.872662,[51 84] ; [ 7 18],[48.9375 86.0625] ; [ 9.0625 15.9375],0
b2,1,0.359721,0.838866,[36 42] ; [ 5 10],[34.38709677 43.61290323] ; [6.61290323 8.38709677],0
b3,1,0.359721,0.838866,[36 42] ; [ 5 10],[34.38709677 43.61290323] ; [6.61290323 8.38709677],0
p8,1,0.4271,0.630695,[53 78] ; [ 8 17],[51.22435897 79.77564103] ; [ 9.77564103 15.22435897],0
n1,1,0.431606,0.618498,[16 27] ; [3 9],[14.85454545 28.14545455] ; [4.14545455 7.85454545],0
s7,1,0.455761,0.556284,[33 96] ; [ 4 18],[31.60927152 97.39072848] ; [ 5.39072848 16.60927152],0
b5,1,0.513629,0.426667,[69 66] ; [11 14],[67.5 67.5] ; [12.5 12.5],0
s4,1,0.574154,0.315781,[ 16 118] ; [ 4 21],[ 16.85534591 117.14465409] ; [ 3.14465409 21.85534591],0
s8,1,0.619326,0.246815,[ 27 106] ; [ 4 21],[ 26.09493671 106.90506329] ; [ 4.90506329 20.09493671],0
s5,1,0.649223,0.206881,[31 97] ; [ 5 20],[30.11764706 97.88235294] ; [ 5.88235294 19.11764706],0
p12,1,0.805502,0.06063,[  4 127] ; [ 1 24],[  4.19871795 126.80128205] ; [ 0.80128205 24.19871795],0
n5,1,0.953683,0.003374,[95 38] ; [18  7],[95.12025316 37.87974684] ; [17.87974684  7.12025316],0
n2,1,0.959642,0.002561,[29 14] ; [8 4],[28.92727273 14.07272727] ; [8.07272727 3.92727273],0
