Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000254,13.379167,[ 3 42] ; [6 6],[ 7.10526316 37.89473684] ; [ 1.89473684 10.10526316],1
s7,1,0.001991,9.557708,[ 7 34] ; [7 4],[11.03846154 29.96153846] ; [2.96153846 8.03846154],0
p9,1,0.003669,8.440676,[18 25] ; [10  1],[22.2962963 20.7037037] ; [5.7037037 5.2962963],0
p4,1,0.00939,6.747159,[15 30] ; [9 3],[18.94736842 26.05263158] ; [5.05263158 6.94736842],0
p11,1,0.016518,5.746914,[20 25] ; [10  2],[23.68421053 21.31578947] ; [6.31578947 5.68421053],0
r3,1,0.038614,4.277778,[22 22] ; [10  2],[25.14285714 18.85714286] ; [6.85714286 5.14285714],0
n6,1,0.038614,4.277778,[22 22] ; [10  2],[25.14285714 18.85714286] ; [6.85714286 5.14285714],0
u3,1,0.039406,4.24329,[ 4 20] ; [3 2],[ 5.79310345 18.20689655] ; [1.20689655 3.79310345],0
r1,1,0.057074,3.620427,[10 35] ; [6 6],[12.63157895 32.36842105] ; [3.36842105 8.63157895],0
s6,1,0.057566,3.606149,[13 32] ; [7 5],[15.78947368 29.21052632] ; [4.21052632 7.78947368],0
p2,1,0.059817,3.542455,[24 21] ; [10  2],[26.84210526 18.15789474] ; [7.15789474 4.84210526],0
p8,1,0.063776,3.436364,[10 34] ; [6 6],[12.57142857 31.42857143] ; [3.42857143 8.57142857],0
n5,1,0.079046,3.084416,[25 20] ; [10  2],[27.63157895 17.36842105] ; [7.36842105 4.63157895],0
n1,1,0.10197,2.674464,[ 5 16] ; [4 3],[ 6.75 14.25] ; [2.25 4.75],0
b1,1,0.113964,2.498377,[30 15] ; [5 7],[27.63157895 17.36842105] ; [7.36842105 4.63157895],0
n2,1,0.117852,2.445633,[11 10] ; [6 1],[12.75  8.25] ; [4.25 2.75],0
s2,1,0.118822,2.432783,[10 35] ; [5 6],[12.05357143 32.94642857] ; [2.94642857 8.05357143],0
s3,1,0.181554,1.784856,[11 33] ; [5 6],[12.8 31.2] ; [3.2 7.8],0
p3,1,0.189107,1.724563,[10 34] ; [5 7],[11.78571429 32.21428571] ; [3.21428571 8.78571429],0
p6,1,0.245338,1.349657,[ 5 38] ; [3 9],[ 6.25454545 36.74545455] ; [ 1.74545455 10.25454545],0
p7,1,0.361111,0.834026,[16 29] ; [6 6],[17.36842105 27.63157895] ; [4.63157895 7.36842105],0
n3,1,0.377822,0.777778,[11 10] ; [5 2],[12.  9.] ; [4. 3.],0
n4,1,0.408213,0.684,[24 21] ; [8 4],[25.26315789 19.73684211] ; [6.73684211 5.26315789],0
s5,1,0.435354,0.608497,[ 4 41] ; [ 2 10],[ 4.73684211 40.26315789] ; [ 1.26315789 10.73684211],0
u2,1,0.453319,0.56234,[10 14] ; [3 2],[10.75862069 13.24137931] ; [2.24137931 2.75862069],0
b5,1,0.472575,0.515948,[24 21] ; [5 7],[22.89473684 22.10526316] ; [6.10526316 5.89473684],0
a5,1,0.472575,0.515948,[21 24] ; [7 5],[22.10526316 22.89473684] ; [5.89473684 6.10526316],0
