Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.246121,[ 6 27] ; [22  6],[15.14754098 17.85245902] ; [12.85245902 15.14754098],1
d2,1,0.001649,9.904456,[ 7 26] ; [17 11],[12.98360656 20.01639344] ; [11.01639344 16.98360656],0
s7,1,0.002611,9.060948,[ 7 23] ; [18 11],[12.71186441 17.28813559] ; [12.28813559 16.71186441],0
b2,1,0.008646,6.894451,[ 2 19] ; [10 12],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
b3,1,0.008646,6.894451,[ 2 19] ; [10 12],[ 5.86046512 15.13953488] ; [ 6.13953488 15.86046512],0
a5,1,0.011439,6.395856,[15 18] ; [23  7],[19.9047619 13.0952381] ; [18.0952381 11.9047619],0
n4,1,0.017854,5.610441,[17 16] ; [24  6],[21.47619048 11.52380952] ; [19.52380952 10.47619048],0
p9,1,0.017854,5.610441,[17 16] ; [24  6],[21.47619048 11.52380952] ; [19.52380952 10.47619048],0
b4,1,0.057668,3.603217,[13 20] ; [19 11],[16.76190476 16.23809524] ; [15.23809524 14.76190476],0
p10,1,0.065846,3.383663,[18 15] ; [23  7],[21.47619048 11.52380952] ; [19.52380952 10.47619048],0
a7,1,0.074909,3.172028,[17 16] ; [22  8],[20.42857143 12.57142857] ; [18.57142857 11.42857143],0
a6,1,0.07919,3.081455,[15 18] ; [19  9],[18.39344262 14.60655738] ; [15.60655738 12.39344262],0
a3,1,0.083205,3.001162,[16 17] ; [21  9],[19.38095238 13.61904762] ; [17.61904762 12.38095238],0
s5,1,0.100437,2.698585,[ 7 25] ; [12 17],[ 9.96721311 22.03278689] ; [ 9.03278689 19.96721311],0
a4,1,0.110303,2.549881,[ 9 24] ; [14 16],[12.04761905 20.95238095] ; [10.95238095 19.04761905],0
b1,1,0.170381,1.879587,[20 13] ; [13 17],[17.28571429 15.71428571] ; [15.71428571 14.28571429],0
p6,1,0.179599,1.800936,[11 22] ; [15 15],[13.61904762 19.38095238] ; [12.38095238 17.61904762],0
u2,1,0.201134,1.63412,[ 6 11] ; [5 3],[7.48 9.52] ; [3.52 4.48],0
n6,1,0.301414,1.067927,[22 11] ; [22  6],[23.80327869  9.19672131] ; [20.19672131  7.80327869],0
p11,1,0.326032,0.964593,[18 15] ; [20 10],[19.9047619 13.0952381] ; [18.0952381 11.9047619],0
u3,1,0.340018,0.910364,[8 9] ; [6 3],[9.15384615 7.84615385] ; [4.84615385 4.15384615],0
v2,1,0.344461,0.893757,[17 14] ; [20 10],[18.80327869 12.19672131] ; [18.19672131 11.80327869],0
p1,1,0.349278,0.876079,[ 3 30] ; [ 1 29],[ 2.0952381 30.9047619] ; [ 1.9047619 28.0952381],0
n3,1,0.382733,0.761905,[6 1] ; [6 3],[5.25 1.75] ; [6.75 2.25],0
r4,1,0.41067,0.67686,[26  7] ; [26  4],[27.23809524  5.76190476] ; [24.76190476  5.23809524],0
v3,1,0.478045,0.50332,[ 9 24] ; [10 18],[10.27868852 22.72131148] ; [ 8.72131148 19.27868852],0
a1,1,0.498475,0.458182,[ 1 32] ; [ 2 28],[ 1.57142857 31.42857143] ; [ 1.42857143 28.57142857],0
s3,1,0.560179,0.339394,[20 13] ; [16 14],[18.85714286 14.14285714] ; [17.14285714 12.85714286],0
s6,1,0.569902,0.322847,[18 14] ; [19 11],[19.09677419 12.90322581] ; [17.90322581 12.09677419],0
s8,1,0.572958,0.317758,[11 21] ; [12 17],[12.06557377 19.93442623] ; [10.93442623 18.06557377],0
r1,1,0.59256,0.286364,[21 12] ; [21  9],[22. 11.] ; [20. 10.],0
p8,1,0.599058,0.276419,[16 16] ; [13 17],[14.96774194 17.03225806] ; [14.03225806 15.96774194],0
p4,1,0.644106,0.213412,[14 19] ; [14 15],[14.90322581 18.09677419] ; [13.09677419 15.90322581],0
s4,1,0.646328,0.210561,[ 7 26] ; [ 5 25],[ 6.28571429 26.71428571] ; [ 5.71428571 24.28571429],0
p5,1,0.654244,0.200592,[ 3 28] ; [ 4 26],[ 3.55737705 27.44262295] ; [ 3.44262295 26.55737705],0
n1,1,0.666955,0.185185,[2 4] ; [4 5],[2.4 3.6] ; [3.6 5.4],0
s1,1,0.789034,0.071591,[ 4 29] ; [ 3 27],[ 3.66666667 29.33333333] ; [ 3.33333333 26.66666667],0
p3,1,0.799086,0.064786,[17 16] ; [14 15],[16.5 16.5] ; [14.5 14.5],0
b5,1,0.801054,0.063495,[21 12] ; [20 10],[21.47619048 11.52380952] ; [19.52380952 10.47619048],0
v4,1,0.836813,0.042424,[28  5] ; [26  4],[28.28571429  4.71428571] ; [25.71428571  4.28571429],0
n2,1,0.848936,0.036281,[6 1] ; [8 1],[6.125 0.875] ; [7.875 1.125],0
r3,1,0.902291,0.015072,[30  3] ; [27  3],[29.85714286  3.14285714] ; [27.14285714  2.85714286],0
p12,1,0.921515,0.009707,[ 2 31] ; [ 2 28],[ 2.0952381 30.9047619] ; [ 1.9047619 28.0952381],0
s2,1,0.9232,0.009294,[18 15] ; [16 14],[17.80952381 15.19047619] ; [16.19047619 13.80952381],0
v1,1,0.9232,0.009294,[15 18] ; [14 16],[15.19047619 17.80952381] ; [13.80952381 16.19047619],0
a8,1,0.97378,0.00108,[ 6 27] ; [ 5 23],[ 5.95081967 27.04918033] ; [ 5.04918033 22.95081967],0
n5,1,0.979119,0.000685,[23 10] ; [21  9],[23.04761905  9.95238095] ; [20.95238095  9.04761905],0
