Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000295,13.103179,[26 12] ; [ 3 15],[19.67857143 18.32142857] ; [9.32142857 8.67857143],1
v4,1,0.055327,3.672203,[36  2] ; [14  4],[33.92857143  4.07142857] ; [16.07142857  1.92857143],0
u3,1,0.078933,3.086735,[ 9 12] ; [7 2],[11.2  9.8] ; [4.8 4.2],0
a7,1,0.086204,2.943866,[26 12] ; [ 8 10],[23.07142857 14.92857143] ; [10.92857143  7.07142857],0
n4,1,0.114574,2.489976,[29  9] ; [10  8],[26.46428571 11.53571429] ; [12.53571429  5.46428571],0
b5,1,0.129432,2.299301,[25 13] ; [ 8 10],[22.39285714 15.60714286] ; [10.60714286  7.39285714],0
d2,1,0.129432,2.299301,[13 25] ; [10  8],[15.60714286 22.39285714] ; [ 7.39285714 10.60714286],0
d4,1,0.139822,2.179916,[27 11] ; [16  2],[29.17857143  8.82142857] ; [13.82142857  4.17857143],0
s3,1,0.148673,2.085813,[17 20] ; [12  6],[19.50909091 17.49090909] ; [9.49090909 8.50909091],0
a5,1,0.164009,1.936867,[20 18] ; [13  5],[22.39285714 15.60714286] ; [10.60714286  7.39285714],0
p4,1,0.183578,1.768421,[26 12] ; [9 9],[23.75 14.25] ; [11.25  6.75],0
s7,1,0.18901,1.725316,[13 22] ; [ 3 13],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
u2,1,0.189465,1.721773,[ 6 14] ; [5 4],[ 7.5862069 12.4137931] ; [3.4137931 5.5862069],0
b1,1,0.20287,1.621588,[23 15] ; [14  4],[25.10714286 12.89285714] ; [11.89285714  6.10714286],0
p2,1,0.20287,1.621588,[23 15] ; [14  4],[25.10714286 12.89285714] ; [11.89285714  6.10714286],0
p7,1,0.208287,1.583295,[25 12] ; [9 9],[22.87272727 14.12727273] ; [11.12727273  6.87272727],0
p11,1,0.241314,1.372903,[19 19] ; [ 6 12],[16.96428571 21.03571429] ; [8.03571429 9.96428571],0
r1,1,0.321593,0.982456,[27 11] ; [15  3],[28.5  9.5] ; [13.5  4.5],0
s4,1,0.349487,0.875318,[ 8 29] ; [ 6 12],[ 9.41818182 27.58181818] ; [ 4.58181818 13.41818182],0
d1,1,0.349926,0.873726,[14 24] ; [9 9],[15.60714286 22.39285714] ; [ 7.39285714 10.60714286],0
s1,1,0.390324,0.737934,[ 5 33] ; [ 1 17],[ 4.07142857 33.92857143] ; [ 1.92857143 16.07142857],0
v3,1,0.474777,0.510836,[14 24] ; [8 9],[15.2 22.8] ; [ 6.8 10.2],0
s5,1,0.487453,0.482143,[ 9 27] ; [ 3 15],[ 8. 28.] ; [ 4. 14.],0
n2,1,0.591208,0.288462,[9 1] ; [4 1],[8.66666667 1.33333333] ; [4.33333333 0.66666667],0
p6,1,0.596097,0.280922,[11 25] ; [ 4 13],[10.18867925 25.81132075] ; [ 4.81132075 12.18867925],0
b4,1,0.657568,0.196491,[23 15] ; [12  6],[23.75 14.25] ; [11.25  6.75],0
a6,1,0.67961,0.170565,[21 17] ; [11  7],[21.71428571 16.28571429] ; [10.28571429  7.71428571],0
p1,1,0.693432,0.155395,[ 3 35] ; [ 2 16],[ 3.39285714 34.60714286] ; [ 1.60714286 16.39285714],0
r3,1,0.693432,0.155395,[35  3] ; [16  2],[34.60714286  3.39285714] ; [16.39285714  1.60714286],0
s2,1,0.699526,0.148966,[16 20] ; [9 9],[16.66666667 19.33333333] ; [8.33333333 9.66666667],0
s8,1,0.701105,0.147325,[10 27] ; [ 4 14],[ 9.41818182 27.58181818] ; [ 4.58181818 13.41818182],0
a3,1,0.712258,0.136032,[17 21] ; [9 9],[17.64285714 20.35714286] ; [8.35714286 9.64285714],0
n1,1,0.714393,0.133929,[5 5] ; [2 3],[4.66666667 5.33333333] ; [2.33333333 2.66666667],0
a2,1,0.72601,0.122807,[ 5 33] ; [ 3 15],[ 5.42857143 32.57142857] ; [ 2.57142857 15.42857143],0
v2,1,0.777508,0.079844,[17 20] ; [9 9],[17.49090909 19.50909091] ; [8.50909091 9.49090909],0
b2,1,0.824899,0.048951,[ 6 16] ; [4 9],[ 6.28571429 15.71428571] ; [3.71428571 9.28571429],0
b3,1,0.824899,0.048951,[ 6 16] ; [4 9],[ 6.28571429 15.71428571] ; [3.71428571 9.28571429],0
r2,1,0.828758,0.046784,[33  5] ; [16  2],[33.25  4.75] ; [15.75  2.25],0
v1,1,0.868788,0.02729,[16 22] ; [ 8 10],[16.28571429 21.71428571] ; [ 7.71428571 10.28571429],0
r4,1,0.872809,0.025629,[31  7] ; [15  3],[31.21428571  6.78571429] ; [14.78571429  3.21428571],0
p10,1,0.903675,0.014646,[ 9 29] ; [ 4 14],[ 8.82142857 29.17857143] ; [ 4.17857143 13.82142857],0
s6,1,0.916429,0.011011,[20 17] ; [10  8],[20.18181818 16.81818182] ; [9.81818182 8.18181818],0
d5,1,0.927904,0.008187,[27 11] ; [13  5],[27.14285714 10.85714286] ; [12.85714286  5.14285714],0
a4,1,0.948373,0.004193,[13 25] ; [ 6 12],[12.89285714 25.10714286] ; [ 6.10714286 11.89285714],0
d3,1,0.9836,0.000423,[21 17] ; [10  8],[21.03571429 16.96428571] ; [9.96428571 8.03571429],0
p8,1,0.9836,0.000423,[17 21] ; [ 8 10],[16.96428571 21.03571429] ; [8.03571429 9.96428571],0
n3,1,1.0,0.0,[8 2] ; [4 1],[8. 2.] ; [4. 1.],0
