Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.01979,5.430303,[ 2 18] ; [4 4],[ 4.28571429 15.71428571] ; [1.71428571 6.28571429],0
p8,1,0.038728,4.272747,[10 29] ; [6 4],[12.73469388 26.26530612] ; [3.26530612 6.73469388],0
p7,1,0.044884,4.022989,[14 26] ; [7 3],[16.8 23.2] ; [4.2 5.8],0
n5,1,0.055482,3.667535,[23 17] ; [9 1],[25.6 14.4] ; [6.4 3.6],0
a3,1,0.087375,2.922078,[20 20] ; [2 8],[17.6 22.4] ; [4.4 5.6],0
p2,1,0.11504,2.48358,[21 19] ; [8 2],[23.2 16.8] ; [5.8 4.2],0
v4,1,0.11504,2.48358,[21 19] ; [8 2],[23.2 16.8] ; [5.8 4.2],0
p3,1,0.135938,2.223353,[10 29] ; [5 5],[11.93877551 27.06122449] ; [3.06122449 6.93877551],0
s7,1,0.141252,2.164265,[ 4 32] ; [3 7],[ 5.47826087 30.52173913] ; [1.52173913 8.47826087],0
b4,1,0.157299,2.0,[22 18] ; [3 7],[20. 20.] ; [5. 5.],0
p11,1,0.18982,1.719015,[23 17] ; [8 2],[24.8 15.2] ; [6.2 3.8],0
d1,1,0.197172,1.663202,[12 28] ; [1 9],[10.4 29.6] ; [2.6 7.4],0
s6,1,0.197258,1.662562,[15 25] ; [6 4],[16.8 23.2] ; [4.2 5.8],0
b2,1,0.281077,1.161875,[ 8 17] ; [1 7],[ 6.81818182 18.18181818] ; [2.18181818 5.81818182],0
b3,1,0.281077,1.161875,[ 8 17] ; [1 7],[ 6.81818182 18.18181818] ; [2.18181818 5.81818182],0
a5,1,0.318689,0.994318,[19 21] ; [3 7],[17.6 22.4] ; [4.4 5.6],0
n4,1,0.318689,0.994318,[21 19] ; [7 3],[22.4 17.6] ; [5.6 4.4],0
b5,1,0.320645,0.986312,[23 17] ; [4 6],[21.6 18.4] ; [5.4 4.6],0
p10,1,0.353577,0.860578,[17 22] ; [6 4],[18.30612245 20.69387755] ; [4.69387755 5.30612245],0
a6,1,0.395766,0.721154,[22 18] ; [4 6],[20.8 19.2] ; [5.2 4.8],0
n2,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
n1,1,0.431923,0.617647,[ 5 12] ; [2 2],[ 5.66666667 11.33333333] ; [1.33333333 2.66666667],0
a4,1,0.49474,0.4662,[ 8 32] ; [3 7],[ 8.8 31.2] ; [2.2 7.8],0
u2,1,0.549076,0.358974,[10 10] ; [5 3],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
s1,1,0.551515,0.35461,[ 2 38] ; [1 9],[ 2.4 37.6] ; [0.6 9.4],0
r3,1,0.578669,0.308392,[27 12] ; [6 4],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
n3,1,0.585804,0.296946,[11  6] ; [2 2],[10.52380952  6.47619048] ; [2.47619048 1.52380952],0
b1,1,0.669123,0.18263,[23 17] ; [5 5],[22.4 17.6] ; [5.6 4.4],0
d3,1,0.670379,0.181159,[19 21] ; [4 6],[18.4 21.6] ; [4.6 5.4],0
v2,1,0.692747,0.156127,[13 26] ; [4 6],[13.53061224 25.46938776] ; [3.46938776 6.53061224],0
s5,1,0.699676,0.14881,[ 6 34] ; [2 8],[ 6.4 33.6] ; [1.6 8.4],0
s8,1,0.699676,0.14881,[ 6 34] ; [2 8],[ 6.4 33.6] ; [1.6 8.4],0
p6,1,0.75057,0.101053,[ 6 32] ; [2 8],[ 6.33333333 31.66666667] ; [1.66666667 8.33333333],0
p4,1,0.7766,0.080515,[18 22] ; [5 5],[18.4 21.6] ; [4.6 5.4],0
a7,1,0.7766,0.080515,[18 22] ; [5 5],[18.4 21.6] ; [4.6 5.4],0
a1,1,0.794368,0.067935,[ 3 37] ; [1 9],[ 3.2 36.8] ; [0.8 9.2],0
s2,1,0.874862,0.024802,[11 29] ; [3 7],[11.2 28.8] ; [2.8 7.2],0
d2,1,0.879514,0.022978,[13 27] ; [3 7],[12.8 27.2] ; [3.2 6.8],0
v1,1,0.879514,0.022978,[13 27] ; [3 7],[12.8 27.2] ; [3.2 6.8],0
n6,1,0.884175,0.021222,[25 15] ; [6 4],[24.8 15.2] ; [6.2 3.8],0
d4,1,0.884175,0.021222,[25 15] ; [6 4],[24.8 15.2] ; [6.2 3.8],0
s3,1,0.962444,0.002217,[12 27] ; [3 7],[11.93877551 27.06122449] ; [3.06122449 6.93877551],0
p9,1,0.975842,0.000917,[23 15] ; [6 4],[22.95833333 15.04166667] ; [6.04166667 3.95833333],0
d5,1,1.0,0.0,[20 20] ; [5 5],[20. 20.] ; [5. 5.],0
