Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,134.272801,[ 11 107] ; [213  82],[64. 54.] ; [160. 135.],1
d5,1,0.0,74.341732,[80 38] ; [288   8],[104.88888889  13.11111111] ; [263.11111111  32.88888889],1
d3,1,0.0,72.661448,[58 60] ; [261  35],[90.92270531 27.07729469] ; [228.07729469  67.92270531],1
a5,1,0.0,40.510928,[69 49] ; [257  39],[92.9178744 25.0821256] ; [233.0821256  62.9178744],1
a2,1,0.0,31.259152,[ 10 108] ; [106 190],[33.06280193 84.93719807] ; [ 82.93719807 213.06280193],1
a4,1,0.0,27.698523,[37 81] ; [177 118],[61.14285714 56.85714286] ; [152.85714286 142.14285714],1
u1,1,1e-06,23.851076,[  8 110] ; [ 86 210],[26.79227053 91.20772947] ; [ 67.20772947 228.79227053],1
p4,1,3.1e-05,17.326148,[59 58] ; [211  82],[77.04878049 39.95121951] ; [192.95121951 100.04878049],1
a3,1,0.000678,11.549837,[79 39] ; [242  52],[91.9368932 26.0631068] ; [229.0631068  64.9368932],1
a7,1,0.000814,11.20803,[71 46] ; [228  68],[84.70460048 32.29539952] ; [214.29539952  81.70460048],1
a6,1,0.001154,10.562427,[67 51] ; [216  79],[80.85714286 37.14285714] ; [202.14285714  92.85714286],0
n5,1,0.001958,9.588134,[82 35] ; [246  48],[93.37226277 23.62773723] ; [234.62773723  59.37226277],0
n4,1,0.002157,9.410489,[83 35] ; [247  48],[94.28571429 23.71428571] ; [235.71428571  59.28571429],0
v3,1,0.005272,7.783637,[47 70] ; [156 125],[59.6758794 57.3241206] ; [143.3241206 137.6758794],0
v4,1,0.005691,7.645609,[108   9] ; [289   6],[112.74029126   4.25970874] ; [284.25970874  10.74029126],0
r1,1,0.006875,7.305451,[90 28] ; [256  38],[99.09708738 18.90291262] ; [246.90291262  47.09708738],0
p8,1,0.008474,6.930365,[56 59] ; [182 107],[67.74752475 47.25247525] ; [170.25247525 118.74752475],0
p3,1,0.012067,6.301043,[55 62] ; [177 115],[66.36674817 50.63325183] ; [165.63325183 126.36674817],0
v2,1,0.026273,4.937974,[71 43] ; [211  76],[80.16957606 33.83042394] ; [201.83042394  85.16957606],0
r2,1,0.027116,4.883418,[106  10] ; [284  10],[110.34146341   5.65853659] ; [279.65853659  14.34146341],0
n6,1,0.030384,4.687458,[92 24] ; [257  36],[98.98288509 17.01711491] ; [250.01711491  42.98288509],0
r4,1,0.037393,4.332429,[102  16] ; [275  21],[107.45410628  10.54589372] ; [269.54589372  26.45410628],0
p10,1,0.061141,3.506171,[91 24] ; [252  39],[97.15517241 17.84482759] ; [245.84482759  45.15517241],0
p6,1,0.068185,3.326174,[41 71] ; [134 153],[49.12280702 62.87719298] ; [125.87719298 161.12280702],0
p1,1,0.078498,3.095734,[  5 112] ; [ 28 267],[  9.37135922 107.62864078] ; [ 23.62864078 271.37135922],0
u4,1,0.091251,2.852167,[  1 117] ; [ 12 284],[  3.70531401 114.29468599] ; [  9.29468599 286.70531401],0
s8,1,0.114531,2.490563,[53 64] ; [158 135],[60.21219512 56.78780488] ; [150.78780488 142.21219512],0
a8,1,0.131956,2.269347,[22 92] ; [ 34 223],[17.20754717 96.79245283] ; [ 38.79245283 218.20754717],0
p11,1,0.151772,2.054351,[90 28] ; [244  52],[95.19806763 22.80193237] ; [238.80193237  57.19806763],0
r3,1,0.162647,1.949442,[110   7] ; [287   9],[112.46731235   4.53268765] ; [284.53268765  11.46731235],0
a1,1,0.188928,1.725961,[ 10 108] ; [ 15 281],[  7.12560386 110.87439614] ; [ 17.87439614 278.12560386],0
p9,1,0.220075,1.503882,[99 17] ; [260  30],[102.57142857  13.42857143] ; [256.42857143  33.57142857],0
s5,1,0.24803,1.334367,[42 70] ; [125 160],[47.11335013 64.88664987] ; [119.88664987 165.11335013],0
s2,1,0.274746,1.192898,[62 55] ; [172 120],[66.93887531 50.06112469] ; [167.06112469 124.93887531],0
p5,1,0.343184,0.8985,[ 14 102] ; [ 46 246],[17.05882353 98.94117647] ; [ 42.94117647 249.05882353],0
p12,1,0.441311,0.592871,[ 10 105] ; [ 33 259],[ 12.14987715 102.85012285] ; [ 30.85012285 261.14987715],0
p7,1,0.496112,0.463244,[77 38] ; [200  84],[79.83709273 35.16290727] ; [197.16290727  86.83709273],0
s3,1,0.551353,0.3549,[64 53] ; [168 122],[66.69287469 50.30712531] ; [165.30712531 124.69287469],0
s1,1,0.554356,0.349572,[  4 112] ; [  7 285],[  3.12745098 112.87254902] ; [  7.87254902 284.12745098],0
