Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.515888,[206  84] ; [35 48],[187.37265416 102.62734584] ; [53.62734584 29.37265416],1
n4,1,4.3e-05,16.745417,[210  81] ; [40 43],[194.51871658  96.48128342] ; [55.48128342 27.51871658],1
p11,1,0.000156,14.301079,[220  71] ; [45 38],[206.18983957  84.81016043] ; [58.81016043 24.18983957],1
r4,1,0.000447,12.324942,[261  30] ; [62 21],[251.31818182  39.68181818] ; [71.68181818 11.31818182],1
p10,1,0.000657,11.608506,[218  70] ; [45 35],[205.82608696  82.17391304] ; [57.17391304 22.82608696],1
r3,1,0.002053,9.501731,[274  16] ; [69 13],[267.39247312  22.60752688] ; [75.60752688  6.39247312],0
p9,1,0.003613,8.468959,[227  55] ; [52 28],[217.34254144  64.65745856] ; [61.65745856 18.34254144],0
r2,1,0.010895,6.482375,[279  11] ; [73  9],[274.40860215  15.59139785] ; [77.59139785  4.40860215],0
u2,1,0.022493,5.207272,[47 51] ; [19  7],[52.16129032 45.83870968] ; [13.83870968 12.16129032],0
s6,1,0.055563,3.665108,[170 116] ; [39 43],[162.42934783 123.57065217] ; [46.57065217 35.42934783],0
v3,1,0.057817,3.59892,[104 180] ; [19 57],[ 97.03333333 186.96666667] ; [25.96666667 50.03333333],0
b1,1,0.06551,3.392075,[101 190] ; [38 45],[108.15240642 182.84759358] ; [30.84759358 52.15240642],0
u1,1,0.065733,3.386486,[ 39 252] ; [ 5 78],[ 34.23529412 256.76470588] ; [ 9.76470588 73.23529412],0
p2,1,0.06626,3.373332,[215  75] ; [53 30],[208.36461126  81.63538874] ; [59.63538874 23.36461126],0
b3,1,0.067944,3.332008,[ 61 102] ; [ 8 29],[ 56.235 106.765] ; [12.765 24.235],0
b2,1,0.067944,3.332008,[ 61 102] ; [ 8 29],[ 56.235 106.765] ; [12.765 24.235],0
p7,1,0.080846,3.047809,[141 140] ; [30 47],[134.22067039 146.77932961] ; [36.77932961 40.22067039],0
a2,1,0.088305,2.905008,[ 59 232] ; [10 73],[ 53.68716578 237.31283422] ; [15.31283422 67.68716578],0
s5,1,0.088434,2.902659,[ 78 203] ; [14 63],[ 72.2122905 208.7877095] ; [19.7877095 57.2122905],0
a5,1,0.091893,2.840896,[194  97] ; [47 36],[187.51604278 103.48395722] ; [53.48395722 29.51604278],0
u3,1,0.093587,2.81157,[48 51] ; [18  9],[51.85714286 47.14285714] ; [14.14285714 12.85714286],0
v2,1,0.100114,2.703734,[147 128] ; [33 44],[140.625 134.375] ; [39.375 37.625],0
p8,1,0.147638,2.09649,[102 183] ; [22 59],[ 96.55737705 188.44262295] ; [27.44262295 53.55737705],0
d1,1,0.153865,2.03351,[145 146] ; [34 49],[139.27540107 151.72459893] ; [39.72459893 43.27540107],0
s8,1,0.161097,1.963895,[104 185] ; [23 60],[ 98.66397849 190.33602151] ; [28.33602151 54.66397849],0
a4,1,0.21714,1.52317,[116 174] ; [27 56],[111.17962466 178.82037534] ; [31.82037534 51.17962466],0
s3,1,0.262005,1.258134,[139 148] ; [46 37],[143.5 143.5] ; [41.5 41.5],0
p12,1,0.309718,1.031876,[ 15 274] ; [ 2 78],[ 13.31436314 275.68563686] ; [ 3.68563686 76.31436314],0
n2,1,0.357436,0.846881,[67 20] ; [22 10],[65.06722689 21.93277311] ; [23.93277311  8.06722689],0
s7,1,0.358616,0.842736,[108 175] ; [25 52],[104.55277778 178.44722222] ; [28.44722222 48.55277778],0
d2,1,0.390076,0.738705,[121 168] ; [30 52],[117.62533693 171.37466307] ; [33.37466307 48.62533693],0
s1,1,0.437742,0.602195,[  9 278] ; [ 4 77],[ 10.13858696 276.86141304] ; [ 2.86141304 78.13858696],0
d5,1,0.455736,0.556345,[217  73] ; [58 24],[214.38172043  75.61827957] ; [60.61827957 21.38172043],0
n1,1,0.480265,0.498263,[31 55] ; [ 9 22],[29.4017094 56.5982906] ; [10.5982906 20.4017094],0
p5,1,0.485903,0.485587,[ 12 278] ; [ 2 79],[ 10.94339623 279.05660377] ; [ 3.05660377 77.94339623],0
p6,1,0.520076,0.413743,[ 53 233] ; [12 66],[ 51.07142857 234.92857143] ; [13.92857143 64.07142857],0
p3,1,0.544446,0.367362,[ 65 225] ; [21 61],[ 67.04301075 222.95698925] ; [18.95698925 63.04301075],0
s2,1,0.631527,0.229995,[123 165] ; [33 50],[121.09973046 166.90026954] ; [34.90026954 48.09973046],0
r1,1,0.670692,0.180793,[219  70] ; [61 22],[217.52688172  71.47311828] ; [62.47311828 20.52688172],0
a7,1,0.678787,0.171495,[195  94] ; [58 25],[196.55107527  92.44892473] ; [56.44892473 26.55107527],0
d3,1,0.710498,0.13778,[176 114] ; [51 30],[177.4393531 112.5606469] ; [49.5606469 31.4393531],0
a8,1,0.723797,0.124883,[ 34 233] ; [ 9 71],[ 33.08645533 233.91354467] ; [ 9.91354467 70.08645533],0
p1,1,0.742953,0.107548,[ 15 275] ; [ 5 77],[ 15.59139785 274.40860215] ; [ 4.40860215 77.59139785],0
b5,1,0.803591,0.061853,[185 106] ; [54 29],[185.95989305 105.04010695] ; [53.04010695 29.95989305],0
a1,1,0.83478,0.043504,[ 12 279] ; [ 3 80],[ 11.67112299 279.32887701] ; [ 3.32887701 79.67112299],0
b4,1,0.85739,0.032291,[168 123] ; [47 36],[167.28609626 123.71390374] ; [47.71390374 35.28609626],0
a6,1,0.882067,0.022008,[190 100] ; [53 29],[189.43548387 100.56451613] ; [53.56451613 28.43548387],0
a3,1,0.891067,0.018756,[192  96] ; [56 27],[192.51752022  95.48247978] ; [55.48247978 27.51752022],0
d4,1,0.937449,0.006159,[224  66] ; [63 19],[223.73655914  66.26344086] ; [63.26344086 18.73655914],0
v1,1,0.96647,0.001767,[125 159] ; [35 45],[124.83516484 159.16483516] ; [35.16483516 44.83516484],0
s4,1,0.975029,0.00098,[ 49 239] ; [14 69],[ 48.90566038 239.09433962] ; [14.09433962 68.90566038],0
n3,1,0.99054,0.000141,[61 26] ; [21  9],[60.97435897 26.02564103] ; [21.02564103  8.97435897],0
