Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.015113,5.903263,[13 18] ; [12  3],[16.84782609 14.15217391] ; [8.15217391 6.84782609],0
v4,1,0.020946,5.331301,[16 15] ; [13  2],[19.54347826 11.45652174] ; [9.45652174 5.54347826],0
n5,1,0.027028,4.889015,[26  5] ; [8 7],[22.91304348  8.08695652] ; [11.08695652  3.91304348],0
s3,1,0.03193,4.602273,[11 19] ; [ 1 14],[ 8. 22.] ; [ 4. 11.],0
s6,1,0.04567,3.993711,[18 13] ; [ 4 11],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
v2,1,0.064412,3.419969,[15 16] ; [ 3 12],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
s8,1,0.079523,3.074616,[12 19] ; [ 2 13],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
s7,1,0.166478,1.914376,[10 19] ; [ 2 12],[ 8.09302326 20.90697674] ; [ 3.90697674 10.09302326],0
v3,1,0.170604,1.87763,[10 21] ; [ 2 13],[ 8.08695652 22.91304348] ; [ 3.91304348 11.08695652],0
a4,1,0.241937,1.369272,[ 9 22] ; [ 2 13],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],0
p4,1,0.249082,1.328445,[20 11] ; [7 8],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
s2,1,0.25493,1.296083,[11 19] ; [ 3 12],[ 9.33333333 20.66666667] ; [ 4.66666667 10.33333333],0
s4,1,0.26139,1.261381,[ 6 25] ; [ 1 14],[ 4.7173913 26.2826087] ; [ 2.2826087 12.7173913],0
u3,1,0.265572,1.239477,[ 6 10] ; [1 6],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
v1,1,0.284661,1.1447,[11 20] ; [ 3 12],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
a8,1,0.292915,1.106173,[ 5 22] ; [ 1 14],[ 3.85714286 23.14285714] ; [ 2.14285714 12.85714286],0
n1,1,0.312132,1.021635,[3 6] ; [1 7],[2.11764706 6.88235294] ; [1.88235294 6.11764706],0
p3,1,0.314539,1.01152,[13 18] ; [ 4 11],[11.45652174 19.54347826] ; [5.54347826 9.45652174],0
r3,1,0.326541,0.962567,[24  6] ; [10  5],[22.66666667  7.33333333] ; [11.33333333  3.66666667],0
a6,1,0.34539,0.890323,[14 17] ; [9 6],[15.5 15.5] ; [7.5 7.5],0
p10,1,0.384488,0.756303,[20 10] ; [8 7],[18.66666667 11.33333333] ; [9.33333333 5.66666667],0
n2,1,0.402388,0.701178,[5 4] ; [6 2],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
d2,1,0.421436,0.646308,[12 19] ; [ 4 11],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
p11,1,0.436239,0.606156,[24  7] ; [10  5],[22.91304348  8.08695652] ; [11.08695652  3.91304348],0
s5,1,0.45861,0.549285,[ 7 24] ; [ 2 13],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
p8,1,0.466296,0.530739,[11 20] ; [7 8],[12.13043478 18.86956522] ; [5.86956522 9.13043478],0
d5,1,0.466296,0.530739,[20 11] ; [8 7],[18.86956522 12.13043478] ; [9.13043478 5.86956522],0
n3,1,0.485845,0.485714,[6 3] ; [4 4],[5.29411765 3.70588235] ; [4.70588235 3.29411765],0
p1,1,0.524092,0.405833,[ 4 27] ; [ 1 14],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
p9,1,0.540089,0.375375,[22  8] ; [9 5],[21.13636364  8.86363636] ; [9.86363636 4.13636364],0
d4,1,0.549832,0.357618,[20 11] ; [11  4],[20.89130435 10.10869565] ; [10.10869565  4.89130435],0
u2,1,0.55409,0.350041,[7 9] ; [4 3],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
p6,1,0.581352,0.304054,[ 6 24] ; [ 2 13],[ 5.33333333 24.66666667] ; [ 2.66666667 12.33333333],0
a2,1,0.591646,0.287781,[ 1 30] ; [ 1 14],[ 1.34782609 29.65217391] ; [ 0.65217391 14.34782609],0
a1,1,0.591646,0.287781,[ 1 30] ; [ 1 14],[ 1.34782609 29.65217391] ; [ 0.65217391 14.34782609],0
b3,1,0.592516,0.286432,[ 7 15] ; [3 4],[ 7.5862069 14.4137931] ; [2.4137931 4.5862069],0
b2,1,0.592516,0.286432,[ 7 15] ; [3 4],[ 7.5862069 14.4137931] ; [2.4137931 4.5862069],0
a7,1,0.602967,0.270544,[14 17] ; [8 7],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
b5,1,0.607391,0.263992,[19 12] ; [8 7],[18.19565217 12.80434783] ; [8.80434783 6.19565217],0
p12,1,0.708819,0.13946,[ 3 28] ; [ 2 13],[ 3.36956522 27.63043478] ; [ 1.63043478 13.36956522],0
a3,1,0.753124,0.098925,[15 16] ; [8 7],[15.5 15.5] ; [7.5 7.5],0
a5,1,0.753124,0.098925,[15 16] ; [8 7],[15.5 15.5] ; [7.5 7.5],0
b4,1,0.766105,0.08849,[20 11] ; [9 6],[19.54347826 11.45652174] ; [9.45652174 5.54347826],0
r4,1,0.766317,0.088326,[ 9 22] ; [ 5 10],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
p5,1,0.842324,0.03957,[ 7 24] ; [ 3 12],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],0
p2,1,0.86734,0.027902,[22  9] ; [11  4],[22.23913043  8.76086957] ; [10.76086957  4.23913043],0
p7,1,0.90054,0.01562,[13 18] ; [6 9],[12.80434783 18.19565217] ; [6.19565217 8.80434783],0
b1,1,0.92345,0.009233,[14 17] ; [7 8],[14.15217391 16.84782609] ; [6.84782609 8.15217391],0
d1,1,0.941863,0.005319,[10 21] ; [ 5 10],[10.10869565 20.89130435] ; [ 4.89130435 10.10869565],0
r1,1,0.941863,0.005319,[10 21] ; [ 5 10],[10.10869565 20.89130435] ; [ 4.89130435 10.10869565],0
u1,1,0.977908,0.000767,[ 2 29] ; [ 1 14],[ 2.02173913 28.97826087] ; [ 0.97826087 14.02173913],0
