Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,7e-06,20.099297,[101  63] ; [ 7 28],[89.00502513 74.99497487] ; [18.99497487 16.00502513],1
n4,1,0.000123,14.744262,[141  24] ; [20 15],[132.825  32.175] ; [28.175  6.825],1
p7,1,0.000162,14.228916,[118  46] ; [12 20],[108.7755102  55.2244898] ; [21.2244898 10.7755102],1
p3,1,0.003475,8.539866,[92 73] ; [10 25],[84.15 80.85] ; [17.85 17.15],0
p4,1,0.006916,7.294737,[102  63] ; [12 21],[95. 70.] ; [19. 14.],0
n6,1,0.013969,6.042114,[144  20] ; [25 10],[139.27638191  24.72361809] ; [29.72361809  5.27638191],0
d5,1,0.015568,5.851043,[130  34] ; [21 14],[124.44221106  39.55778894] ; [26.55778894  8.44221106],0
d4,1,0.023604,5.123526,[132  32] ; [22 13],[126.91457286  37.08542714] ; [27.08542714  7.91457286],0
p6,1,0.033629,4.513491,[65 98] ; [ 7 27],[ 59.57360406 103.42639594] ; [12.42639594 21.57360406],0
n5,1,0.03598,4.398043,[141  24] ; [24 10],[136.80904523  28.19095477] ; [28.19095477  5.80904523],0
v3,1,0.050565,3.822634,[71 92] ; [ 8 24],[66.03589744 96.96410256] ; [12.96410256 19.03589744],0
s1,1,0.058344,3.583844,[  4 161] ; [ 3 30],[  5.83333333 159.16666667] ; [ 1.16666667 31.83333333],0
d1,1,0.063954,3.431747,[85 80] ; [12 23],[80.025 84.975] ; [16.975 18.025],0
p5,1,0.069055,3.305341,[ 24 141] ; [ 1 32],[ 20.83333333 144.16666667] ; [ 4.16666667 28.83333333],0
r1,1,0.097999,2.737803,[126  39] ; [22 13],[122.1  42.9] ; [25.9  9.1],0
d3,1,0.09903,2.721088,[77 88] ; [11 24],[72.6 92.4] ; [15.4 19.6],0
u3,1,0.099713,2.710125,[14 25] ; [7 4],[16.38 22.62] ; [4.62 6.38],0
n2,1,0.104371,2.637456,[28 12] ; [12  1],[30.18867925  9.81132075] ; [9.81132075 3.18867925],0
s6,1,0.126693,2.332568,[112  47] ; [20 15],[108.18556701  50.81443299] ; [23.81443299 11.18556701],0
a5,1,0.155218,2.020202,[119  46] ; [21 14],[115.5  49.5] ; [24.5 10.5],0
s7,1,0.167845,1.902087,[93 66] ; [16 19],[89.33505155 69.66494845] ; [19.66494845 15.33505155],0
s4,1,0.199165,1.64849,[ 31 133] ; [10 25],[ 33.78894472 130.21105528] ; [ 7.21105528 27.78894472],0
r4,1,0.223114,1.48423,[141  24] ; [27  8],[138.6  26.4] ; [29.4  5.6],0
p1,1,0.228973,1.44723,[ 13 152] ; [ 5 30],[ 14.85 150.15] ; [ 3.15 31.85],0
p9,1,0.236312,1.40246,[155  10] ; [30  4],[153.3919598  11.6080402] ; [31.6080402  2.3919598],0
s5,1,0.241154,1.373838,[67 91] ; [10 22],[64.03157895 93.96842105] ; [12.96842105 19.03157895],0
n1,1,0.262073,1.257771,[16 24] ; [7 5],[17.69230769 22.30769231] ; [5.30769231 6.69230769],0
p12,1,0.262907,1.253384,[ 10 154] ; [ 4 31],[ 11.53768844 152.46231156] ; [ 2.46231156 32.53768844],0
v1,1,0.269523,1.219175,[93 69] ; [16 18],[90.09183673 71.90816327] ; [18.90816327 15.09183673],0
r2,1,0.277275,1.180397,[148  14] ; [29  5],[146.29591837  15.70408163] ; [30.70408163  3.29591837],0
n3,1,0.28832,1.127447,[27 13] ; [10  2],[28.46153846 11.53846154] ; [8.53846154 3.46153846],0
a3,1,0.33355,0.935065,[126  39] ; [24 11],[123.75  41.25] ; [26.25  8.75],0
u1,1,0.335814,0.926346,[ 12 153] ; [ 1 34],[ 10.725 154.275] ; [ 2.275 32.725],0
v4,1,0.423169,0.641496,[151  12] ; [31  4],[149.82828283  13.17171717] ; [32.17171717  2.82828283],0
s3,1,0.462822,0.539061,[98 66] ; [18 16],[96.08080808 67.91919192] ; [19.91919192 14.08080808],0
p11,1,0.477289,0.505051,[140  25] ; [28  7],[138.6  26.4] ; [29.4  5.6],0
r3,1,0.493988,0.467827,[152  13] ; [31  4],[150.975  14.025] ; [32.025  2.975],0
a4,1,0.555335,0.347845,[75 90] ; [14 21],[73.425 91.575] ; [15.575 19.425],0
a6,1,0.577463,0.310355,[67 98] ; [16 19],[68.475 96.525] ; [14.525 20.475],0
a2,1,0.583164,0.301148,[ 14 151] ; [ 2 33],[ 13.2 151.8] ; [ 2.8 32.2],0
b5,1,0.593608,0.284744,[72 93] ; [17 18],[73.425 91.575] ; [15.575 19.425],0
v2,1,0.628791,0.233704,[83 78] ; [15 17],[81.75129534 79.24870466] ; [16.24870466 15.75129534],0
b4,1,0.634278,0.226304,[87 78] ; [20 15],[88.275 76.725] ; [18.725 16.275],0
a8,1,0.72927,0.119783,[ 17 140] ; [ 3 31],[ 16.43979058 140.56020942] ; [ 3.56020942 30.43979058],0
