Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000105,15.050167,[17  7] ; [35 85],[ 8.66666667 15.33333333] ; [43.33333333 76.66666667],1
p7,1,0.000736,11.397174,[16  9] ; [36 89],[ 8.66666667 16.33333333] ; [43.33333333 81.66666667],1
s2,1,0.001065,10.710592,[18  8] ; [44 83],[10.53594771 15.46405229] ; [51.46405229 75.53594771],0
p2,1,0.001807,9.736258,[21  5] ; [60 67],[13.76470588 12.23529412] ; [67.23529412 59.76470588],0
s8,1,0.002875,8.885459,[13 12] ; [29 98],[ 6.90789474 18.09210526] ; [35.09210526 91.90789474],0
u1,1,0.008941,6.834639,[ 8 18] ; [ 14 113],[ 3.73856209 22.26143791] ; [ 18.26143791 108.73856209],0
p10,1,0.00954,6.718789,[19  7] ; [55 67],[13. 13.] ; [61. 61.],0
p9,1,0.015235,5.889097,[20  6] ; [61 59],[14.42465753 11.57534247] ; [66.57534247 53.42465753],0
v1,1,0.02573,4.974062,[14 12] ; [39 87],[ 9.06578947 16.93421053] ; [43.93421053 82.06578947],0
p4,1,0.028154,4.818594,[12 14] ; [31 94],[ 7.40397351 18.59602649] ; [35.59602649 89.40397351],0
b5,1,0.054929,3.684255,[20  6] ; [72 55],[15.63398693 10.36601307] ; [76.36601307 50.63398693],0
r4,1,0.069908,3.285182,[21  5] ; [79 48],[16.99346405  9.00653595] ; [83.00653595 43.99346405],0
v2,1,0.073184,3.210128,[14 12] ; [42 78],[ 9.97260274 16.02739726] ; [46.02739726 73.97260274],0
s5,1,0.075441,3.160478,[ 9 14] ; [27 97],[ 5.63265306 17.36734694] ; [30.36734694 93.63265306],0
n4,1,0.07953,3.07448,[19  7] ; [68 57],[14.98013245 11.01986755] ; [72.01986755 52.98013245],0
n6,1,0.089855,2.876973,[20  6] ; [74 51],[16.18543046  9.81456954] ; [77.81456954 47.18543046],0
r3,1,0.094741,2.791908,[23  3] ; [92 34],[19.67105263  6.32894737] ; [95.32894737 30.67105263],0
v4,1,0.117659,2.448215,[24  2] ; [99 26],[21.17880795  4.82119205] ; [101.82119205  23.17880795],0
p8,1,0.123156,2.376713,[ 9 17] ; [ 26 100],[ 5.98684211 20.01315789] ; [29.01315789 96.98684211],0
r2,1,0.126943,2.329496,[24  1] ; [104  19],[21.62162162  3.37837838] ; [106.37837838  16.62162162],0
u2,1,0.134487,2.23993,[8 5] ; [18 29],[5.63333333 7.36666667] ; [20.36666667 26.63333333],0
n5,1,0.150431,2.067874,[19  7] ; [73 53],[15.73684211 10.26315789] ; [76.26315789 49.73684211],0
n3,1,0.153447,2.037647,[7 2] ; [32 29],[5.01428571 3.98571429] ; [33.98571429 27.01428571],0
s1,1,0.175837,1.83246,[ 4 22] ; [  9 116],[ 2.2384106 23.7615894] ; [ 10.7615894 114.2384106],0
a3,1,0.19184,1.703433,[13 13] ; [79 45],[15.94666667 10.05333333] ; [76.05333333 47.94666667],0
s3,1,0.20272,1.622671,[15 11] ; [55 70],[12.05298013 13.94701987] ; [57.94701987 67.05298013],0
u4,1,0.210916,1.565129,[ 1 25] ; [  1 126],[ 0.33986928 25.66013072] ; [  1.66013072 125.33986928],0
s6,1,0.214256,1.54243,[15 10] ; [58 67],[12.16666667 12.83333333] ; [60.83333333 64.16666667],0
r1,1,0.251493,1.314989,[20  6] ; [81 43],[17.50666667  8.49333333] ; [83.49333333 40.50666667],0
p5,1,0.281432,1.160163,[ 2 24] ; [  4 122],[ 1.02631579 24.97368421] ; [  4.97368421 121.02631579],0
b2,1,0.282506,1.154993,[6 6] ; [23 45],[4.35 7.65] ; [24.65 43.35],0
b3,1,0.282506,1.154993,[6 6] ; [23 45],[4.35 7.65] ; [24.65 43.35],0
d2,1,0.320844,0.985505,[14 12] ; [54 71],[11.70860927 14.29139073] ; [56.29139073 68.70860927],0
d3,1,0.385186,0.754085,[16  8] ; [72 54],[14.08  9.92] ; [73.92 52.08],0
a1,1,0.405376,0.692322,[ 1 25] ; [ 11 116],[ 2.03921569 23.96078431] ; [  9.96078431 117.03921569],0
a6,1,0.437341,0.603249,[17  9] ; [72 54],[15.22368421 10.77631579] ; [73.77631579 52.22368421],0
a2,1,0.466246,0.530858,[ 7 19] ; [ 26 101],[ 5.60784314 20.39215686] ; [27.39215686 99.60784314],0
a4,1,0.561682,0.3368,[12 14] ; [50 75],[10.67549669 15.32450331] ; [51.32450331 73.67549669],0
n1,1,0.602073,0.271881,[4 5] ; [22 40],[3.29577465 5.70422535] ; [22.70422535 39.29577465],0
a8,1,0.614009,0.254378,[ 3 20] ; [ 11 104],[ 2.33333333 20.66666667] ; [ 11.66666667 103.33333333],0
u3,1,0.648978,0.207191,[6 7] ; [18 28],[5.28813559 7.71186441] ; [18.71186441 27.28813559],0
p1,1,0.666822,0.185342,[ 2 24] ; [  7 120],[ 1.52941176 24.47058824] ; [  7.47058824 119.52941176],0
n2,1,0.675526,0.175206,[6 3] ; [38 26],[5.42465753 3.57534247] ; [38.57534247 25.42465753],0
b4,1,0.693623,0.155191,[14 12] ; [63 64],[13.08496732 12.91503268] ; [63.91503268 63.08496732],0
d1,1,0.733191,0.116202,[12 14] ; [54 73],[11.21568627 14.78431373] ; [54.78431373 72.21568627],0
b1,1,0.748334,0.102936,[12 14] ; [63 64],[12.74509804 13.25490196] ; [62.25490196 64.74509804],0
v3,1,0.784526,0.074762,[ 8 18] ; [34 87],[ 7.42857143 18.57142857] ; [34.57142857 86.42857143],0
d5,1,0.792459,0.069232,[17  8] ; [89 37],[17.54966887  7.45033113] ; [88.45033113 37.54966887],0
a5,1,0.814214,0.055222,[16 10] ; [75 52],[15.46405229 10.53594771] ; [75.53594771 51.46405229],0
a7,1,0.897041,0.016745,[17  8] ; [84 42],[16.7218543  8.2781457] ; [84.2781457 41.7218543],0
d4,1,0.905595,0.014065,[18  8] ; [88 37],[18.25165563  7.74834437] ; [87.74834437 37.25165563],0
s4,1,0.968503,0.001559,[ 5 21] ; [ 24 103],[ 4.92810458 21.07189542] ; [ 24.07189542 102.92810458],0
