Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002691,9.005812,[ 4 58] ; [15 41],[ 9.98305085 52.01694915] ; [ 9.01694915 46.98305085],0
a2,1,0.00463,8.018622,[ 6 56] ; [17 39],[12.08474576 49.91525424] ; [10.91525424 45.08474576],0
p7,1,0.006141,7.50833,[52  8] ; [35 19],[45.78947368 14.21052632] ; [41.21052632 12.78947368],0
a6,1,0.015849,5.819551,[32 30] ; [41 15],[38.3559322 23.6440678] ; [34.6440678 21.3559322],0
b1,1,0.030863,4.660551,[26 36] ; [13 43],[20.49152542 41.50847458] ; [18.50847458 37.49152542],0
p11,1,0.038157,4.298001,[53  9] ; [39 17],[48.33898305 13.66101695] ; [43.66101695 12.33898305],0
a4,1,0.058442,3.581043,[23 39] ; [30 25],[28.08547009 33.91452991] ; [24.91452991 30.08547009],0
a8,1,0.0697,3.290064,[12 47] ; [ 4 46],[ 8.66055046 50.33944954] ; [ 7.33944954 42.66055046],0
s7,1,0.0859,2.949578,[27 34] ; [32 21],[31.57017544 29.42982456] ; [27.42982456 25.57017544],0
v3,1,0.091959,2.839734,[24 37] ; [13 40],[19.79824561 41.20175439] ; [17.20175439 35.79824561],0
p12,1,0.121063,2.40351,[ 5 57] ; [ 1 55],[ 3.15254237 58.84745763] ; [ 2.84745763 53.15254237],0
n4,1,0.154188,2.030323,[44 18] ; [46 10],[47.28813559 14.71186441] ; [42.71186441 13.28813559],0
p1,1,0.159168,1.982113,[ 8 54] ; [ 3 53],[ 5.77966102 56.22033898] ; [ 5.22033898 50.77966102],0
p4,1,0.164097,1.936061,[41 21] ; [30 26],[37.30508475 24.69491525] ; [33.69491525 22.30508475],0
n2,1,0.202152,1.626759,[13  3] ; [13  8],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
r4,1,0.281123,1.161655,[57  5] ; [48  8],[55.16949153  6.83050847] ; [49.83050847  6.16949153],0
u2,1,0.282813,1.153522,[13 11] ; [14  6],[14.72727273  9.27272727] ; [12.27272727  7.72727273],0
v2,1,0.334119,0.932867,[29 32] ; [30 23],[31.57017544 29.42982456] ; [27.42982456 25.57017544],0
n1,1,0.364346,0.822857,[8 8] ; [ 7 13],[6.66666667 9.33333333] ; [ 8.33333333 11.66666667],0
r3,1,0.377294,0.779499,[56  6] ; [53  3],[57.27118644  4.72881356] ; [51.72881356  4.27118644],0
p5,1,0.377294,0.779499,[ 6 56] ; [ 3 53],[ 4.72881356 57.27118644] ; [ 4.27118644 51.72881356],0
n3,1,0.378556,0.775385,[12  3] ; [14  7],[10.83333333  4.16666667] ; [15.16666667  5.83333333],0
s6,1,0.437672,0.602378,[44 17] ; [36 19],[42.06896552 18.93103448] ; [37.93103448 17.06896552],0
n5,1,0.460029,0.545825,[50 12] ; [42 14],[48.33898305 13.66101695] ; [43.66101695 12.33898305],0
a5,1,0.473229,0.514427,[37 25] ; [37 19],[38.88135593 23.11864407] ; [35.11864407 20.88135593],0
d1,1,0.493521,0.468842,[36 26] ; [29 27],[34.15254237 27.84745763] ; [30.84745763 25.15254237],0
u3,1,0.507122,0.44,[12 12] ; [12  8],[13.09090909 10.90909091] ; [10.90909091  9.09090909],0
a1,1,0.566015,0.329395,[ 2 60] ; [ 3 53],[ 2.62711864 59.37288136] ; [ 2.37288136 53.62711864],0
p2,1,0.575085,0.314248,[52 10] ; [49  7],[53.06779661  8.93220339] ; [47.93220339  8.06779661],0
a7,1,0.578926,0.307975,[41 21] ; [39 16],[42.39316239 19.60683761] ; [37.60683761 17.39316239],0
