Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,45.796154,[83  8] ; [22 34],[65. 26.] ; [40. 16.],1
s5,1,0.000501,12.111982,[39 47] ; [ 9 45],[29.48571429 56.51428571] ; [18.51428571 35.48571429],1
s2,1,0.000584,11.825505,[59 32] ; [20 36],[48.9047619 42.0952381] ; [30.0952381 25.9047619],1
s8,1,0.001026,10.780911,[46 45] ; [13 43],[36.52380952 54.47619048] ; [22.47619048 33.52380952],0
s6,1,0.001251,10.413671,[67 21] ; [28 28],[58.05555556 29.94444444] ; [36.94444444 19.05555556],0
p6,1,0.006794,7.326509,[40 51] ; [12 43],[32.4109589 58.5890411] ; [19.5890411 35.4109589],0
r1,1,0.020843,5.339898,[74 17] ; [36 20],[68.0952381 22.9047619] ; [41.9047619 14.0952381],0
b5,1,0.025448,4.993113,[54 37] ; [44 13],[60.25675676 30.74324324] ; [37.74324324 19.25675676],0
s7,1,0.032268,4.584186,[48 37] ; [20 33],[41.88405797 43.11594203] ; [26.11594203 26.88405797],0
n6,1,0.038919,4.264393,[71 18] ; [36 20],[65.67586207 23.32413793] ; [41.32413793 14.67586207],0
n5,1,0.044718,4.02925,[63 27] ; [30 26],[57.32876712 32.67123288] ; [35.67123288 20.32876712],0
p7,1,0.076759,3.132217,[56 34] ; [27 30],[50.81632653 39.18367347] ; [32.18367347 24.81632653],0
r4,1,0.076805,3.13124,[79 12] ; [43 14],[75.01351351 15.98648649] ; [46.98648649 10.01351351],0
d5,1,0.07839,3.097961,[73 17] ; [39 18],[68.57142857 21.42857143] ; [43.42857143 13.57142857],0
n2,1,0.116526,2.463401,[23  6] ; [13  9],[20.47058824  8.52941176] ; [15.52941176  6.47058824],0
r2,1,0.131952,2.269391,[86  5] ; [49  7],[83.57142857  7.42857143] ; [51.42857143  4.57142857],0
v1,1,0.132421,2.263894,[49 42] ; [23 33],[44.57142857 46.42857143] ; [27.42857143 28.57142857],0
v3,1,0.145221,2.12175,[33 58] ; [13 40],[29.06944444 61.93055556] ; [16.93055556 36.06944444],0
a3,1,0.17028,1.880477,[60 30] ; [31 25],[56.09589041 33.90410959] ; [34.90410959 21.09589041],0
p8,1,0.195415,1.676316,[39 52] ; [18 38],[35.28571429 55.71428571] ; [21.71428571 34.28571429],0
a5,1,0.205093,1.605734,[59 32] ; [31 26],[55.33783784 35.66216216] ; [34.66216216 22.33783784],0
u3,1,0.226969,1.459754,[17 12] ; [11 15],[14.76363636 14.23636364] ; [13.23636364 12.76363636],0
v2,1,0.243208,1.361905,[44 44] ; [22 33],[40.61538462 47.38461538] ; [25.38461538 29.61538462],0
u2,1,0.246257,1.344414,[16 14] ; [ 9 15],[13.88888889 16.11111111] ; [11.11111111 12.88888889],0
d4,1,0.322879,0.97725,[73 18] ; [41 15],[70.57142857 20.42857143] ; [43.42857143 12.57142857],0
n4,1,0.325579,0.966401,[64 27] ; [35 21],[61.28571429 29.71428571] ; [37.71428571 18.28571429],0
n1,1,0.349368,0.875753,[10 19] ; [10 11],[11.6 17.4] ; [ 8.4 12.6],0
b3,1,0.363087,0.827189,[12 26] ; [ 7 25],[10.31428571 27.68571429] ; [ 8.68571429 23.31428571],0
b2,1,0.363087,0.827189,[12 26] ; [ 7 25],[10.31428571 27.68571429] ; [ 8.68571429 23.31428571],0
d1,1,0.36928,0.806086,[50 41] ; [27 30],[47.34459459 43.65540541] ; [29.65540541 27.34459459],0
p1,1,0.404993,0.69345,[ 6 84] ; [ 6 51],[ 7.34693878 82.65306122] ; [ 4.65306122 52.34693878],0
a4,1,0.439356,0.597965,[41 50] ; [22 35],[38.73648649 52.26351351] ; [24.26351351 32.73648649],0
s3,1,0.444046,0.585804,[53 38] ; [29 27],[50.76190476 40.23809524] ; [31.23809524 24.76190476],0
a2,1,0.4442,0.58541,[19 72] ; [15 42],[20.90540541 70.09459459] ; [13.09459459 43.90540541],0
p3,1,0.456147,0.555332,[39 52] ; [28 29],[41.19594595 49.80405405] ; [25.80405405 31.19594595],0
d2,1,0.474895,0.510564,[47 44] ; [26 31],[44.88513514 46.11486486] ; [28.11486486 28.88513514],0
a1,1,0.573397,0.317032,[ 3 88] ; [ 1 56],[ 2.45945946 88.54054054] ; [ 1.54054054 55.45945946],0
p4,1,0.579158,0.307598,[53 38] ; [30 26],[51.38095238 39.61904762] ; [31.61904762 24.38095238],0
v4,1,0.60129,0.273055,[85  6] ; [51  5],[84.19047619  6.80952381] ; [51.80952381  4.19047619],0
a7,1,0.621582,0.243651,[65 25] ; [39 18],[63.67346939 26.32653061] ; [40.32653061 16.67346939],0
s4,1,0.624164,0.240058,[21 70] ; [11 45],[19.80952381 71.19047619] ; [12.19047619 43.80952381],0
