Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,116.935721,[332   4] ; [12 11],[321.96100279  14.03899721] ; [22.03899721  0.96100279],1
r2,1,0.0,83.627927,[329   6] ; [14 10],[320.06963788  14.93036212] ; [22.93036212  1.06963788],1
r1,1,0.0,68.965744,[292  43] ; [ 5 19],[277.1448468  57.8551532] ; [19.8551532  4.1448468],1
r3,1,0.0,42.173004,[327   8] ; [16  7],[320.96368715  14.03631285] ; [22.03631285  0.96368715],1
n4,1,0.001648,9.905892,[314  22] ; [19  6],[309.93905817  26.06094183] ; [23.06094183  1.93905817],0
v1,1,0.004207,8.192028,[218 110] ; [ 9 15],[211.52272727 116.47727273] ; [15.47727273  8.52272727],0
n6,1,0.013903,6.05042,[320  16] ; [20  4],[317.33333333  18.66666667] ; [22.66666667  1.33333333],0
a7,1,0.017328,5.662846,[248  87] ; [13 12],[242.875  92.125] ; [18.125  6.875],0
b1,1,0.02965,4.729499,[140 196] ; [16  9],[145.1966759 190.8033241] ; [10.8033241 14.1966759],0
v3,1,0.042527,4.114098,[165 161] ; [ 7 17],[160.20571429 165.79428571] ; [11.79428571 12.20571429],0
p2,1,0.054011,3.712355,[298  37] ; [19  6],[294.98611111  40.01388889] ; [22.01388889  2.98611111],0
u3,1,0.063744,3.437184,[45 31] ; [2 6],[42.52380952 33.47619048] ; [4.47619048 3.52380952],0
s6,1,0.064232,3.424586,[242  84] ; [13 10],[238.19484241  87.80515759] ; [16.80515759  6.19484241],0
s5,1,0.06943,3.296438,[137 186] ; [ 5 17],[132.94492754 190.05507246] ; [ 9.05507246 12.94492754],0
d1,1,0.078553,3.094584,[220 116] ; [12 13],[215.93351801 120.06648199] ; [16.06648199  8.93351801],0
p10,1,0.084035,2.985075,[304  31] ; [20  5],[301.5  33.5] ; [22.5  2.5],0
n3,1,0.092279,2.834161,[36 10] ; [4 4],[34.07407407 11.92592593] ; [5.92592593 2.07407407],0
s4,1,0.107029,2.597547,[ 54 277] ; [ 7 17],[ 56.87605634 274.12394366] ; [ 4.12394366 19.87605634],0
b2,1,0.134112,2.244244,[ 96 122] ; [ 5 14],[ 92.90295359 125.09704641] ; [ 8.09704641 10.90295359],0
b3,1,0.134112,2.244244,[ 96 122] ; [ 5 14],[ 92.90295359 125.09704641] ; [ 8.09704641 10.90295359],0
s1,1,0.137639,2.204162,[  9 325] ; [ 2 23],[ 10.23398329 323.76601671] ; [ 0.76601671 24.23398329],0
p9,1,0.152213,2.04993,[308  26] ; [21  4],[306.08913649  27.91086351] ; [22.91086351  2.08913649],0
d5,1,0.158865,1.985,[289  46] ; [19  6],[286.61111111  48.38888889] ; [21.38888889  3.61111111],0
v2,1,0.173048,1.856341,[209 118] ; [12 12],[205.88888889 121.11111111] ; [15.11111111  8.88888889],0
s8,1,0.207084,1.591698,[183 150] ; [10 14],[180.02521008 152.97478992] ; [12.97478992 11.02521008],0
p1,1,0.218398,1.514865,[ 39 296] ; [ 5 20],[ 40.94444444 294.05555556] ; [ 3.05555556 21.94444444],0
a3,1,0.258092,1.278963,[260  74] ; [17  8],[257.71030641  76.28969359] ; [19.28969359  5.71030641],0
d2,1,0.277029,1.181608,[185 150] ; [11 14],[182.38888889 152.61111111] ; [13.61111111 11.38888889],0
p4,1,0.283201,1.151662,[283  53] ; [19  6],[281.08587258  54.91412742] ; [20.91412742  4.08587258],0
u1,1,0.284664,1.144686,[ 86 250] ; [ 4 21],[ 83.76731302 252.23268698] ; [ 6.23268698 18.76731302],0
a2,1,0.357007,0.848395,[ 96 240] ; [ 5 20],[ 94.00554017 241.99445983] ; [ 6.99445983 18.00554017],0
a8,1,0.369106,0.806672,[ 47 253] ; [ 2 21],[ 45.51083591 254.48916409] ; [ 3.48916409 19.51083591],0
p8,1,0.369631,0.804904,[228 104] ; [15 10],[225.98319328 106.01680672] ; [17.01680672  7.98319328],0
s7,1,0.406052,0.690331,[192 123] ; [12 11],[190.1183432 124.8816568] ; [13.8816568  9.1183432],0
n2,1,0.47359,0.513587,[35 11] ; [7 1],[35.77777778 10.22222222] ; [6.22222222 1.77777778],0
n1,1,0.513706,0.426511,[23 23] ; [3 5],[22.14814815 23.85185185] ; [3.85185185 4.14814815],0
p12,1,0.522389,0.409175,[ 41 292] ; [ 2 23],[ 39.9972067 293.0027933] ; [ 3.0027933 21.9972067],0
u2,1,0.528421,0.397428,[42 34] ; [3 4],[41.20481928 34.79518072] ; [3.79518072 3.20481928],0
a4,1,0.533952,0.386866,[169 166] ; [11 14],[167.5 167.5] ; [12.5 12.5],0
p7,1,0.554125,0.349979,[257  76] ; [18  7],[255.79608939  77.20391061] ; [19.20391061  5.79608939],0
d3,1,0.644823,0.21249,[230 106] ; [16  9],[228.96398892 107.03601108] ; [17.03601108  7.96398892],0
b4,1,0.679636,0.170536,[189 147] ; [13 12],[188.01108033 147.98891967] ; [13.98891967 11.01108033],0
a1,1,0.679689,0.170476,[ 20 316] ; [ 2 23],[ 20.47645429 315.52354571] ; [ 1.52354571 23.47645429],0
s3,1,0.686263,0.163161,[203 131] ; [13 10],[202.08403361 131.91596639] ; [13.91596639  9.08403361],0
p5,1,0.697582,0.151,[ 69 264] ; [ 6 19],[ 69.76256983 263.23743017] ; [ 5.23743017 19.76256983],0
d4,1,0.702962,0.145408,[278  57] ; [20  5],[277.30555556  57.69444444] ; [20.69444444  4.30555556],0
a5,1,0.735475,0.114144,[265  71] ; [19  6],[264.33240997  71.66759003] ; [19.66759003  5.33240997],0
p6,1,0.768528,0.086613,[163 170] ; [13 12],[163.70949721 169.29050279] ; [12.29050279 12.70949721],0
p11,1,0.846893,0.037282,[287  49] ; [21  4],[286.67036011  49.32963989] ; [21.32963989  3.67036011],0
a6,1,0.869526,0.026981,[236  99] ; [18  7],[236.36111111  98.63888889] ; [17.63888889  7.36111111],0
b5,1,0.934403,0.006774,[191 145] ; [14 11],[190.8033241 145.1966759] ; [14.1966759 10.8033241],0
s2,1,0.972737,0.001168,[187 146] ; [13 10],[187.07865169 145.92134831] ; [12.92134831 10.07865169],0
