Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.733202,[20 20] ; [86 12],[30.72463768  9.27536232] ; [75.27536232 22.72463768],1
r4,1,1.1e-05,19.308764,[ 9 31] ; [63 36],[20.71942446 19.28057554] ; [51.28057554 47.71942446],1
p11,1,0.00029,13.136412,[16 24] ; [72 27],[25.32374101 14.67625899] ; [62.67625899 36.32374101],1
b1,1,0.000362,12.71817,[27 13] ; [34 65],[17.55395683 22.44604317] ; [43.44604317 55.55395683],1
p10,1,0.002244,9.338112,[17 22] ; [68 27],[24.73880597 14.26119403] ; [60.26119403 34.73880597],0
n4,1,0.003805,8.374497,[16 24] ; [66 33],[23.5971223 16.4028777] ; [58.4028777 40.5971223],0
v4,1,0.00687,7.306751,[26 13] ; [85 13],[31.59854015  7.40145985] ; [79.40145985 18.59854015],0
p3,1,0.007263,7.206708,[ 7 33] ; [41 58],[13.81294964 26.18705036] ; [34.18705036 64.81294964],0
b4,1,0.018093,5.587154,[15 25] ; [59 40],[21.29496403 18.70503597] ; [52.70503597 46.29496403],0
r2,1,0.021656,5.273192,[23 16] ; [76 21],[28.38970588 10.61029412] ; [70.61029412 26.38970588],0
p8,1,0.024892,5.031408,[10 29] ; [46 53],[15.82608696 23.17391304] ; [40.17391304 58.82608696],0
s6,1,0.037258,4.338584,[12 28] ; [47 48],[17.48148148 22.51851852] ; [41.51851852 53.48148148],0
a1,1,0.049157,3.869986,[ 6 34] ; [ 5 94],[ 3.16546763 36.83453237] ; [ 7.83453237 91.16546763],0
p2,1,0.091043,2.855841,[24 16] ; [73 25],[28.11594203 11.88405797] ; [68.88405797 29.11594203],0
b5,1,0.109887,2.55584,[20 20] ; [64 35],[24.17266187 15.82733813] ; [59.82733813 39.17266187],0
p9,1,0.122142,2.389642,[25 14] ; [74 22],[28.6 10.4] ; [70.4 25.6],0
n1,1,0.167351,1.906513,[9 8] ; [ 9 19],[ 6.8 10.2] ; [11.2 16.8],0
s5,1,0.232709,1.424224,[ 5 35] ; [20 74],[ 7.46268657 32.53731343] ; [17.53731343 76.46268657],0
a7,1,0.234997,1.410359,[18 22] ; [55 43],[21.15942029 18.84057971] ; [51.84057971 46.15942029],0
d5,1,0.239666,1.38256,[16 24] ; [50 48],[19.13043478 20.86956522] ; [46.86956522 51.13043478],0
d2,1,0.240101,1.38,[ 9 31] ; [14 84],[ 6.66666667 33.33333333] ; [16.33333333 81.66666667],0
a5,1,0.251128,1.317017,[12 28] ; [40 59],[14.96402878 25.03597122] ; [37.03597122 61.96402878],0
