Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000478,12.200085,[ 5 14] ; [31 11],[11.21311475  7.78688525] ; [24.78688525 17.21311475],1
u3,1,0.019437,5.461806,[5 3] ; [ 3 15],[2.46153846 5.53846154] ; [ 5.53846154 12.46153846],0
d4,1,0.025571,4.984817,[14  5] ; [18 24],[9.96721311 9.03278689] ; [22.03278689 19.96721311],0
a6,1,0.038953,4.262915,[ 5 14] ; [23 19],[ 8.72131148 10.27868852] ; [19.27868852 22.72131148],0
u2,1,0.046322,3.969862,[5 3] ; [ 4 14],[2.76923077 5.23076923] ; [ 6.23076923 11.76923077],0
n6,1,0.077076,3.12551,[ 6 13] ; [23 18],[9.18333333 9.81666667] ; [19.81666667 21.18333333],0
d2,1,0.087537,2.91909,[ 4 15] ; [18 23],[ 6.96666667 12.03333333] ; [15.03333333 25.96666667],0
d3,1,0.100437,2.698585,[12  7] ; [17 25],[9.03278689 9.96721311] ; [19.96721311 22.03278689],0
n2,1,0.108809,2.571429,[2 6] ; [16 12],[4. 4.] ; [14. 14.],0
a5,1,0.141911,2.157119,[ 7 12] ; [24 18],[9.6557377 9.3442623] ; [21.3442623 20.6557377],0
s8,1,0.159774,1.976362,[ 1 18] ; [ 8 34],[ 2.80327869 16.19672131] ; [ 6.19672131 35.80327869],0
v2,1,0.196862,1.6655,[ 2 17] ; [10 30],[ 3.86440678 15.13559322] ; [ 8.13559322 31.86440678],0
p6,1,0.210629,1.567098,[ 1 18] ; [ 7 34],[ 2.53333333 16.46666667] ; [ 5.46666667 35.53333333],0
p3,1,0.225004,1.472167,[ 7 12] ; [ 9 32],[ 5.06666667 13.93333333] ; [10.93333333 30.06666667],0
s7,1,0.229723,1.442576,[ 2 14] ; [11 29],[ 3.71428571 12.28571429] ; [ 9.28571429 30.71428571],0
b2,1,0.264069,1.247296,[3 8] ; [14 16],[4.56097561 6.43902439] ; [12.43902439 17.56097561],0
b3,1,0.264069,1.247296,[3 8] ; [14 16],[4.56097561 6.43902439] ; [12.43902439 17.56097561],0
n3,1,0.277879,1.177434,[5 3] ; [11 16],[3.65714286 4.34285714] ; [12.34285714 14.65714286],0
p7,1,0.314609,1.011227,[ 8 10] ; [12 27],[ 6.31578947 11.68421053] ; [13.68421053 25.31578947],0
p2,1,0.327138,0.960193,[ 9 10] ; [14 27],[ 7.28333333 11.71666667] ; [15.71666667 25.28333333],0
b5,1,0.359835,0.838468,[11  8] ; [19 23],[9.3442623 9.6557377] ; [20.6557377 21.3442623],0
p11,1,0.398268,0.713549,[ 7 12] ; [11 31],[ 5.60655738 13.39344262] ; [12.39344262 29.60655738],0
s4,1,0.508543,0.437063,[ 4 15] ; [ 6 36],[ 3.1147541 15.8852459] ; [ 6.8852459 35.1147541],0
s2,1,0.508543,0.437063,[ 4 15] ; [ 6 36],[ 3.1147541 15.8852459] ; [ 6.8852459 35.1147541],0
n1,1,0.532251,0.390093,[3 5] ; [14 14],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
b4,1,0.539169,0.377081,[12  7] ; [23 19],[10.90163934  8.09836066] ; [24.09836066 17.90163934],0
p8,1,0.557429,0.344176,[ 7 12] ; [12 29],[ 6.01666667 12.98333333] ; [12.98333333 28.01666667],0
r2,1,0.591565,0.287907,[11  7] ; [28 13],[11.89830508  6.10169492] ; [27.10169492 13.89830508],0
a7,1,0.6142,0.254104,[ 9 10] ; [17 25],[ 8.09836066 10.90163934] ; [17.90163934 24.09836066],0
v4,1,0.6142,0.254104,[10  9] ; [25 17],[10.90163934  8.09836066] ; [24.09836066 17.90163934],0
p4,1,0.671616,0.179718,[ 5 14] ; [13 28],[ 5.7 13.3] ; [12.3 28.7],0
v3,1,0.77615,0.080849,[ 4 15] ; [10 31],[ 4.43333333 14.56666667] ; [ 9.56666667 31.43333333],0
b1,1,0.787881,0.072395,[12  7] ; [25 17],[11.52459016  7.47540984] ; [25.47540984 16.52459016],0
s3,1,0.793905,0.068248,[ 4 13] ; [11 30],[ 4.39655172 12.60344828] ; [10.60344828 30.39655172],0
v1,1,0.811487,0.056886,[ 6 13] ; [12 30],[ 5.60655738 13.39344262] ; [12.39344262 29.60655738],0
a2,1,0.875697,0.024469,[ 2 17] ; [ 5 37],[ 2.18032787 16.81967213] ; [ 4.81967213 37.18032787],0
r4,1,0.875697,0.024469,[ 2 17] ; [ 5 37],[ 2.18032787 16.81967213] ; [ 4.81967213 37.18032787],0
d5,1,0.877118,0.023909,[10  9] ; [23 19],[10.27868852  8.72131148] ; [22.72131148 19.27868852],0
a3,1,0.877755,0.023659,[11  8] ; [24 16],[11.27118644  7.72881356] ; [23.72881356 16.27118644],0
s1,1,0.903091,0.014825,[ 2 17] ; [ 4 38],[ 1.86885246 17.13114754] ; [ 4.13114754 37.86885246],0
p1,1,0.903091,0.014825,[ 2 17] ; [ 4 38],[ 1.86885246 17.13114754] ; [ 4.13114754 37.86885246],0
r1,1,0.904635,0.014354,[ 8 11] ; [17 25],[ 7.78688525 11.21311475] ; [17.21311475 24.78688525],0
p9,1,0.914674,0.01148,[ 8 11] ; [17 22],[ 8.18965517 10.81034483] ; [16.81034483 22.18965517],0
a4,1,0.943599,0.005005,[ 6 13] ; [13 27],[ 6.11864407 12.88135593] ; [12.88135593 27.11864407],0
d1,1,0.96097,0.002395,[ 6 13] ; [13 29],[ 5.91803279 13.08196721] ; [13.08196721 28.91803279],0
p10,1,0.962584,0.002201,[ 8 11] ; [17 24],[ 7.91666667 11.08333333] ; [17.08333333 23.91666667],0
s6,1,0.973512,0.001103,[ 4 15] ; [ 9 33],[ 4.04918033 14.95081967] ; [ 8.95081967 33.04918033],0
