Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.4e-05,18.805714,[63 12] ; [17 21],[53.09734513 21.90265487] ; [26.90265487 11.09734513],1
r4,1,0.000825,11.185243,[41 35] ; [ 8 30],[32.66666667 43.33333333] ; [16.33333333 21.66666667],1
p11,1,0.002227,9.352667,[49 27] ; [13 25],[41.33333333 34.66666667] ; [20.66666667 17.33333333],0
a1,1,0.002409,9.208278,[ 1 75] ; [ 6 32],[ 4.66666667 71.33333333] ; [ 2.33333333 35.66666667],0
v4,1,0.003342,8.610645,[61 14] ; [21 17],[54.42477876 20.57522124] ; [27.57522124 10.42477876],0
p2,1,0.012317,6.264632,[50 25] ; [15 21],[43.91891892 31.08108108] ; [21.08108108 14.91891892],0
p3,1,0.017919,5.604094,[27 49] ; [ 5 31],[21.71428571 54.28571429] ; [10.28571429 25.71428571],0
p4,1,0.01845,5.552908,[31 44] ; [ 7 30],[25.44642857 49.55357143] ; [12.55357143 24.44642857],0
n4,1,0.021742,5.266304,[51 25] ; [17 21],[45.33333333 30.66666667] ; [22.66666667 15.33333333],0
p9,1,0.039806,4.226125,[53 19] ; [20 17],[48.22018349 23.77981651] ; [24.77981651 12.22018349],0
b1,1,0.04664,3.958333,[31 45] ; [23 15],[36. 40.] ; [18. 20.],0
p8,1,0.050011,3.841092,[26 49] ; [ 6 30],[21.62162162 53.37837838] ; [10.37837838 25.62162162],0
p10,1,0.105122,2.626065,[45 29] ; [16 20],[41.03636364 32.96363636] ; [19.96363636 16.03636364],0
n2,1,0.142258,2.153361,[18  6] ; [9 8],[15.80487805  8.19512195] ; [11.19512195  5.80487805],0
s7,1,0.161125,1.963636,[16 56] ; [ 4 32],[13.33333333 58.66666667] ; [ 6.66666667 29.33333333],0
s1,1,0.184019,1.764862,[ 2 74] ; [ 3 34],[ 3.36283186 72.63716814] ; [ 1.63716814 35.36283186],0
p7,1,0.185478,1.75318,[32 43] ; [11 26],[28.79464286 46.20535714] ; [14.20535714 22.79464286],0
d2,1,0.256942,1.285159,[25 49] ; [17 21],[27.75 46.25] ; [14.25 23.75],0
d1,1,0.261054,1.263158,[28 48] ; [10 28],[25.33333333 50.66666667] ; [12.66666667 25.33333333],0
b5,1,0.280175,1.16624,[48 28] ; [20 18],[45.33333333 30.66666667] ; [22.66666667 15.33333333],0
d5,1,0.297581,1.085003,[49 26] ; [21 17],[46.46017699 28.53982301] ; [23.53982301 14.46017699],0
d3,1,0.303655,1.058076,[34 41] ; [13 24],[31.47321429 43.52678571] ; [15.52678571 21.47321429],0
r2,1,0.303731,1.05774,[56 17] ; [25 12],[53.75454545 19.24545455] ; [27.24545455  9.75454545],0
a8,1,0.328483,0.95487,[ 8 64] ; [ 2 35],[ 6.60550459 65.39449541] ; [ 3.39449541 33.60550459],0
