Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001954,9.592105,[10 44] ; [14 13],[16. 38.] ; [ 8. 19.],0
s6,1,0.003405,8.576471,[14 40] ; [16 11],[20. 34.] ; [10. 17.],0
b1,1,0.005576,7.682623,[25 30] ; [21  6],[30.85365854 24.14634146] ; [15.14634146 11.85365854],0
p6,1,0.006907,7.296908,[ 5 49] ; [ 9 18],[ 9.33333333 44.66666667] ; [ 4.66666667 22.33333333],0
p8,1,0.015645,5.842358,[ 8 47] ; [10 16],[12.22222222 42.77777778] ; [ 5.77777778 20.22222222],0
p4,1,0.020581,5.361926,[11 44] ; [12 15],[15.42682927 39.57317073] ; [ 7.57317073 19.42682927],0
b3,1,0.025691,4.976663,[13 17] ; [ 2 15],[ 9.57446809 20.42553191] ; [ 5.42553191 11.57446809],0
b2,1,0.025691,4.976663,[13 17] ; [ 2 15],[ 9.57446809 20.42553191] ; [ 5.42553191 11.57446809],0
s3,1,0.027234,4.875921,[20 34] ; [17 10],[24.66666667 29.33333333] ; [12.33333333 14.66666667],0
p2,1,0.034445,4.472463,[21 34] ; [17 10],[25.48780488 29.51219512] ; [12.51219512 14.48780488],0
v4,1,0.064141,3.426923,[33 22] ; [21  5],[36.66666667 18.33333333] ; [17.33333333  8.66666667],0
v2,1,0.06706,3.353551,[14 38] ; [12 13],[17.55844156 34.44155844] ; [ 8.44155844 16.55844156],0
u2,1,0.067865,3.333911,[10 12] ; [8 2],[12.375  9.625] ; [5.625 4.375],0
n2,1,0.076638,3.134796,[12 17] ; [8 3],[14.5 14.5] ; [5.5 5.5],0
n3,1,0.086541,2.937569,[14 13] ; [9 2],[16.34210526 10.65789474] ; [6.65789474 4.34210526],0
b5,1,0.099989,2.705724,[24 31] ; [17 10],[27.5 27.5] ; [13.5 13.5],0
r3,1,0.110621,2.545326,[33 22] ; [21  6],[36.2195122 18.7804878] ; [17.7804878  9.2195122],0
s2,1,0.119954,2.417917,[15 40] ; [12 15],[18.1097561 36.8902439] ; [ 8.8902439 18.1097561],0
u1,1,0.183736,1.767147,[ 2 53] ; [ 3 24],[ 3.35365854 51.64634146] ; [ 1.64634146 25.35365854],0
p1,1,0.19561,1.674848,[ 7 48] ; [ 1 26],[ 5.36585366 49.63414634] ; [ 2.63414634 24.36585366],0
