Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,49.813259,[ 18 315] ; [21 39],[ 33.04580153 299.95419847] ; [ 5.95419847 54.04580153],1
p12,1,0.0,28.542737,[ 26 307] ; [19 41],[ 38.12977099 294.87022901] ; [ 6.87022901 53.12977099],1
p6,1,1e-06,24.716997,[126 205] ; [43 16],[143.43333333 187.56666667] ; [25.56666667 33.43333333],1
p4,1,1e-06,24.462765,[200 134] ; [55  4],[216.71755725 117.28244275] ; [38.28244275 20.71755725],1
p8,1,4e-06,21.475388,[169 162] ; [50 10],[185.39386189 145.60613811] ; [33.60613811 26.39386189],1
p3,1,6e-06,20.625731,[165 169] ; [48 11],[181.02290076 152.97709924] ; [31.97709924 27.02290076],1
s5,1,7.6e-05,15.667549,[125 198] ; [37 18],[138.42857143 184.57142857] ; [23.57142857 31.42857143],1
a1,1,0.000283,13.178789,[ 12 323] ; [ 9 51],[ 17.81012658 317.18987342] ; [ 3.18987342 56.81012658],1
s7,1,0.000356,12.748584,[208 114] ; [52  7],[219.73753281 102.26246719] ; [40.26246719 18.73753281],1
s6,1,0.002387,9.225298,[272  56] ; [57  1],[279.56476684  48.43523316] ; [49.43523316  8.56476684],0
s8,1,0.003002,8.806184,[192 142] ; [46 13],[202.2697201 131.7302799] ; [35.7302799 23.2697201],0
b5,1,0.00972,6.685503,[205 130] ; [26 34],[195.91139241 139.08860759] ; [35.08860759 24.91139241],0
s1,1,0.012783,6.198918,[ 10 318] ; [ 6 54],[ 13.5257732 314.4742268] ; [ 2.4742268 57.5257732],0
n4,1,0.016042,5.798299,[294  40] ; [59  1],[299.24365482  34.75634518] ; [53.75634518  6.24365482],0
p7,1,0.01743,5.652524,[216 108] ; [47 10],[223.65354331 100.34645669] ; [39.34645669 17.65354331],0
v1,1,0.021269,5.30459,[179 146] ; [42 17],[187.04427083 137.95572917] ; [33.95572917 25.04427083],0
n1,1,0.029179,4.757046,[28 36] ; [10  3],[31.58441558 32.41558442] ; [6.41558442 6.58441558],0
v3,1,0.044263,4.046513,[135 188] ; [33 26],[142.05235602 180.94764398] ; [25.94764398 33.05235602],0
n6,1,0.054903,3.685021,[295  39] ; [57  2],[299.15521628  34.84478372] ; [52.84478372  6.15521628],0
a6,1,0.066807,3.359785,[227 106] ; [33 26],[220.86734694 112.13265306] ; [39.13265306 19.86734694],0
u4,1,0.067669,3.338673,[ 11 324] ; [ 5 55],[ 13.56962025 321.43037975] ; [ 2.43037975 57.56962025],0
r1,1,0.094621,2.793948,[270  63] ; [54  6],[274.53435115  58.46564885] ; [49.46564885 10.53435115],0
n3,1,0.164888,1.928817,[49 18] ; [7 6],[46.9 20.1] ; [9.1 3.9],0
d1,1,0.209302,1.576247,[206 129] ; [42 18],[210.32911392 124.67088608] ; [37.67088608 22.32911392],0
d2,1,0.249341,1.326991,[171 163] ; [35 24],[175.07379135 158.92620865] ; [30.92620865 28.07379135],0
a2,1,0.263123,1.252251,[ 90 245] ; [12 48],[ 86.50632911 248.49367089] ; [15.49367089 44.50632911],0
s2,1,0.271578,1.208758,[264  71] ; [51  9],[267.15189873  67.84810127] ; [47.84810127 12.15189873],0
u2,1,0.310375,1.02908,[45 39] ; [5 8],[43.29896907 40.70103093] ; [6.70103093 6.29896907],0
p9,1,0.318659,0.994441,[290  43] ; [55  5],[292.32824427  40.67175573] ; [52.67175573  7.32824427],0
v2,1,0.353641,0.860349,[183 136] ; [30 29],[179.75396825 139.24603175] ; [33.24603175 25.75396825],0
r4,1,0.373045,0.793497,[307  28] ; [57  3],[308.70886076  26.29113924] ; [55.29113924  4.70886076],0
s4,1,0.400236,0.707617,[ 71 260] ; [10 50],[ 68.57033248 262.42966752] ; [12.42966752 47.57033248],0
a7,1,0.442999,0.588503,[239  95] ; [40 20],[236.51269036  97.48730964] ; [42.48730964 17.51269036],0
a5,1,0.452201,0.565128,[250  85] ; [42 18],[247.64556962  87.35443038] ; [44.35443038 15.64556962],0
d3,1,0.507686,0.438833,[229 105] ; [43 16],[231.1653944 102.8346056] ; [40.8346056 18.1653944],0
p2,1,0.539519,0.376432,[285  49] ; [53  7],[286.52791878  47.47208122] ; [51.47208122  8.52791878],0
b4,1,0.552384,0.353064,[198 137] ; [33 27],[195.91139241 139.08860759] ; [35.08860759 24.91139241],0
n2,1,0.580101,0.306072,[55 11] ; [10  3],[54.30379747 11.69620253] ; [10.69620253  2.30379747],0
a3,1,0.596873,0.279739,[251  83] ; [47 13],[252.61928934  81.38071066] ; [45.38071066 14.61928934],0
v4,1,0.615757,0.251877,[317  16] ; [58  2],[317.7480916  15.2519084] ; [57.2519084  2.7480916],0
u3,1,0.638361,0.220892,[51 33] ; [7 6],[50.22680412 33.77319588] ; [7.77319588 5.22680412],0
d4,1,0.677284,0.173199,[274  58] ; [50  9],[275.10997442  56.89002558] ; [48.89002558 10.10997442],0
b3,1,0.717533,0.130868,[ 78 125] ; [19 27],[ 79.08032129 123.91967871] ; [17.91967871 28.08032129],0
b2,1,0.717533,0.130868,[ 78 125] ; [19 27],[ 79.08032129 123.91967871] ; [17.91967871 28.08032129],0
p10,1,0.728807,0.12021,[282  50] ; [52  8],[282.87755102  49.12244898] ; [51.12244898  8.87755102],0
b1,1,0.750087,0.101458,[147 188] ; [25 35],[145.87341772 189.12658228] ; [26.12658228 33.87341772],0
d5,1,0.760191,0.093165,[271  62] ; [49 10],[271.83673469  61.16326531] ; [48.16326531 10.83673469],0
a4,1,0.783056,0.075812,[155 179] ; [29 31],[155.97969543 178.02030457] ; [28.02030457 31.97969543],0
p11,1,0.784954,0.074457,[273  62] ; [48 12],[272.24050633  62.75949367] ; [48.75949367 11.24050633],0
a8,1,0.799734,0.064359,[ 56 257] ; [11 46],[ 56.67837838 256.32162162] ; [10.32162162 46.67837838],0
r3,1,0.865798,0.02856,[318  15] ; [57  3],[317.7480916  15.2519084] ; [57.2519084  2.7480916],0
u1,1,0.915994,0.011126,[ 69 266] ; [12 48],[ 68.69620253 266.30379747] ; [12.30379747 47.69620253],0
r2,1,0.996806,1.6e-05,[320  11] ; [58  2],[319.99488491  11.00511509] ; [58.00511509  1.99488491],0
