Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.001528,10.044643,[12  3] ; [ 9 21],[7. 8.] ; [14. 16.],0
p3,1,0.022791,5.184332,[8 7] ; [ 6 24],[ 4.66666667 10.33333333] ; [ 9.33333333 20.66666667],0
n3,1,0.031218,4.640955,[1 2] ; [10  1],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
n5,1,0.032829,4.554656,[12  3] ; [14 16],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
s6,1,0.064721,3.412087,[10  4] ; [12 17],[7.1627907 6.8372093] ; [14.8372093 14.1627907],0
u2,1,0.087375,2.922078,[4 2] ; [3 9],[2.33333333 3.66666667] ; [4.66666667 7.33333333],0
p2,1,0.111699,2.530013,[11  4] ; [14 15],[8.52272727 6.47727273] ; [16.47727273 12.52272727],0
v3,1,0.127719,2.320015,[ 5 10] ; [ 4 25],[ 3.06818182 11.93181818] ; [ 5.93181818 23.06818182],0
p6,1,0.1283,2.31295,[7 8] ; [ 7 22],[ 4.77272727 10.22727273] ; [ 9.22727273 19.77272727],0
r4,1,0.139919,2.178854,[ 5 10] ; [17 13],[7.33333333 7.66666667] ; [14.66666667 15.33333333],0
b5,1,0.196706,1.666667,[7 8] ; [20 10],[9. 6.] ; [18. 12.],0
p10,1,0.196706,1.666667,[11  4] ; [16 14],[9. 6.] ; [18. 12.],0
s1,1,0.204894,1.607143,[ 2 13] ; [ 1 29],[ 1. 14.] ; [ 2. 28.],0
s7,1,0.237971,1.392573,[6 7] ; [ 8 21],[4.33333333 8.66666667] ; [ 9.66666667 19.33333333],0
a4,1,0.25493,1.296083,[ 3 12] ; [11 19],[ 4.66666667 10.33333333] ; [ 9.33333333 20.66666667],0
v1,1,0.27433,1.194969,[6 9] ; [ 7 22],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
d5,1,0.326541,0.962567,[10  5] ; [24  6],[11.33333333  3.66666667] ; [22.66666667  7.33333333],0
v2,1,0.39329,0.728745,[10  5] ; [16 14],[8.66666667 6.33333333] ; [17.33333333 12.66666667],0
a8,1,0.399666,0.70933,[ 2 13] ; [ 7 22],[ 3.06818182 11.93181818] ; [ 5.93181818 23.06818182],0
