Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.9e-05,17.457479,[ 40 113] ; [43 37],[54.50214592 98.49785408] ; [28.49785408 51.50214592],1
r3,1,0.001047,10.742106,[123  32] ; [80  4],[131.65271967  23.34728033] ; [71.34728033 12.65271967],0
s6,1,0.004926,7.906577,[67 87] ; [52 31],[77.32489451 76.67510549] ; [41.67510549 41.32489451],0
a5,1,0.005642,7.661298,[93 63] ; [65 19],[102.7  53.3] ; [55.3 28.7],0
d5,1,0.007148,7.235302,[107  49] ; [71 13],[115.7  40.3] ; [62.3 21.7],0
n3,1,0.016883,5.708535,[35 31] ; [18  4],[39.75 26.25] ; [13.25  8.75],0
r1,1,0.020052,5.407403,[93 63] ; [62 21],[101.17154812  54.82845188] ; [53.82845188 29.17154812],0
p4,1,0.029922,4.713782,[ 52 104] ; [40 44],[59.8 96.2] ; [32.2 51.8],0
a7,1,0.035414,4.425093,[96 60] ; [63 21],[103.35  52.65] ; [55.65 28.35],0
s1,1,0.046918,3.948332,[ 11 145] ; [ 1 83],[  7.8 148.2] ; [ 4.2 79.8],0
p9,1,0.053149,3.739226,[103  50] ; [65 17],[109.3787234  43.6212766] ; [58.6212766 23.3787234],0
d4,1,0.058463,3.580452,[113  43] ; [70 14],[118.95  37.05] ; [64.05 19.95],0
d1,1,0.071862,3.239969,[72 84] ; [49 35],[78.65 77.35] ; [42.35 41.65],0
n5,1,0.078017,3.105741,[108  48] ; [48 35],[101.82426778  54.17573222] ; [54.17573222 28.82426778],0
r4,1,0.098416,2.731019,[109  47] ; [67 17],[114.4  41.6] ; [61.6 22.4],0
s2,1,0.118126,2.441993,[ 51 103] ; [36 47],[56.53164557 97.46835443] ; [30.46835443 52.53164557],0
d3,1,0.121867,2.393162,[88 68] ; [56 28],[93.6 62.4] ; [50.4 33.6],0
p3,1,0.138881,2.190318,[ 40 115] ; [29 54],[ 44.93697479 110.06302521] ; [24.06302521 58.93697479],0
p5,1,0.168873,1.892917,[ 10 145] ; [ 2 82],[  7.78242678 147.21757322] ; [ 4.21757322 79.78242678],0
n2,1,0.169625,1.886251,[41 26] ; [17  5],[43.66292135 23.33707865] ; [14.33707865  7.66292135],0
p12,1,0.212965,1.551157,[  3 151] ; [ 4 79],[  4.54852321 149.45147679] ; [ 2.45147679 80.54852321],0
p6,1,0.221857,1.492318,[ 19 136] ; [15 68],[ 22.14285714 132.85714286] ; [11.85714286 71.14285714],0
p11,1,0.247212,1.338993,[96 60] ; [58 26],[100.1  55.9] ; [53.9 30.1],0
b4,1,0.264035,1.247476,[97 59] ; [46 38],[92.95 63.05] ; [50.05 33.95],0
u2,1,0.283009,1.152585,[27 38] ; [16 14],[29.42105263 35.57894737] ; [13.57894737 16.42105263],0
n6,1,0.284725,1.144399,[114  41] ; [67 17],[117.38493724  37.61506276] ; [63.61506276 20.38493724],0
d2,1,0.290176,1.118803,[66 88] ; [42 42],[69.88235294 84.11764706] ; [38.11764706 45.88235294],0
s5,1,0.297574,1.085033,[ 31 118] ; [21 57],[ 34.13215859 114.86784141] ; [17.86784141 60.13215859],0
p10,1,0.298609,1.080394,[94 61] ; [56 27],[97.68907563 57.31092437] ; [52.31092437 30.68907563],0
r2,1,0.314552,1.011465,[130  24] ; [74  9],[132.55696203  21.44303797] ; [71.44303797 11.55696203],0
s7,1,0.345234,0.890898,[ 47 103] ; [30 50],[50.2173913 99.7826087] ; [26.7826087 53.2173913],0
p2,1,0.389098,0.741758,[101  55] ; [59 25],[104.  52.] ; [56. 28.],0
a1,1,0.412677,0.671075,[  7 149] ; [ 2 82],[  5.85 150.15] ; [ 3.15 80.85],0
p1,1,0.416903,0.65903,[ 16 139] ; [ 6 78],[ 14.26778243 140.73221757] ; [ 7.73221757 76.26778243],0
a3,1,0.432493,0.616119,[91 63] ; [54 30],[93.82352941 60.17647059] ; [51.17647059 32.82352941],0
b2,1,0.458189,0.550314,[30 59] ; [20 30],[32.01438849 56.98561151] ; [17.98561151 32.01438849],0
b3,1,0.458189,0.550314,[30 59] ; [20 30],[32.01438849 56.98561151] ; [17.98561151 32.01438849],0
u1,1,0.473617,0.513525,[ 19 137] ; [13 71],[ 20.8 135.2] ; [11.2 72.8],0
