Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,50.378788,[44 12] ; [13 64],[24. 32.] ; [33. 44.],1
s6,1,0.0,37.679823,[52  5] ; [30 47],[34.88059701 22.11940299] ; [47.11940299 29.88059701],1
s8,1,1.8e-05,18.364772,[35 22] ; [19 58],[22.97014925 34.02985075] ; [31.02985075 45.97014925],1
s7,1,2.8e-05,17.559333,[33 19] ; [20 56],[21.53125 30.46875] ; [31.46875 44.53125],1
v1,1,5.3e-05,16.328761,[33 22] ; [19 57],[21.83206107 33.16793893] ; [30.16793893 45.83206107],1
p9,1,0.000873,11.080157,[44 12] ; [37 37],[34.89230769 21.10769231] ; [46.10769231 27.89230769],1
s5,1,0.001297,10.34711,[25 31] ; [14 61],[16.67175573 39.32824427] ; [22.32824427 52.67175573],0
p4,1,0.004279,8.161364,[27 30] ; [18 58],[19.28571429 37.71428571] ; [25.71428571 50.28571429],0
p6,1,0.008919,6.839072,[19 38] ; [11 66],[12.76119403 44.23880597] ; [17.23880597 59.76119403],0
r4,1,0.019303,5.473896,[52  5] ; [59 19],[46.86666667 10.13333333] ; [64.13333333 13.86666667],0
a4,1,0.029969,4.711054,[31 26] ; [27 49],[24.85714286 32.14285714] ; [33.14285714 42.85714286],0
p10,1,0.034798,4.455065,[41 16] ; [41 35],[35.14285714 21.85714286] ; [46.85714286 29.14285714],0
s4,1,0.052397,3.763042,[17 40] ; [12 64],[12.42857143 44.57142857] ; [16.57142857 59.42857143],0
d5,1,0.062088,3.480716,[45 12] ; [50 28],[40.11111111 16.88888889] ; [54.88888889 23.11111111],0
s1,1,0.064568,3.415992,[ 7 50] ; [ 3 75],[ 4.22222222 52.77777778] ; [ 5.77777778 72.22222222],0
b5,1,0.065136,3.401524,[41 16] ; [44 34],[35.88888889 21.11111111] ; [49.11111111 28.88888889],0
p7,1,0.080512,3.054545,[23 32] ; [21 56],[18.33333333 36.66666667] ; [25.66666667 51.33333333],0
u4,1,0.081356,3.037605,[ 4 53] ; [ 1 77],[ 2.11111111 54.88888889] ; [ 2.88888889 75.11111111],0
r3,1,0.095104,2.785787,[53  4] ; [65 13],[49.82222222  7.17777778] ; [68.17777778  9.82222222],0
r1,1,0.120128,2.415649,[43 14] ; [49 29],[38.84444444 18.15555556] ; [53.15555556 24.84444444],0
p3,1,0.128501,2.310519,[24 33] ; [23 55],[19.84444444 37.15555556] ; [27.15555556 50.84444444],0
v4,1,0.137394,2.206903,[53  4] ; [66 12],[50.24444444  6.75555556] ; [68.75555556  9.24444444],0
a3,1,0.163214,1.94419,[40 17] ; [45 32],[36.15671642 20.84328358] ; [48.84328358 28.15671642],0
a5,1,0.18129,1.787016,[40 17] ; [46 32],[36.31111111 20.68888889] ; [49.68888889 28.31111111],0
u1,1,0.191366,1.707073,[13 44] ; [11 67],[10.13333333 46.86666667] ; [13.86666667 64.13333333],0
d2,1,0.193031,1.694331,[32 25] ; [34 42],[28.28571429 28.71428571] ; [37.71428571 38.28571429],0
p1,1,0.236491,1.40139,[ 7 50] ; [ 5 73],[ 5.06666667 51.93333333] ; [ 6.93333333 71.06666667],0
a8,1,0.239688,1.382428,[ 3 53] ; [ 8 63],[ 4.8503937 51.1496063] ; [ 6.1496063 64.8503937],0
p11,1,0.261594,1.2603,[39 18] ; [46 32],[35.88888889 21.11111111] ; [49.11111111 28.88888889],0
u3,1,0.275633,1.188498,[11  6] ; [16 17],[9.18 7.82] ; [17.82 15.18],0
v2,1,0.285578,1.140351,[30 24] ; [35 41],[27. 27.] ; [38. 38.],0
d1,1,0.291569,1.112362,[33 24] ; [38 40],[29.97777778 27.02222222] ; [41.02222222 36.97777778],0
v3,1,0.324875,0.969218,[22 30] ; [26 51],[19.34883721 32.65116279] ; [28.65116279 48.34883721],0
r2,1,0.341301,0.905538,[53  4] ; [66  9],[51.38636364  5.61363636] ; [67.61363636  7.38636364],0
a2,1,0.371534,0.798527,[13 44] ; [13 65],[10.97777778 46.02222222] ; [15.02222222 62.97777778],0
u2,1,0.409343,0.680707,[9 8] ; [13 19],[7.63265306 9.36734694] ; [14.36734694 17.63265306],0
d3,1,0.413214,0.669534,[34 23] ; [41 37],[31.66666667 25.33333333] ; [43.33333333 34.66666667],0
p8,1,0.428489,0.626915,[15 42] ; [16 62],[13.08888889 43.91111111] ; [17.91111111 60.08888889],0
b2,1,0.49158,0.473065,[13 27] ; [19 29],[14.54545455 25.45454545] ; [17.45454545 30.54545455],0
b3,1,0.49158,0.473065,[13 27] ; [19 29],[14.54545455 25.45454545] ; [17.45454545 30.54545455],0
a7,1,0.581567,0.303708,[37 20] ; [47 31],[35.46666667 21.53333333] ; [48.53333333 29.46666667],0
p12,1,0.604802,0.267814,[ 5 52] ; [ 5 73],[ 4.22222222 52.77777778] ; [ 5.77777778 72.22222222],0
b1,1,0.61444,0.253759,[26 31] ; [39 39],[27.44444444 29.55555556] ; [37.55555556 40.44444444],0
b4,1,0.622971,0.241713,[36 21] ; [46 32],[34.62222222 22.37777778] ; [47.37777778 30.62222222],0
a6,1,0.669501,0.182186,[33 24] ; [48 30],[34.2 22.8] ; [46.8 31.2],0
n4,1,0.685705,0.163775,[42 15] ; [55 23],[40.95555556 16.04444444] ; [56.04444444 21.95555556],0
p5,1,0.748774,0.102564,[ 4 50] ; [ 7 71],[ 4.5 49.5] ; [ 6.5 71.5],0
n1,1,0.780332,0.077778,[6 9] ; [12 15],[6.42857143 8.57142857] ; [11.57142857 15.42857143],0
d4,1,0.841227,0.04013,[43 14] ; [60 18],[43.48888889 13.51111111] ; [59.51111111 18.48888889],0
a1,1,0.888886,0.01952,[ 4 53] ; [ 5 73],[ 3.8 53.2] ; [ 5.2 72.8],0
n2,1,0.904973,0.014252,[11  4] ; [21  7],[11.1627907  3.8372093] ; [20.8372093  7.1627907],0
n3,1,0.933546,0.006953,[10  5] ; [17  9],[9.87804878 5.12195122] ; [17.12195122  8.87804878],0
n5,1,0.937184,0.006211,[42 15] ; [57 21],[41.8 15.2] ; [57.2 20.8],0
