Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.940678,[ 4 21] ; [82 17],[17.33870968  7.66129032] ; [68.66129032 30.33870968],1
v4,1,0.0,36.392695,[11 14] ; [92  6],[20.93495935  4.06504065] ; [82.06504065 15.93495935],1
p11,1,1e-06,23.879955,[ 7 18] ; [78 21],[17.13709677  7.86290323] ; [67.86290323 31.13709677],1
n6,1,0.000135,14.574839,[10 15] ; [78 21],[17.74193548  7.25806452] ; [70.25806452 28.74193548],1
v2,1,0.000323,12.931919,[ 1 22] ; [42 52],[ 8.45299145 14.54700855] ; [34.54700855 59.45299145],1
r2,1,0.001113,10.62972,[15 10] ; [87 12],[20.56451613  4.43548387] ; [81.43548387 17.56451613],0
a6,1,0.003467,8.543659,[ 7 18] ; [60 39],[13.50806452 11.49193548] ; [53.49193548 45.50806452],0
p9,1,0.004569,8.042672,[ 9 13] ; [71 27],[14.66666667  7.33333333] ; [65.33333333 32.66666667],0
p10,1,0.007415,7.16965,[ 8 16] ; [61 35],[13.8 10.2] ; [55.2 40.8],0
b5,1,0.008192,6.99097,[ 7 18] ; [57 42],[12.90322581 12.09677419] ; [51.09677419 47.90322581],0
r1,1,0.014449,5.982456,[10 15] ; [66 33],[15.32258065  9.67741935] ; [60.67741935 38.32258065],0
p2,1,0.01642,5.757289,[11 14] ; [69 30],[16.12903226  8.87096774] ; [63.87096774 35.12903226],0
p6,1,0.017085,5.687639,[ 1 23] ; [26 71],[ 5.3553719 18.6446281] ; [21.6446281 75.3553719],0
a7,1,0.017682,5.627388,[ 7 18] ; [54 45],[12.2983871 12.7016129] ; [48.7016129 50.2983871],0
s6,1,0.030986,4.653722,[ 4 20] ; [39 58],[ 8.52892562 15.47107438] ; [34.47107438 62.52892562],0
n3,1,0.035651,4.41374,[7 7] ; [22  5],[9.90243902 4.09756098] ; [19.09756098  7.90243902],0
p7,1,0.048324,3.898668,[ 8 17] ; [52 44],[12.39669421 12.60330579] ; [47.60330579 48.39669421],0
n1,1,0.054687,3.691608,[9 6] ; [ 8 19],[6.07142857 8.92857143] ; [10.92857143 16.07142857],0
v1,1,0.056197,3.646205,[ 5 20] ; [39 57],[ 9.09090909 15.90909091] ; [34.90909091 61.09090909],0
s3,1,0.061955,3.484252,[ 3 20] ; [32 66],[ 6.65289256 16.34710744] ; [28.34710744 69.65289256],0
v3,1,0.069534,3.293976,[ 3 21] ; [30 67],[ 6.54545455 17.45454545] ; [26.45454545 70.54545455],0
u2,1,0.080282,3.059191,[ 3 11] ; [26 29],[5.88405797 8.11594203] ; [23.11594203 31.88405797],0
d4,1,0.101358,2.684049,[ 6 19] ; [41 57],[ 9.55284553 15.44715447] ; [37.44715447 60.55284553],0
p3,1,0.120188,2.414875,[ 5 20] ; [36 63],[ 8.26612903 16.73387097] ; [32.73387097 66.26612903],0
a1,1,0.123364,2.374078,[ 3 22] ; [ 4 95],[ 1.41129032 23.58870968] ; [ 5.58870968 93.41129032],0
a5,1,0.135427,2.229165,[ 7 18] ; [44 55],[10.28225806 14.71774194] ; [40.71774194 58.28225806],0
p8,1,0.138997,2.189026,[ 6 17] ; [42 56],[ 9.12396694 13.87603306] ; [38.87603306 59.12396694],0
d3,1,0.142278,2.153151,[ 5 20] ; [35 64],[ 8.06451613 16.93548387] ; [31.93548387 67.06451613],0
n5,1,0.158847,1.985164,[19  6] ; [59 38],[15.98360656  9.01639344] ; [62.01639344 34.98360656],0
p4,1,0.176023,1.830889,[ 6 19] ; [37 59],[ 8.88429752 16.11570248] ; [34.11570248 61.88429752],0
b1,1,0.189632,1.720478,[14 11] ; [41 58],[11.08870968 13.91129032] ; [43.91129032 55.08870968],0
n2,1,0.195667,1.674424,[9 6] ; [22  6],[10.81395349  4.18604651] ; [20.18604651  7.81395349],0
s7,1,0.228773,1.448476,[ 3 20] ; [23 70],[ 5.15517241 17.84482759] ; [20.84482759 72.15517241],0
p5,1,0.303651,1.058089,[ 1 23] ; [11 88],[ 2.34146341 21.65853659] ; [ 9.65853659 89.34146341],0
s8,1,0.333934,0.933583,[ 3 21] ; [21 78],[ 4.68292683 19.31707317] ; [19.31707317 79.68292683],0
s1,1,0.424183,0.638697,[ 2 23] ; [ 4 93],[ 1.2295082 23.7704918] ; [ 4.7704918 92.2295082],0
d2,1,0.468268,0.526061,[ 7 18] ; [21 78],[ 5.64516129 19.35483871] ; [22.35483871 76.64516129],0
a4,1,0.471826,0.517696,[ 4 20] ; [23 75],[ 5.31147541 18.68852459] ; [21.68852459 76.31147541],0
a8,1,0.494675,0.466341,[ 1 22] ; [ 8 85],[ 1.78448276 21.21551724] ; [ 7.21551724 85.78448276],0
p1,1,0.502981,0.448642,[ 4 21] ; [11 88],[ 3.02419355 21.97580645] ; [11.97580645 87.02419355],0
b4,1,0.552002,0.353743,[13 12] ; [58 41],[14.31451613 10.68548387] ; [56.68548387 42.31451613],0
a2,1,0.576556,0.311836,[ 1 24] ; [ 7 92],[ 1.61290323 23.38709677] ; [ 6.38709677 92.61290323],0
b2,1,0.720157,0.128342,[ 7 10] ; [20 35],[ 6.375 10.625] ; [20.625 34.375],0
b3,1,0.720157,0.128342,[ 7 10] ; [20 35],[ 6.375 10.625] ; [20.625 34.375],0
a3,1,0.731731,0.117528,[11 12] ; [43 55],[10.26446281 12.73553719] ; [43.73553719 54.26446281],0
s5,1,0.740581,0.109616,[ 3 22] ; [14 82],[ 3.51239669 21.48760331] ; [13.48760331 82.51239669],0
p12,1,0.743821,0.106797,[ 2 23] ; [ 6 91],[ 1.63934426 23.36065574] ; [ 6.36065574 90.63934426],0
d1,1,0.806304,0.060121,[ 1 24] ; [ 3 96],[ 0.80645161 24.19354839] ; [ 3.19354839 95.80645161],0
n4,1,0.910799,0.012551,[15 10] ; [60 38],[15.24390244  9.75609756] ; [59.75609756 38.24390244],0
s4,1,0.973355,0.001116,[ 3 22] ; [12 86],[ 3.04878049 21.95121951] ; [11.95121951 86.04878049],0
