Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.076808,[ 5 62] ; [30 43],[16.75 50.25] ; [18.25 54.75],1
p7,1,6e-06,20.588682,[25 42] ; [53 17],[38.1459854 28.8540146] ; [39.8540146 30.1459854],1
p4,1,2.2e-05,18.01602,[24 43] ; [51 20],[36.41304348 30.58695652] ; [38.58695652 32.41304348],1
p3,1,0.000557,11.914814,[20 47] ; [43 30],[30.15 36.85] ; [32.85 40.15],1
p10,1,0.008015,7.030175,[45 22] ; [62 10],[51.57553957 15.42446043] ; [55.42446043 16.57553957],0
p9,1,0.011885,6.328018,[47 20] ; [63  9],[53.02158273 13.97841727] ; [56.97841727 15.02158273],0
v2,1,0.03253,4.570351,[44 21] ; [60 12],[49.34306569 15.65693431] ; [54.65693431 17.34306569],0
a5,1,0.034253,4.482011,[42 26] ; [57 16],[47.74468085 20.25531915] ; [51.25531915 21.74468085],0
d1,1,0.057603,3.605097,[33 35] ; [47 26],[38.58156028 29.41843972] ; [41.41843972 31.58156028],0
r4,1,0.08101,3.044523,[57 11] ; [68  5],[60.28368794  7.71631206] ; [64.71631206  8.28368794],0
p2,1,0.085323,2.960472,[49 18] ; [62 11],[53.12142857 13.87857143] ; [57.87857143 15.12142857],0
s8,1,0.107928,2.584303,[11 57] ; [20 53],[14.95035461 53.04964539] ; [16.04964539 56.95035461],0
a3,1,0.13253,2.262611,[50 18] ; [45 28],[45.81560284 22.18439716] ; [49.18439716 23.81560284],0
s3,1,0.140298,2.17469,[23 43] ; [34 38],[27.26086957 38.73913043] ; [29.73913043 42.26086957],0
p12,1,0.14075,2.169744,[ 5 63] ; [11 61],[ 7.77142857 60.22857143] ; [ 8.22857143 63.77142857],0
p1,1,0.186132,1.74797,[ 4 64] ; [ 9 64],[ 6.26950355 61.73049645] ; [ 6.73049645 66.26950355],0
s5,1,0.213128,1.550053,[12 54] ; [19 51],[15.04411765 50.95588235] ; [15.95588235 54.04411765],0
u2,1,0.233444,1.419755,[11  6] ; [13 15],[9.06666667 7.93333333] ; [14.93333333 13.06666667],0
n4,1,0.241374,1.372549,[48 20] ; [57 15],[51. 17.] ; [54. 18.],0
a1,1,0.252541,1.30919,[ 6 62] ; [ 3 70],[ 4.34042553 63.65957447] ; [ 4.65957447 68.34042553],0
u3,1,0.273203,1.200593,[11  7] ; [12 15],[9.2 8.8] ; [13.8 13.2],0
b5,1,0.29149,1.112728,[45 23] ; [42 31],[41.95744681 26.04255319] ; [45.04255319 27.95744681],0
s4,1,0.324885,0.96918,[ 8 59] ; [ 5 66],[ 6.3115942 60.6884058] ; [ 6.6884058 64.3115942],0
a8,1,0.340243,0.909517,[ 9 53] ; [ 6 60],[ 7.265625 54.734375] ; [ 7.734375 58.265625],0
s1,1,0.353694,0.860159,[ 1 65] ; [ 3 69],[ 1.91304348 64.08695652] ; [ 2.08695652 69.91304348],0
s2,1,0.358306,0.843822,[19 48] ; [26 47],[21.53571429 45.46428571] ; [23.46428571 49.53571429],0
v1,1,0.403935,0.696581,[37 29] ; [46 27],[39.41007194 26.58992806] ; [43.58992806 29.41007194],0
p11,1,0.408051,0.684472,[49 19] ; [57 16],[51.12056738 16.87943262] ; [54.87943262 18.12056738],0
