Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,4e-06,21.245714,[44 11] ; [ 1 10],[37.5 17.5] ; [7.5 3.5],1
r3,1,3.9e-05,16.907506,[53  2] ; [6 5],[49.16666667  5.83333333] ; [9.83333333 1.16666667],1
a6,1,0.002503,9.138462,[37 18] ; [2 9],[32.5 22.5] ; [6.5 4.5],0
s3,1,0.002864,8.891938,[31 22] ; [ 1 10],[26.5 26.5] ; [5.5 5.5],0
p9,1,0.005806,7.609412,[46  9] ; [5 6],[42.5 12.5] ; [8.5 2.5],0
a5,1,0.009052,6.812488,[38 17] ; [3 8],[34.16666667 20.83333333] ; [6.83333333 4.16666667],0
n2,1,0.012198,6.28185,[11  2] ; [2 5],[8.45 4.55] ; [4.55 2.45],0
p4,1,0.020776,5.345455,[31 24] ; [2 9],[27.5 27.5] ; [5.5 5.5],0
s6,1,0.035821,4.405594,[40 12] ; [5 6],[37.14285714 14.85714286] ; [7.85714286 3.14285714],0
p10,1,0.048796,3.882353,[45 10] ; [6 5],[42.5 12.5] ; [8.5 2.5],0
n6,1,0.059211,3.559345,[47  7] ; [7 4],[44.86153846  9.13846154] ; [9.13846154 1.86153846],0
v1,1,0.084587,2.97449,[25 29] ; [2 9],[22.43076923 31.56923077] ; [4.56923077 6.43076923],0
s2,1,0.086896,2.930957,[24 28] ; [2 9],[21.46031746 30.53968254] ; [4.53968254 6.46031746],0
p3,1,0.093067,2.820513,[25 30] ; [2 9],[22.5 32.5] ; [4.5 6.5],0
s5,1,0.094022,2.804135,[17 32] ; [ 1 10],[14.7 34.3] ; [3.3 7.7],0
a7,1,0.110026,2.553847,[42 12] ; [6 5],[39.87692308 14.12307692] ; [8.12307692 2.87692308],0
d2,1,0.133131,2.255612,[17 38] ; [6 5],[19.16666667 35.83333333] ; [3.83333333 7.16666667],0
p6,1,0.138011,2.2,[17 38] ; [ 1 10],[15. 40.] ; [3. 8.],0
b4,1,0.169686,1.885714,[37 18] ; [5 6],[35. 20.] ; [7. 4.],0
p2,1,0.1811,1.788578,[41 14] ; [6 5],[39.16666667 15.83333333] ; [7.83333333 3.16666667],0
d5,1,0.194297,1.684734,[40 14] ; [6 5],[38.21538462 15.78461538] ; [7.78461538 3.21538462],0
s8,1,0.237118,1.397647,[14 41] ; [ 1 10],[12.5 42.5] ; [2.5 8.5],0
n1,1,0.260452,1.266353,[5 8] ; [1 6],[3.9 9.1] ; [2.1 4.9],0
v3,1,0.297703,1.084454,[12 40] ; [ 1 10],[10.73015873 41.26984127] ; [2.26984127 8.73015873],0
d3,1,0.30633,1.046431,[38 16] ; [6 5],[36.55384615 17.44615385] ; [7.44615385 3.55384615],0
a3,1,0.32175,0.981818,[29 26] ; [4 7],[27.5 27.5] ; [5.5 5.5],0
b2,1,0.334505,0.931378,[ 4 21] ; [2 4],[ 4.83870968 20.16129032] ; [1.16129032 4.83870968],0
b3,1,0.334505,0.931378,[ 4 21] ; [2 4],[ 4.83870968 20.16129032] ; [1.16129032 4.83870968],0
p11,1,0.350201,0.872727,[38 17] ; [6 5],[36.66666667 18.33333333] ; [7.33333333 3.66666667],0
d4,1,0.378223,0.776471,[42 13] ; [7 4],[40.83333333 14.16666667] ; [8.16666667 2.83333333],0
p8,1,0.466836,0.529456,[21 33] ; [3 8],[19.93846154 34.06153846] ; [4.06153846 6.93846154],0
u3,1,0.484123,0.48956,[15 11] ; [3 4],[14.18181818 11.81818182] ; [3.81818182 3.18181818],0
d1,1,0.507122,0.44,[26 29] ; [4 7],[25. 30.] ; [5. 6.],0
b1,1,0.543255,0.369541,[15 40] ; [4 7],[15.83333333 39.16666667] ; [3.16666667 7.83333333],0
n3,1,0.588792,0.292235,[9 4] ; [4 3],[8.45 4.55] ; [4.55 2.45],0
u2,1,0.687421,0.161892,[ 9 17] ; [3 4],[ 9.45454545 16.54545455] ; [2.54545455 4.45454545],0
p7,1,0.741182,0.109091,[28 27] ; [5 6],[27.5 27.5] ; [5.5 5.5],0
n5,1,0.810668,0.057391,[38 17] ; [8 3],[38.33333333 16.66666667] ; [7.66666667 3.33333333],0
a4,1,0.815335,0.054545,[18 37] ; [4 7],[18.33333333 36.66666667] ; [3.66666667 7.33333333],0
n4,1,0.823719,0.049624,[32 23] ; [6 5],[31.66666667 23.33333333] ; [6.33333333 4.66666667],0
v2,1,0.869445,0.027015,[25 28] ; [5 5],[25.23809524 27.76190476] ; [4.76190476 5.23809524],0
b5,1,0.909649,0.012878,[34 21] ; [7 4],[34.16666667 20.83333333] ; [6.83333333 4.16666667],0
