Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,55.108259,[221  67] ; [41 69],[189.5879397  98.4120603] ; [72.4120603 37.5879397],1
d3,1,0.0,37.131224,[231  58] ; [54 56],[206.42857143  82.57142857] ; [78.57142857 31.42857143],1
u1,1,2e-06,23.039998,[ 84 207] ; [  7 103],[ 66.03740648 224.96259352] ; [24.96259352 85.03740648],1
a2,1,6e-06,20.555324,[101 190] ; [13 97],[ 82.72817955 208.27182045] ; [31.27182045 78.72817955],1
r4,1,1.1e-05,19.34876,[279  12] ; [91 19],[268.50374065  22.49625935] ; [101.49625935   8.50374065],1
b5,1,5.4e-05,16.290649,[201  90] ; [52 58],[183.59850374 107.40149626] ; [69.40149626 40.59850374],1
r2,1,0.000158,14.273259,[283   5] ; [98 11],[276.3929471  11.6070529] ; [104.6070529   4.3929471],1
r1,1,0.000173,14.10054,[253  36] ; [79 31],[240.47117794  48.52882206] ; [91.52882206 18.47117794],1
v4,1,0.001896,9.647571,[286   4] ; [101   8],[281.27819549   8.72180451] ; [105.72180451   3.27819549],0
d1,1,0.00338,8.589995,[204  87] ; [60 50],[191.58104738  99.41895262] ; [72.41895262 37.58104738],0
b1,1,0.003382,8.588749,[104 187] ; [57 53],[116.83541147 174.16458853] ; [44.16458853 65.83541147],0
s8,1,0.007769,7.08589,[177 112] ; [83 27],[188.32080201 100.67919799] ; [71.67919799 38.32080201],0
p2,1,0.015314,5.879997,[251  40] ; [83 26],[242.985  48.015] ; [91.015 17.985],0
p10,1,0.020156,5.39837,[252  36] ; [86 24],[244.58291457  43.41708543] ; [93.41708543 16.58291457],0
n3,1,0.020561,5.363654,[44 12] ; [17 14],[39.26436782 16.73563218] ; [21.73563218  9.26436782],0
p9,1,0.022299,5.222288,[259  26] ; [91 19],[252.53164557  32.46835443] ; [97.46835443 12.53164557],0
n1,1,0.029199,4.755825,[19 37] ; [18 13],[23.81609195 32.18390805] ; [13.18390805 17.81609195],0
s7,1,0.035024,4.444008,[196  82] ; [86 20],[204.15625  73.84375] ; [77.84375 28.15625],0
b4,1,0.054439,3.699188,[179 112] ; [56 54],[170.5361596 120.4638404] ; [64.4638404 45.5361596],0
r3,1,0.078598,3.093655,[282   6] ; [104   6],[279.31658291   8.68341709] ; [106.68341709   3.31658291],0
n6,1,0.095571,2.777939,[255  32] ; [90 19],[250.03787879  36.96212121] ; [94.96212121 14.03787879],0
a1,1,0.106955,2.598647,[ 14 277] ; [ 10 100],[ 17.41645885 273.58354115] ; [  6.58354115 103.41645885],0
d4,1,0.112477,2.519064,[256  33] ; [90 19],[251.24120603  37.75879397] ; [94.75879397 14.24120603],0
a8,1,0.193894,1.687778,[ 42 223] ; [11 93],[ 38.06233062 226.93766938] ; [14.93766938 89.06233062],0
v3,1,0.251449,1.315235,[112 166] ; [50 57],[116.97662338 161.02337662] ; [45.02337662 61.97662338],0
s3,1,0.260622,1.265448,[260  28] ; [95 15],[256.88442211  31.11557789] ; [98.11557789 11.88442211],0
p3,1,0.273572,1.198749,[151 139] ; [64 46],[155.875 134.125] ; [59.125 50.875],0
v2,1,0.317918,0.997492,[166 111] ; [57 48],[161.70418848 115.29581152] ; [61.29581152 43.70418848],0
d2,1,0.351335,0.868629,[159 129] ; [55 55],[154.85427136 133.14572864] ; [59.14572864 50.85427136],0
a5,1,0.354868,0.855974,[227  64] ; [81 29],[223.51122195  67.48877805] ; [84.48877805 25.51122195],0
v1,1,0.363169,0.826905,[159 122] ; [66 41],[162.95103093 118.04896907] ; [62.04896907 44.95103093],0
u3,1,0.39301,0.729608,[50 21] ; [14  9],[48.34042553 22.65957447] ; [15.65957447  7.34042553],0
p1,1,0.409886,0.679132,[ 32 257] ; [  9 100],[ 29.77135678 259.22864322] ; [11.22864322 97.77135678],0
a3,1,0.410903,0.676186,[218  72] ; [87 23],[221.125  68.875] ; [83.875 26.125],0
p12,1,0.421352,0.646542,[ 35 256] ; [10 99],[ 32.7375 258.2625] ; [12.2625 96.7375],0
n4,1,0.451542,0.566778,[224  66] ; [88 21],[226.76691729  63.23308271] ; [85.23308271 23.76691729],0
b3,1,0.499195,0.456646,[ 61 107] ; [33 48],[ 63.42168675 104.57831325] ; [30.57831325 50.42168675],0
b2,1,0.499195,0.456646,[ 61 107] ; [33 48],[ 63.42168675 104.57831325] ; [30.57831325 50.42168675],0
d5,1,0.531225,0.392049,[246  43] ; [90 19],[243.9798995  45.0201005] ; [92.0201005 16.9798995],0
u4,1,0.601547,0.27267,[ 10 281] ; [  5 105],[ 10.88528678 280.11471322] ; [  4.11471322 105.88528678],0
p4,1,0.652977,0.202168,[196  93] ; [72 38],[194.11528822  94.88471178] ; [73.88471178 36.11528822],0
s4,1,0.662385,0.19064,[ 70 216] ; [29 80],[ 71.68101266 214.31898734] ; [27.31898734 81.68101266],0
p11,1,0.74196,0.108412,[223  68] ; [86 24],[224.23690773  66.76309227] ; [84.76309227 25.23690773],0
p7,1,0.764834,0.089484,[187  92] ; [70 37],[185.75906736  93.24093264] ; [71.24093264 35.75906736],0
a4,1,0.782245,0.076394,[141 150] ; [55 55],[142.23441397 148.76558603] ; [53.76558603 56.23441397],0
n2,1,0.819118,0.052294,[44 12] ; [25  6],[44.4137931 11.5862069] ; [24.5862069  6.4137931],0
p8,1,0.827147,0.047682,[155 132] ; [57 51],[154.03544304 132.96455696] ; [57.96455696 50.03544304],0
p5,1,0.830215,0.045978,[ 40 249] ; [16 93],[ 40.66331658 248.33668342] ; [15.33668342 93.66331658],0
p6,1,0.89214,0.018386,[127 161] ; [48 59],[127.59493671 160.40506329] ; [47.40506329 59.59493671],0
s5,1,0.903951,0.014562,[146 134] ; [56 50],[146.52849741 133.47150259] ; [55.47150259 50.52849741],0
s1,1,0.918056,0.010585,[ 15 271] ; [  6 103],[ 15.20506329 270.79493671] ; [  5.79493671 103.20506329],0
