Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,73.922645,[266  10] ; [71 40],[240.34108527  35.65891473] ; [96.65891473 14.34108527],1
r2,1,0.0,25.82641,[266  10] ; [88 21],[253.77662338  22.22337662] ; [100.22337662   8.77662338],1
a5,1,1.2e-05,19.163164,[169 106] ; [41 70],[149.61139896 125.38860104] ; [60.38860104 50.61139896],1
v2,1,1.7e-05,18.507291,[141 118] ; [33 77],[122.1300813 136.8699187] ; [51.8699187 58.1300813],1
v3,1,0.000415,12.462936,[103 164] ; [22 89],[ 88.29365079 178.70634921] ; [36.70634921 74.29365079],1
r3,1,0.000437,12.368103,[262  13] ; [94 17],[253.62694301  21.37305699] ; [102.37305699   8.62694301],1
a3,1,0.001262,10.396572,[169 105] ; [48 62],[154.83854167 119.16145833] ; [62.16145833 47.83854167],0
s8,1,0.0029,8.869356,[102 171] ; [24 87],[ 89.578125 183.421875] ; [36.421875 74.578125],0
s6,1,0.003027,8.791375,[177  91] ; [53 54],[164.37333333 103.62666667] ; [65.62666667 41.37333333],0
v1,1,0.004125,8.227878,[139 131] ; [38 70],[126.42857143 143.57142857] ; [50.57142857 57.42857143],0
n4,1,0.006607,7.376878,[200  75] ; [65 46],[188.79533679  86.20466321] ; [76.20466321 34.79533679],0
u3,1,0.01229,6.268552,[65 40] ; [26 36],[57.21556886 47.78443114] ; [33.78443114 28.21556886],0
p11,1,0.035127,4.438983,[217  59] ; [76 35],[208.96124031  67.03875969] ; [84.03875969 26.96124031],0
s7,1,0.047898,3.913576,[115 145] ; [35 71],[106.55737705 153.44262295] ; [43.44262295 62.55737705],0
s5,1,0.054078,3.710291,[ 81 183] ; [22 84],[ 73.49189189 190.50810811] ; [29.50810811 76.49189189],0
a1,1,0.054154,3.707942,[  8 268] ; [  8 103],[ 11.41085271 264.58914729] ; [  4.58914729 106.41085271],0
a7,1,0.05463,3.693341,[183  91] ; [62 48],[174.81770833  99.18229167] ; [70.18229167 39.81770833],0
a6,1,0.058605,3.576435,[170 105] ; [57 54],[161.72279793 113.27720207] ; [65.27720207 45.72279793],0
n5,1,0.089903,2.876101,[197  75] ; [70 40],[190.11518325  81.88481675] ; [76.88481675 33.11518325],0
p10,1,0.093042,2.82094,[206  62] ; [74 34],[199.57446809  68.42553191] ; [80.42553191 27.57446809],0
p3,1,0.105026,2.627514,[123 150] ; [40 71],[115.8828125 157.1171875] ; [47.1171875 63.8828125],0
s3,1,0.127894,2.317881,[143 126] ; [49 61],[136.27440633 132.72559367] ; [55.72559367 54.27440633],0
p4,1,0.14386,2.136176,[139 131] ; [48 63],[132.51968504 137.48031496] ; [54.48031496 56.51968504],0
a4,1,0.154256,2.029649,[ 73 200] ; [22 89],[ 67.5390625 205.4609375] ; [27.4609375 83.5390625],0
d4,1,0.163039,1.945815,[165 110] ; [58 53],[158.87305699 116.12694301] ; [64.12694301 46.87305699],0
s4,1,0.174315,1.845437,[ 43 229] ; [24 87],[ 47.58224543 224.41775457] ; [19.41775457 91.58224543],0
d3,1,0.200112,1.641555,[118 157] ; [39 70],[112.43489583 162.56510417] ; [44.56510417 64.43489583],0
s2,1,0.209677,1.573653,[119 152] ; [41 70],[113.5078534 157.4921466] ; [46.4921466 64.5078534],0
p1,1,0.214501,1.540786,[ 25 246] ; [  6 105],[ 21.9921466 249.0078534] ; [  9.0078534 101.9921466],0
a2,1,0.217017,1.523989,[ 19 257] ; [  4 107],[ 16.40310078 259.59689922] ; [  6.59689922 104.40310078],0
p7,1,0.287496,1.131312,[163 102] ; [60 48],[158.43163539 106.56836461] ; [64.56836461 43.43163539],0
b5,1,0.340713,0.907747,[157 119] ; [69 42],[161.17829457 114.82170543] ; [64.82170543 46.17829457],0
p6,1,0.345097,0.891405,[ 86 181] ; [30 80],[ 82.15384615 184.84615385] ; [33.84615385 76.15384615],0
d5,1,0.401582,0.703584,[156 120] ; [57 53],[152.30051813 123.69948187] ; [60.69948187 49.30051813],0
s1,1,0.423464,0.640682,[ 12 257] ; [  3 108],[ 10.61842105 258.38157895] ; [  4.38157895 106.61842105],0
u1,1,0.434691,0.610258,[  9 267] ; [  2 109],[  7.84496124 268.15503876] ; [  3.15503876 107.84496124],0
n6,1,0.465014,0.533798,[219  55] ; [85 26],[216.35324675  57.64675325] ; [87.64675325 23.35324675],0
p8,1,0.500571,0.453726,[128 139] ; [49 62],[125.02380952 141.97619048] ; [51.97619048 59.02380952],0
b4,1,0.503854,0.446809,[157 119] ; [59 52],[154.04651163 121.95348837] ; [61.95348837 49.04651163],0
n1,1,0.50772,0.438764,[26 39] ; [12 24],[24.45544554 40.54455446] ; [13.54455446 22.45544554],0
a8,1,0.51963,0.414627,[ 36 222] ; [12 93],[ 34.11570248 223.88429752] ; [13.88429752 91.11570248],0
n2,1,0.533919,0.386927,[55 11] ; [29  8],[53.82524272 12.17475728] ; [30.17475728  6.82524272],0
d2,1,0.576666,0.311655,[ 39 237] ; [18 92],[ 40.75647668 235.24352332] ; [16.24352332 93.75647668],0
n3,1,0.687148,0.16219,[49 15] ; [27 10],[48.15841584 15.84158416] ; [27.84158416  9.15841584],0
p2,1,0.821431,0.050943,[216  56] ; [87 24],[215.18537859  56.81462141] ; [87.81462141 23.18537859],0
p5,1,0.901521,0.015312,[ 28 243] ; [ 11 100],[ 27.66753927 243.33246073] ; [11.33246073 99.66753927],0
p9,1,0.901851,0.015209,[210  58] ; [84 24],[209.55319149  58.44680851] ; [84.44680851 23.55319149],0
b3,1,0.914651,0.011486,[ 51 101] ; [20 41],[ 50.66666667 101.33333333] ; [20.33333333 40.66666667],0
b2,1,0.914651,0.011486,[ 51 101] ; [20 41],[ 50.66666667 101.33333333] ; [20.33333333 40.66666667],0
u2,1,0.915859,0.011162,[55 50] ; [33 29],[55.32934132 49.67065868] ; [32.67065868 29.32934132],0
b1,1,0.942063,0.005282,[113 163] ; [45 66],[112.68217054 163.31782946] ; [45.31782946 65.68217054],0
p12,1,0.962522,0.002208,[ 15 254] ; [  6 104],[ 14.90501319 254.09498681] ; [  6.09498681 103.90501319],0
