Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,7e-06,20.324495,[14  3] ; [24 69],[ 5.87272727 11.12727273] ; [32.12727273 60.87272727],1
p4,1,4.1e-05,16.838768,[12  6] ; [18 74],[ 4.90909091 13.09090909] ; [25.09090909 66.90909091],1
p7,1,8.1e-05,15.537017,[11  7] ; [16 76],[ 4.41818182 13.58181818] ; [22.58181818 69.41818182],1
s8,1,0.000197,13.857776,[9 8] ; [13 81],[ 3.36936937 13.63063063] ; [18.63063063 75.36936937],1
v1,1,0.001347,10.276684,[10  8] ; [18 74],[ 4.58181818 13.41818182] ; [23.41818182 68.58181818],0
p8,1,0.001713,9.834311,[10  8] ; [19 75],[ 4.66071429 13.33928571] ; [24.33928571 69.66071429],0
p3,1,0.001713,9.834311,[10  8] ; [19 75],[ 4.66071429 13.33928571] ; [24.33928571 69.66071429],0
s5,1,0.003176,8.703745,[7 9] ; [12 79],[ 2.8411215 13.1588785] ; [16.1588785 74.8411215],0
s2,1,0.003817,8.368901,[ 6 12] ; [ 8 85],[ 2.27027027 15.72972973] ; [11.72972973 81.27027027],0
s7,1,0.007531,7.141718,[ 7 10] ; [12 75],[ 3.10576923 13.89423077] ; [15.89423077 71.10576923],0
r4,1,0.017411,5.654426,[16  2] ; [56 38],[11.57142857  6.42857143] ; [60.42857143 33.57142857],0
p9,1,0.027891,4.834795,[13  5] ; [39 50],[8.74766355 9.25233645] ; [43.25233645 45.74766355],0
r3,1,0.035797,4.406731,[17  1] ; [66 27],[13.45945946  4.54054054] ; [69.54054054 23.45945946],0
n6,1,0.046868,3.950135,[16  2] ; [60 32],[12.43636364  5.56363636] ; [63.56363636 28.43636364],0
v2,1,0.094305,2.799302,[10  7] ; [33 56],[ 6.89622642 10.10377358] ; [36.10377358 52.89622642],0
p11,1,0.122663,2.382979,[12  6] ; [44 50],[9. 9.] ; [47. 47.],0
p5,1,0.236643,1.400479,[ 2 16] ; [ 4 90],[ 0.96428571 17.03571429] ; [ 5.03571429 88.96428571],0
b5,1,0.256487,1.28762,[12  6] ; [49 45],[9.80357143 8.19642857] ; [51.19642857 42.80357143],0
u2,1,0.25704,1.284628,[5 3] ; [15 22],[3.55555556 4.44444444] ; [16.44444444 20.55555556],0
d2,1,0.258763,1.275362,[ 6 12] ; [44 48],[8.18181818 9.81818182] ; [41.81818182 50.18181818],0
b1,1,0.29208,1.110007,[ 6 12] ; [44 50],[8.03571429 9.96428571] ; [41.96428571 52.03571429],0
b4,1,0.29208,1.110007,[12  6] ; [50 44],[9.96428571 8.03571429] ; [52.03571429 41.96428571],0
s4,1,0.312423,1.020403,[ 4 14] ; [12 80],[ 2.61818182 15.38181818] ; [13.38181818 78.61818182],0
a8,1,0.365091,0.820305,[ 2 15] ; [ 5 82],[ 1.14423077 15.85576923] ; [ 5.85576923 81.14423077],0
p10,1,0.366845,0.814325,[10  8] ; [40 51],[8.25688073 9.74311927] ; [41.74311927 49.25688073],0
n5,1,0.37184,0.797507,[9 9] ; [57 36],[10.7027027  7.2972973] ; [55.2972973 37.7027027],0
u1,1,0.381605,0.765524,[ 1 17] ; [12 82],[ 2.08928571 15.91071429] ; [10.91071429 83.08928571],0
d3,1,0.387433,0.746985,[11  7] ; [47 47],[9.32142857 8.67857143] ; [48.67857143 45.32142857],0
a6,1,0.400636,0.706417,[9 9] ; [57 37],[10.60714286  7.39285714] ; [55.39285714 38.60714286],0
a2,1,0.414663,0.665392,[ 2 16] ; [18 76],[ 3.21428571 14.78571429] ; [16.78571429 77.21428571],0
a7,1,0.420661,0.648468,[9 9] ; [56 37],[10.54054054  7.45945946] ; [54.45945946 38.54054054],0
n3,1,0.448019,0.575658,[3 1] ; [21 17],[2.28571429 1.71428571] ; [21.71428571 16.28571429],0
d4,1,0.461923,0.541231,[14  4] ; [65 29],[12.69642857  5.30357143] ; [66.30357143 27.69642857],0
d5,1,0.49353,0.468821,[13  5] ; [60 34],[11.73214286  6.26785714] ; [61.26785714 32.73214286],0
u3,1,0.520034,0.413826,[5 3] ; [19 19],[4.17391304 3.82608696] ; [19.82608696 18.17391304],0
n2,1,0.556901,0.345098,[3 1] ; [24 16],[2.45454545 1.54545455] ; [24.54545455 15.45454545],0
a5,1,0.564447,0.332062,[10  8] ; [59 35],[11.08928571  6.91071429] ; [57.91071429 36.08928571],0
p12,1,0.620502,0.245162,[ 1 17] ; [ 3 91],[ 0.64285714 17.35714286] ; [ 3.35714286 90.64285714],0
v3,1,0.650272,0.205558,[ 7 11] ; [30 60],[ 6.16666667 11.83333333] ; [30.83333333 59.16666667],0
d1,1,0.678035,0.172347,[9 9] ; [42 52],[8.19642857 9.80357143] ; [42.80357143 51.19642857],0
a3,1,0.712461,0.135831,[10  8] ; [56 37],[10.7027027  7.2972973] ; [55.2972973 37.7027027],0
n1,1,0.734814,0.114737,[1 3] ; [13 26],[1.30232558 2.69767442] ; [12.69767442 26.30232558],0
r1,1,0.745967,0.104951,[11  7] ; [53 40],[10.37837838  7.62162162] ; [53.62162162 39.37837838],0
b2,1,0.883011,0.021654,[6 9] ; [24 33],[6.25 8.75] ; [23.75 33.25],0
b3,1,0.883011,0.021654,[6 9] ; [24 33],[6.25 8.75] ; [23.75 33.25],0
a4,1,0.919986,0.01009,[ 7 11] ; [35 58],[ 6.81081081 11.18918919] ; [35.18918919 57.81081081],0
n4,1,0.988602,0.000204,[11  7] ; [57 36],[11.02702703  6.97297297] ; [56.97297297 36.02702703],0
