Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.5e-05,17.143545,[28  3] ; [ 9 15],[20.85454545 10.14545455] ; [16.14545455  7.85454545],1
s6,1,0.00079,11.265517,[20 10] ; [ 5 19],[13.88888889 16.11111111] ; [11.11111111 12.88888889],1
v4,1,0.002268,9.319281,[28  3] ; [13 11],[23.10909091  7.89090909] ; [17.89090909  6.10909091],0
s2,1,0.028792,4.779994,[13 16] ; [ 4 20],[ 9.30188679 19.69811321] ; [ 7.69811321 16.30188679],0
s3,1,0.02945,4.741095,[14 14] ; [ 5 19],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
r3,1,0.035084,4.441091,[25  6] ; [13 11],[21.41818182  9.58181818] ; [16.58181818  7.41818182],0
s5,1,0.037918,4.308712,[ 7 21] ; [ 1 23],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
p3,1,0.044314,4.044575,[13 18] ; [ 4 20],[ 9.58181818 21.41818182] ; [ 7.41818182 16.58181818],0
p11,1,0.046565,3.961052,[20 11] ; [ 9 15],[16.34545455 14.65454545] ; [12.65454545 11.34545455],0
u2,1,0.052068,3.773589,[8 9] ; [ 2 12],[ 5.48387097 11.51612903] ; [4.51612903 9.48387097],0
v3,1,0.066353,3.371002,[13 16] ; [ 5 19],[ 9.8490566 19.1509434] ; [ 8.1509434 15.8490566],0
a1,1,0.085507,2.956989,[ 1 30] ; [ 4 20],[ 2.81818182 28.18181818] ; [ 2.18181818 21.81818182],0
u3,1,0.107957,2.583876,[11  6] ; [5 9],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
p6,1,0.109463,2.561953,[ 8 23] ; [ 2 21],[ 5.74074074 25.25925926] ; [ 4.25925926 18.74074074],0
n6,1,0.112435,2.519653,[22  9] ; [12 12],[19.16363636 11.83636364] ; [14.83636364  9.16363636],0
s7,1,0.137664,2.203883,[ 8 19] ; [ 3 21],[ 5.82352941 21.17647059] ; [ 5.17647059 18.82352941],0
n5,1,0.140959,2.167456,[22  9] ; [21  3],[24.23636364  6.76363636] ; [18.76363636  5.23636364],0
p4,1,0.235467,1.407532,[11 20] ; [ 5 19],[ 9.01818182 21.98181818] ; [ 6.98181818 17.01818182],0
r2,1,0.24869,1.330645,[27  4] ; [18  6],[25.36363636  5.63636364] ; [19.63636364  4.36363636],0
