Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1e-06,23.984234,[470 127] ; [54 43],[450.76080692 146.23919308] ; [73.23919308 23.76080692],1
d1,1,0.00014,14.503236,[380 217] ; [42 55],[363.01729107 233.98270893] ; [58.98270893 38.01729107],1
u1,1,0.00022,13.654737,[125 472] ; [ 5 92],[111.82997118 485.17002882] ; [18.17002882 78.82997118],1
r2,1,0.000235,13.527861,[586   8] ; [90  7],[581.10564399  12.89435601] ; [94.89435601  2.10564399],1
a2,1,0.000767,11.318287,[163 434] ; [11 86],[149.68011527 447.31988473] ; [24.31988473 72.68011527],1
a3,1,0.001224,10.453525,[449 146] ; [58 39],[435.93208092 159.06791908] ; [71.06791908 25.93208092],0
v2,1,0.002507,9.135265,[345 228] ; [42 54],[331.46636771 241.53363229] ; [55.53363229 40.46636771],0
d4,1,0.004849,7.934939,[509  86] ; [72 25],[499.55924855  95.44075145] ; [81.44075145 15.55924855],0
d3,1,0.005724,7.635148,[442 155] ; [58 38],[430.73593074 166.26406926] ; [69.26406926 26.73593074],0
d2,1,0.013428,6.111877,[308 288] ; [37 60],[296.70995671 299.29004329] ; [48.29004329 48.70995671],0
a6,1,0.023259,5.149063,[430 166] ; [59 38],[420.55411255 175.44588745] ; [68.44588745 28.55411255],0
a4,1,0.02983,4.719073,[279 316] ; [34 63],[269.12572254 325.87427746] ; [43.87427746 53.12572254],0
s8,1,0.035565,4.417849,[282 311] ; [35 62],[272.43623188 320.56376812] ; [44.56376812 52.43623188],0
v1,1,0.042108,4.130876,[338 245] ; [45 51],[328.84977909 254.15022091] ; [54.15022091 41.84977909],0
s7,1,0.042724,4.106308,[298 273] ; [38 55],[288.93975904 282.06024096] ; [47.06024096 45.93975904],0
u3,1,0.056765,3.629466,[92 54] ; [18 21],[86.81081081 59.18918919] ; [23.18918919 15.81081081],0
a7,1,0.058143,3.58957,[457 139] ; [65 31],[449.58381503 146.41618497] ; [72.41618497 23.58381503],0
d5,1,0.05991,3.539861,[505  91] ; [74 22],[498.67630058  97.32369942] ; [80.32369942 15.67630058],0
s6,1,0.063536,3.442585,[413 173] ; [56 36],[405.35988201 180.64011799] ; [63.64011799 28.35988201],0
p7,1,0.067947,3.331936,[416 167] ; [59 36],[408.4439528 174.5560472] ; [66.5560472 28.4439528],0
p8,1,0.069208,3.301694,[354 232] ; [48 47],[345.92070485 240.07929515] ; [56.07929515 38.92070485],0
n4,1,0.082238,3.0201,[481 114] ; [71 26],[474.62427746 120.37572254] ; [77.37572254 19.62427746],0
a1,1,0.106942,2.598845,[ 22 575] ; [ 7 90],[ 24.94668588 572.05331412] ; [ 4.05331412 92.94668588],0
v4,1,0.153666,2.03548,[584  11] ; [93  4],[582.10260116  12.89739884] ; [94.89739884  2.10260116],0
s2,1,0.164977,1.928005,[313 278] ; [44 53],[306.66715116 284.33284884] ; [50.33284884 46.66715116],0
s3,1,0.203966,1.613743,[348 242] ; [50 46],[342.303207 247.696793] ; [55.696793 40.303207],0
p4,1,0.227406,1.45701,[391 204] ; [57 39],[385.75976845 209.24023155] ; [62.24023155 33.75976845],0
n5,1,0.242122,1.368194,[460 133] ; [70 27],[455.49275362 137.50724638] ; [74.50724638 22.49275362],0
s5,1,0.247324,1.338355,[210 369] ; [27 63],[205.11659193 373.88340807] ; [31.88340807 58.11659193],0
b1,1,0.301052,1.069527,[217 380] ; [30 67],[212.47694524 384.52305476] ; [34.52305476 62.47694524],0
b5,1,0.320717,0.986021,[356 241] ; [63 34],[360.43659942 236.56340058] ; [58.56340058 38.43659942],0
s4,1,0.329065,0.952575,[ 92 496] ; [19 78],[ 95.28175182 492.71824818] ; [15.71824818 81.28175182],0
b4,1,0.360464,0.836275,[346 251] ; [61 36],[350.11383285 246.88616715] ; [56.88616715 40.11383285],0
p9,1,0.377945,0.777376,[515  73] ; [88  9],[517.61167883  70.38832117] ; [85.38832117 11.61167883],0
p11,1,0.445699,0.581566,[493 104] ; [77 20],[490.3314121 106.6685879] ; [79.6685879 17.3314121],0
n6,1,0.457596,0.551769,[510  84] ; [86 11],[512.3357453  81.6642547] ; [83.6642547 13.3357453],0
u2,1,0.484461,0.488805,[84 62] ; [20 19],[82.07567568 63.92432432] ; [21.92432432 17.07567568],0
u4,1,0.509448,0.4352,[ 12 585] ; [ 1 96],[ 11.18299712 585.81700288] ; [ 1.81700288 95.18299712],0
n2,1,0.562178,0.335947,[80 28] ; [23  6],[81.19708029 26.80291971] ; [21.80291971  7.19708029],0
v3,1,0.568368,0.32542,[239 335] ; [37 59],[236.45373134 337.54626866] ; [39.54626866 56.45373134],0
r3,1,0.583054,0.301324,[587   8] ; [95  2],[586.4017341   8.5982659] ; [95.5982659  1.4017341],0
n3,1,0.647028,0.209667,[82 27] ; [23  6],[82.93478261 26.06521739] ; [22.06521739  6.93478261],0
b3,1,0.673724,0.177277,[138 219] ; [20 36],[136.57627119 220.42372881] ; [21.42372881 34.57627119],0
b2,1,0.673724,0.177277,[138 219] ; [20 36],[136.57627119 220.42372881] ; [21.42372881 34.57627119],0
n1,1,0.687127,0.162213,[38 70] ; [11 17],[38.91176471 69.08823529] ; [10.08823529 17.91176471],0
s1,1,0.71566,0.132689,[ 16 571] ; [ 2 94],[ 15.46998536 571.53001464] ; [ 2.53001464 93.46998536],0
p5,1,0.717329,0.131066,[ 72 523] ; [13 84],[ 73.08526012 521.91473988] ; [11.91473988 85.08526012],0
p3,1,0.717408,0.130989,[319 277] ; [50 47],[317.35064935 278.64935065] ; [51.64935065 45.35064935],0
p12,1,0.723106,0.125536,[ 49 543] ; [ 7 90],[ 48.1161103 543.8838897] ; [ 7.8838897 89.1161103],0
p1,1,0.748225,0.103028,[ 55 539] ; [ 8 89],[ 54.15629522 539.84370478] ; [ 8.84370478 88.15629522],0
a8,1,0.823823,0.049564,[ 82 452] ; [13 77],[ 81.29807692 452.70192308] ; [13.70192308 76.29807692],0
p6,1,0.88686,0.020243,[236 352] ; [37 57],[235.37243402 352.62756598] ; [37.62756598 56.37243402],0
p10,1,0.952335,0.003573,[501  90] ; [82 15],[500.80377907  90.19622093] ; [82.19622093 14.80377907],0
