Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.885121,[ 7 20] ; [56 15],[17.35714286  9.64285714] ; [45.64285714 25.35714286],1
p10,1,0.001618,9.938964,[ 8 19] ; [45 24],[14.90625 12.09375] ; [38.09375 30.90625],0
p11,1,0.010274,6.586697,[11 16] ; [49 22],[16.53061224 10.46938776] ; [43.46938776 27.53061224],0
s7,1,0.018247,5.572289,[ 4 22] ; [28 40],[ 8.85106383 17.14893617] ; [23.14893617 44.85106383],0
p9,1,0.018767,5.523138,[14 13] ; [52 16],[18.75789474  8.24210526] ; [47.24210526 20.75789474],0
n3,1,0.050304,3.831293,[6 8] ; [22  8],[8.90909091 5.09090909] ; [19.09090909 10.90909091],0
s5,1,0.050709,3.817852,[ 9 17] ; [11 57],[ 5.53191489 20.46808511] ; [14.46808511 53.53191489],0
d3,1,0.061516,3.496022,[13 14] ; [20 51],[ 9.09183673 17.90816327] ; [23.90816327 47.09183673],0
v1,1,0.074035,3.191209,[ 5 21] ; [27 43],[ 8.66666667 17.33333333] ; [23.33333333 46.66666667],0
u3,1,0.096053,2.769892,[7 8] ; [ 7 24],[ 4.56521739 10.43478261] ; [ 9.43478261 21.56521739],0
v3,1,0.105974,2.613257,[ 3 23] ; [19 51],[ 5.95833333 20.04166667] ; [16.04166667 53.95833333],0
u2,1,0.109445,2.562211,[8 7] ; [ 9 22],[5.54347826 9.45652174] ; [11.45652174 19.54347826],0
a5,1,0.144724,2.126997,[10 17] ; [38 33],[13.2244898 13.7755102] ; [34.7755102 36.2244898],0
n1,1,0.219705,1.506294,[ 4 10] ; [14 15],[5.86046512 8.13953488] ; [12.13953488 16.86046512],0
b1,1,0.225811,1.467052,[17 10] ; [35 36],[14.32653061 12.67346939] ; [37.67346939 33.32653061],0
p7,1,0.231756,1.430054,[16 11] ; [32 38],[13.36082474 13.63917526] ; [34.63917526 35.36082474],0
s4,1,0.233396,1.420043,[ 7 20] ; [11 60],[ 4.95918367 22.04081633] ; [13.04081633 57.95918367],0
d4,1,0.240053,1.380282,[18  9] ; [38 33],[15.42857143 11.57142857] ; [40.57142857 30.42857143],0
a6,1,0.306198,1.047006,[ 8 19] ; [29 42],[10.19387755 16.80612245] ; [26.80612245 44.19387755],0
a3,1,0.372993,0.79367,[12 14] ; [40 31],[13.93814433 12.06185567] ; [38.06185567 32.93814433],0
b4,1,0.377741,0.778041,[16 11] ; [35 36],[14.05102041 12.94897959] ; [36.94897959 34.05102041],0
p3,1,0.385612,0.752734,[11 16] ; [22 48],[ 9.18556701 17.81443299] ; [23.81443299 46.18556701],0
n6,1,0.394763,0.724222,[17 10] ; [51 20],[18.73469388  8.26530612] ; [49.26530612 21.73469388],0
s2,1,0.399574,0.709609,[12 15] ; [25 46],[10.19387755 16.80612245] ; [26.80612245 44.19387755],0
a4,1,0.411142,0.675497,[ 8 19] ; [27 43],[ 9.74226804 17.25773196] ; [25.25773196 44.74226804],0
s8,1,0.466533,0.530176,[ 6 21] ; [21 50],[ 7.43877551 19.56122449] ; [19.56122449 51.43877551],0
a1,1,0.51102,0.431977,[ 3 24] ; [ 5 66],[ 2.20408163 24.79591837] ; [ 5.79591837 65.20408163],0
a8,1,0.524045,0.405925,[ 1 25] ; [ 5 62],[ 1.67741935 24.32258065] ; [ 4.32258065 62.67741935],0
p6,1,0.60616,0.265804,[ 6 20] ; [19 48],[ 6.98924731 19.01075269] ; [18.01075269 48.98924731],0
p1,1,0.632225,0.229056,[ 4 23] ; [ 8 63],[ 3.30612245 23.69387755] ; [ 8.69387755 62.30612245],0
b3,1,0.652677,0.202542,[ 6 12] ; [13 34],[ 5.26153846 12.73846154] ; [13.73846154 33.26153846],0
b2,1,0.652677,0.202542,[ 6 12] ; [13 34],[ 5.26153846 12.73846154] ; [13.73846154 33.26153846],0
p2,1,0.6816,0.168331,[16 11] ; [44 25],[16.875 10.125] ; [43.125 25.875],0
r4,1,0.689958,0.159131,[13 14] ; [31 40],[12.12244898 14.87755102] ; [31.87755102 39.12244898],0
n2,1,0.704656,0.143673,[9 5] ; [21  9],[9.54545455 4.45454545] ; [20.45454545  9.54545455],0
v4,1,0.72093,0.127604,[21  6] ; [52 18],[20.31958763  6.68041237] ; [52.68041237 17.31958763],0
p8,1,0.73876,0.111219,[10 16] ; [24 45],[ 9.30526316 16.69473684] ; [24.69473684 44.30526316],0
s3,1,0.759526,0.093699,[11 13] ; [30 41],[10.35789474 13.64210526] ; [30.64210526 40.35789474],0
s1,1,0.819894,0.051839,[ 1 26] ; [ 2 69],[ 0.82653061 26.17346939] ; [ 2.17346939 68.82653061],0
r3,1,0.824272,0.049308,[20  7] ; [51 20],[19.56122449  7.43877551] ; [51.43877551 19.56122449],0
r2,1,0.873172,0.025482,[19  7] ; [50 20],[18.6875  7.3125] ; [50.3125 19.6875],0
v2,1,0.91159,0.012328,[10 17] ; [24 43],[ 9.76595745 17.23404255] ; [24.23404255 42.76595745],0
b5,1,0.919125,0.01031,[14 13] ; [36 35],[13.7755102 13.2244898] ; [36.2244898 34.7755102],0
d5,1,0.955611,0.003098,[15 12] ; [39 32],[14.87755102 12.12244898] ; [39.12244898 31.87755102],0
d1,1,0.964955,0.00193,[ 9 18] ; [24 47],[ 9.09183673 17.90816327] ; [23.90816327 47.09183673],0
s6,1,0.965864,0.001831,[12 15] ; [31 38],[12.09375 14.90625] ; [30.90625 38.09375],0
d2,1,0.965864,0.001831,[12 15] ; [31 38],[12.09375 14.90625] ; [30.90625 38.09375],0
p4,1,0.96936,0.001475,[12 14] ; [32 38],[11.91666667 14.08333333] ; [32.08333333 37.91666667],0
